sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0482,20000,964,949299.625,950.5640869140625
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0546,20000,1092,943033.5625,944.2297973632812
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0564,20000,1128,941331.0625,942.4761962890625
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0466,20000,932,950960.875,952.1928100585938
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0533,20000,1066,944290.125,945.5087890625
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0552,20000,1104,942581.5625,943.6998291015625
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.052,20000,1040,945498.9375,946.7651977539062
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0515,20000,1030,946078.3125,947.3026123046875
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.054,20000,1080,943802.1875,944.9093017578125
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0504,20000,1008,947145.5,948.38671875
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0502,20000,1004,947447.1875,948.6348266601562
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0598,20000,1196,937860.9375,939.0443115234375
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0498,20000,996,947771.625,948.9989013671875
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0489,20000,978,948632.1875,949.8798828125
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0586,20000,1172,939145.75,940.2838134765625
