sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,964,152256.3125,386.5058898925781
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1092,153854.4375,388.10516357421875
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1128,154299.8125,388.5494384765625
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,932,151858.046875,386.1077880859375
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1066,153531.8125,387.7829284667969
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1104,154003.421875,388.254150390625
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1040,153204.4375,387.45452880859375
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1030,153081.015625,387.33135986328125
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1080,153700.796875,387.9501953125
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1008,152805.125,387.0548400878906
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1004,152756.421875,387.0065612792969
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1196,155154.078125,389.4064636230469
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,996,152656.59375,386.90673828125
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,978,152430.890625,386.6803894042969
