sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0482,20000,964,250525.46875,500.52490234375
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0546,20000,1092,251388.90625,501.3859558105469
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.07272256728778467,15452,1128,251920.453125,501.9065856933594
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0466,20000,932,250555.703125,500.5551452636719
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0533,20000,1066,250305.171875,500.3048400878906
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.049116607773851594,10772,1104,250063.15625,500.0535583496094
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.052,20000,1040,250530.640625,500.5300598144531
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0515,20000,1030,250428.0,500.4276123046875
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.07037203047960555,13248,1080,250921.390625,500.9119567871094
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0504,20000,1008,250512.234375,500.5116882324219
