step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,1.85934317111969,0.7317806482315063,0.6848949193954468,0.44266757369041443,nan,nan,nan,nan,1.85934317111969,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.3365842401981354,2.5895611543091945e-05,0.09842193126678467,0.2381364107131958,nan,nan,nan,nan,0.3365842401981354,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.1396137923002243,2.0326973526607617e-07,0.001649755286052823,0.13796383142471313,nan,nan,nan,nan,0.1396137923002243,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.06633208692073822,3.583533825235463e-08,0.0007139017106965184,0.06561814993619919,nan,nan,nan,nan,0.06633208692073822,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.03590865805745125,1.1927623333463089e-08,0.0005271059344522655,0.03538154065608978,nan,nan,nan,nan,0.03590865805745125,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.02006910741329193,9.710290349573825e-09,0.00021518158609978855,0.01985391601920128,nan,nan,nan,nan,0.02006910741329193,0.0,0.0,0.0,nan,nan,0.0,0.43398821272616495,nan,0
600,0.011063475161790848,1.1175708358734937e-08,0.00020769966067746282,0.010855764150619507,nan,nan,nan,nan,0.011063475161790848,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.005415796302258968,1.2202043819797836e-08,0.00012590868573170155,0.005289875436574221,nan,nan,nan,nan,0.005415796302258968,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.00464629428461194,1.2423839734765352e-08,0.00012962637993041426,0.004516655579209328,nan,nan,nan,nan,0.00464629428461194,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.0023164672311395407,1.3487178485149798e-08,6.454384856624529e-05,0.002251909812912345,nan,nan,nan,nan,0.0023164672311395407,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.00193705502897501,1.2846538055555357e-08,4.859895125264302e-05,0.001888443250209093,nan,nan,nan,nan,0.00193705502897501,-0.0,0.0,0.0,nan,nan,0.0,0.42781821688152866,nan,0
1100,0.0012943061301484704,1.3948512567196758e-08,3.936003122362308e-05,0.0012549321400001645,nan,nan,nan,nan,0.0012943061301484704,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.001485364162363112,1.369221980240809e-08,3.825902604148723e-05,0.0014470914611592889,nan,nan,nan,nan,0.001485364162363112,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.0011496703373268247,1.4333402909016968e-08,3.3721240470185876e-05,0.0011159348068758845,nan,nan,nan,nan,0.0011496703373268247,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.0008476797374896705,1.5998207203438142e-08,2.7901365683646873e-05,0.000819762353785336,nan,nan,nan,nan,0.0008476797374896705,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,0.001439730986021459,1.7605254143404636e-08,2.356387813051697e-05,0.0014161495491862297,nan,nan,nan,nan,0.001439730986021459,0.0,0.0,0.0,nan,nan,0.0,0.4159127774308091,nan,0
1600,0.001129443640820682,2.0097997932566614e-08,2.2362679374055006e-05,0.0011070608161389828,nan,nan,nan,nan,0.001129443640820682,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1700,0.0007580762030556798,2.1425583085488142e-08,1.9761728253797628e-05,0.0007382930489256978,nan,nan,nan,nan,0.0007580762030556798,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1800,0.001684963353909552,2.373638530173139e-08,2.307360955455806e-05,0.001661865971982479,nan,nan,nan,nan,0.001684963353909552,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1900,0.0006887236377224326,2.450391356489945e-08,1.935194813995622e-05,0.000669347180519253,nan,nan,nan,nan,0.0006887236377224326,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
2000,0.24000053107738495,2.707741586505108e-08,1.7301286789006554e-05,0.0005741777131333947,nan,nan,nan,nan,0.000591506075579673,0.23940902948379517,0.046418290585279465,0.23940902948379517,0.6149643063545227,0.7605909705162048,1.0,0.0,nan,0
2100,0.47196149826049805,1.1747733452693865e-07,0.008226198144257069,0.15417686104774475,nan,nan,nan,nan,0.1624031811952591,0.30955833196640015,0.11406869441270828,0.30955833196640015,0.5540395975112915,0.6904416680335999,1.0,nan,nan,0
2200,0.33160778880119324,1.068788435532042e-07,0.002792669925838709,0.07871393114328384,nan,nan,nan,nan,0.08150670677423477,0.25010108947753906,0.06541959941387177,0.25010108947753906,0.6112140417098999,0.7498989105224609,1.0,nan,nan,0
2300,0.28332483768463135,1.268883664806708e-07,0.001332742627710104,0.0453617163002491,nan,nan,nan,nan,0.04669458419084549,0.23663026094436646,0.05632169172167778,0.23663026094436646,0.6259540319442749,0.7633697390556335,1.0,nan,nan,0
2400,0.2480727583169937,1.36278615059382e-07,0.0009511487442068756,0.0268875565379858,nan,nan,nan,nan,0.02783884108066559,0.22023391723632812,0.04040619358420372,0.22023391723632812,0.6402286291122437,0.7797660827636719,1.0,nan,nan,0
2500,0.2294139713048935,1.3788169894723978e-07,0.0007132401806302369,0.017810067161917686,nan,nan,nan,nan,0.01852344535291195,0.210890531539917,0.03639949485659599,0.210890531539917,0.6526769399642944,0.789109468460083,1.0,0.39304238011816683,nan,0
2600,0.2240385264158249,1.1362916296775438e-07,0.0005280925543047488,0.01307910680770874,nan,nan,nan,nan,0.013607312925159931,0.21043121814727783,0.03615183383226395,0.21043121814727783,0.6533279418945312,0.7895687818527222,1.0,nan,nan,0
2700,0.22211921215057373,1.0261287997082036e-07,0.0004315226397011429,0.010532055981457233,nan,nan,nan,nan,0.010963681153953075,0.21115553379058838,0.03632621839642525,0.21115553379058838,0.6523306369781494,0.7888444662094116,1.0,nan,nan,0
2800,0.2179744988679886,9.021140101594938e-08,0.000351576367393136,0.008251093327999115,nan,nan,nan,nan,0.008602759800851345,0.20937174558639526,0.03569295257329941,0.20937174558639526,0.6548283100128174,0.7906282544136047,1.0,nan,nan,0
2900,0.21606239676475525,8.76845547281846e-08,0.00028789587668143213,0.007094135973602533,nan,nan,nan,nan,0.007382119540125132,0.20868027210235596,0.035488761961460114,0.20868027210235596,0.6557943224906921,0.791319727897644,1.0,nan,nan,0
3000,0.2154366821050644,8.624264324907926e-08,0.00024272859445773065,0.005977566819638014,nan,nan,nan,nan,0.006220381706953049,0.20921629667282104,0.035658013075590134,0.20921629667282104,0.6550521850585938,0.790783703327179,1.0,0.40504719067996475,nan,1
