step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,1.817183017730713,0.6671988368034363,0.7007010579109192,0.4492831230163574,nan,nan,nan,nan,1.817183017730713,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.2837049663066864,0.00013785529881715775,0.05596427991986275,0.22760283946990967,nan,nan,nan,nan,0.2837049663066864,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.07187925279140472,1.2623720976989716e-05,0.0024637337774038315,0.06940289586782455,nan,nan,nan,nan,0.07187925279140472,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.010632060468196869,5.001662884751568e-06,0.0007951230509206653,0.009831936098635197,nan,nan,nan,nan,0.010632060468196869,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.002552978927269578,3.7193515254330123e-06,0.00037717443774454296,0.0021720852237194777,nan,nan,nan,nan,0.002552978927269578,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.0013656584778800607,3.1093186407815665e-06,0.00023943508858792484,0.0011231140233576298,nan,nan,nan,nan,0.0013656584778800607,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.001568272477015853,2.7111027520732023e-06,0.00017094261420425028,0.0013946187682449818,nan,nan,nan,nan,0.001568272477015853,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.0010001438204199076,2.473400854796637e-06,0.00012868674821220338,0.0008689836831763387,nan,nan,nan,nan,0.0010001438204199076,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.0004679432022385299,2.3454374513676157e-06,0.00010189628665102646,0.0003637014888226986,nan,nan,nan,nan,0.0004679432022385299,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.0006080567254684865,2.1460334664880065e-06,8.201097080018371e-05,0.0005238997400738299,nan,nan,nan,nan,0.0006080567254684865,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.00028931209817528725,2.1304826987034176e-06,6.96272763889283e-05,0.00021755433408543468,nan,nan,nan,nan,0.00028931209817528725,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.00020190402574371547,2.0078487068531103e-06,5.871076064067893e-05,0.00014118541730567813,nan,nan,nan,nan,0.00020190402574371547,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.0004282869922462851,2.015902964558336e-06,5.154510654392652e-05,0.00037472599069587886,nan,nan,nan,nan,0.0004282869922462851,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.00016877357847988605,1.8753089534584433e-06,4.4528813305078074e-05,0.00012236945622134954,nan,nan,nan,nan,0.00016877357847988605,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.00013902953651268035,1.776804992914549e-06,3.911253224941902e-05,9.814020449994132e-05,nan,nan,nan,nan,0.00013902953651268035,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,0.00029921834357082844,1.6853824718054966e-06,3.461825690465048e-05,0.0002629147202242166,nan,nan,nan,nan,0.00029921834357082844,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1600,0.00011962308781221509,1.7758140984369675e-06,3.231344453524798e-05,8.553382940590382e-05,nan,nan,nan,nan,0.00011962308781221509,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1700,0.00015776223153807223,1.6332575114574865e-06,2.8586669941432774e-05,0.00012754229828715324,nan,nan,nan,nan,0.00015776223153807223,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1800,0.00010106943227583542,1.5866917237872258e-06,2.5934952645911835e-05,7.354778790613636e-05,nan,nan,nan,nan,0.00010106943227583542,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1900,0.00016375741688534617,1.5447474197571864e-06,2.398529977654107e-05,0.00013822737673763186,nan,nan,nan,nan,0.00016375741688534617,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
