step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,1.8371753692626953,0.7144829034805298,0.6782429218292236,0.4444495439529419,nan,nan,nan,nan,1.8371753692626953,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.24313752353191376,2.406106887065107e-07,0.011648070998489857,0.23148921132087708,nan,nan,nan,nan,0.24313752353191376,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.08315420895814896,3.6179192974827856e-10,0.000651068112347275,0.08250313997268677,nan,nan,nan,nan,0.08315420895814896,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.026987293735146523,3.2908970687417494e-11,0.0002941543352790177,0.026693139225244522,nan,nan,nan,nan,0.026987293735146523,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.010231607593595982,1.528837646758152e-11,0.00013657487579621375,0.01009503286331892,nan,nan,nan,nan,0.010231607593595982,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.003980492241680622,1.6912722958228876e-11,7.021673081908375e-05,0.003910275641828775,nan,nan,nan,nan,0.003980492241680622,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.0025143784005194902,2.618505759444112e-11,4.8014560888987035e-05,0.0024663638323545456,nan,nan,nan,nan,0.0025143784005194902,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.0013478383189067245,3.1117986659667807e-11,3.401908543310128e-05,0.001313819200731814,nan,nan,nan,nan,0.0013478383189067245,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.0012132424162700772,2.97032780316453e-11,2.5501200070721097e-05,0.0011877411743625998,nan,nan,nan,nan,0.0012132424162700772,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.0007491202559322119,4.398603703492654e-11,2.315918573003728e-05,0.0007259609992615879,nan,nan,nan,nan,0.0007491202559322119,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.0018136358121410012,5.2298342739787174e-11,1.946040356415324e-05,0.0017941753612831235,nan,nan,nan,nan,0.0018136358121410012,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.0020861048251390457,9.68505969867195e-11,2.0434830730664544e-05,0.0020656699780374765,nan,nan,nan,nan,0.0020861048251390457,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.0011981339193880558,1.0135863676152823e-10,2.0335295630502515e-05,0.0011777984909713268,nan,nan,nan,nan,0.0011981339193880558,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.0015571069670841098,1.8540222135321471e-10,2.7217942260904238e-05,0.0015298888320103288,nan,nan,nan,nan,0.0015571069670841098,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.0004392223199829459,2.1808845007686983e-10,1.6273623259621672e-05,0.0004229484766256064,nan,nan,nan,nan,0.0004392223199829459,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,0.000273427547654137,2.3846585817111077e-10,1.4757726603420451e-05,0.0002586695773061365,nan,nan,nan,nan,0.000273427547654137,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1600,0.00022776609694119543,3.6272229664291444e-10,1.4450587514147628e-05,0.00021331514290068299,nan,nan,nan,nan,0.00022776609694119543,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
