step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,1.85934317111969,0.7317806482315063,0.6848949193954468,0.6848949193954468,0.9897947311401367,0.0,0.0,0.44266757369041443,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1.85934317111969,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.3365842401981354,2.5895611543091945e-05,0.09842193126678467,0.09842193126678467,0.821143388748169,0.0,0.0,0.2381364107131958,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.3365842401981354,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.1396137923002243,2.0326973526607617e-07,0.001649755286052823,0.001649755286052823,0.4796544313430786,0.0,0.0,0.13796383142471313,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.1396137923002243,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.06633208692073822,3.583533825235463e-08,0.0007139017106965184,0.0007139017106965184,0.11662261933088303,0.0,0.0,0.06561814993619919,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.06633208692073822,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.03590865805745125,1.1927623333463089e-08,0.0005271059344522655,0.0005271059344522655,0.04607910290360451,0.0,0.0,0.03538154065608978,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.03590865805745125,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.02006910741329193,9.710290349573825e-09,0.00021518158609978855,0.00021518158609978855,0.020755773410201073,0.0,0.0,0.01985391601920128,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.02006910741329193,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.011063475161790848,1.1175708358734937e-08,0.00020769966067746282,0.00020769966067746282,0.011189230717718601,0.0,0.0,0.010855764150619507,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.011063475161790848,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.005415796302258968,1.2202043819797836e-08,0.00012590868573170155,0.00012590868573170155,0.006445013452321291,0.0,0.0,0.005289875436574221,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.005415796302258968,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.00464629428461194,1.2423839734765352e-08,0.00012962637993041426,0.00012962637993041426,0.009790931828320026,0.0,0.0,0.004516655579209328,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.00464629428461194,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.0023164672311395407,1.3487178485149798e-08,6.454384856624529e-05,6.454384856624529e-05,0.004108801484107971,0.0,0.0,0.002251909812912345,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0023164672311395407,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.00193705502897501,1.2846538055555357e-08,4.859895125264302e-05,4.859895125264302e-05,0.0033437558449804783,0.0,0.0,0.001888443250209093,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.00193705502897501,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.0012943061301484704,1.3948512567196758e-08,3.936003122362308e-05,3.936003122362308e-05,0.002664034254848957,0.0,0.0,0.0012549321400001645,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0012943061301484704,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.001485364162363112,1.369221980240809e-08,3.825902604148723e-05,3.825902604148723e-05,0.0032975287176668644,0.0,0.0,0.0014470914611592889,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.001485364162363112,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.0011496703373268247,1.4333402909016968e-08,3.3721240470185876e-05,3.3721240470185876e-05,0.0020636662375181913,0.0,0.0,0.0011159348068758845,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0011496703373268247,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.0008476797374896705,1.5998207203438142e-08,2.7901365683646873e-05,2.7901365683646873e-05,0.001281358883716166,0.0,0.0,0.000819762353785336,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0008476797374896705,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,0.001439730986021459,1.7605254143404636e-08,2.356387813051697e-05,2.356387813051697e-05,0.0028659829404205084,0.0,0.0,0.0014161495491862297,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.001439730986021459,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
