runner config | sample=1 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=0.000000e+00
sample=1 | outer=1/30 | loss_phi=2.465656e+00 | loss_mu=1.164925e+00 | mu_mse=1.883583e+05 | mu_mae=4.301996e+02 | defect_area_pred=30 | defect_area_label=5 | defect_iou=1.666667e-01
sample=1 | outer=2/30 | loss_phi=2.448858e+00 | loss_mu=6.967279e-01 | mu_mse=9.646799e+04 | mu_mae=2.966065e+02 | defect_area_pred=12 | defect_area_label=5 | defect_iou=4.166667e-01
sample=1 | outer=3/30 | loss_phi=2.446823e+00 | loss_mu=5.108827e-01 | mu_mse=5.594054e+04 | mu_mae=2.071326e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=1 | outer=4/30 | loss_phi=2.445884e+00 | loss_mu=5.025900e-01 | mu_mse=4.330223e+04 | mu_mae=1.666808e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=1 | outer=5/30 | loss_phi=2.444751e+00 | loss_mu=5.588797e-01 | mu_mse=3.966879e+04 | mu_mae=1.515858e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=1 | outer=6/30 | loss_phi=2.443335e+00 | loss_mu=6.414543e-01 | mu_mse=4.731366e+04 | mu_mae=1.713996e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=1 | outer=7/30 | loss_phi=2.441068e+00 | loss_mu=7.902195e-01 | mu_mse=5.485514e+04 | mu_mae=1.841446e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=1 | outer=8/30 | loss_phi=2.437946e+00 | loss_mu=1.098148e+00 | mu_mse=6.753240e+04 | mu_mae=2.099099e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=1 | outer=9/30 | loss_phi=2.432794e+00 | loss_mu=1.088334e+00 | mu_mse=3.260217e+05 | mu_mae=4.655235e+02 | defect_area_pred=79 | defect_area_label=5 | defect_iou=6.329114e-02
sample=1 | outer=10/30 | loss_phi=2.368364e+00 | loss_mu=1.118311e+00 | mu_mse=3.488188e+05 | mu_mae=4.644701e+02 | defect_area_pred=79 | defect_area_label=5 | defect_iou=6.329114e-02
sample=1 | outer=11/30 | loss_phi=2.273579e+00 | loss_mu=1.158077e+00 | mu_mse=3.927730e+05 | mu_mae=4.962697e+02 | defect_area_pred=86 | defect_area_label=5 | defect_iou=5.813954e-02
sample=1 | outer=12/30 | loss_phi=2.100172e+00 | loss_mu=1.088956e+00 | mu_mse=3.670457e+05 | mu_mae=4.545282e+02 | defect_area_pred=81 | defect_area_label=5 | defect_iou=6.172840e-02
