step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_offset_loss,weighted_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,145.72268676757812,0.6957816481590271,0.6932668089866638,0.6932668089866638,0.9659507274627686,0.0,0.0,0.4231034815311432,nan,0.46415480971336365,0.4509991407394409,0.3541565537452698,nan,1409.568603515625,140.9568634033203,-0.0,-0.0,2.900845527648926,2.900845527648926,0.05282289534807205,0.05282289534807205,145.72268676757812,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,3.024214744567871,0.008498312905430794,0.601772129535675,0.601772129535675,0.8023898601531982,0.0,0.0,0.3631012737751007,nan,0.40610384941101074,0.3752270042896271,0.30797305703163147,nan,11.539016723632812,1.1539016962051392,-0.0,-0.0,0.8019113540649414,0.8019113540649414,0.0950298085808754,0.0950298085808754,3.024214744567871,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,1.7894941568374634,0.00040141495992429554,0.5849963426589966,0.5849963426589966,0.5893862247467041,0.0,0.0,0.3317128121852875,nan,0.39550286531448364,0.33979278802871704,0.25984278321266174,nan,4.799271583557129,0.4799271523952484,-0.0,-0.0,0.3512240946292877,0.3512240946292877,0.04123234003782272,0.04123234003782272,1.7894941568374634,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,1.2388043403625488,5.276275260257535e-05,0.5249239802360535,0.5249239802360535,0.5566053986549377,0.0,0.0,0.2965659201145172,nan,0.36930492520332336,0.2757332921028137,0.24465946853160858,nan,1.5785490274429321,0.15785489976406097,-0.0,-0.0,0.2281845659017563,0.2281845659017563,0.0312222708016634,0.0312222708016634,1.2388043403625488,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.926267147064209,2.0488141672103666e-05,0.38186758756637573,0.38186758756637573,0.4295497536659241,0.0,0.0,0.2508462369441986,nan,0.34158939123153687,0.2122042328119278,0.19874504208564758,nan,0.6662805676460266,0.06662806123495102,-0.0,-0.0,0.19741380214691162,0.19741380214691162,0.029490992426872253,0.029490992426872253,0.926267147064209,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.610871434211731,9.371397936774883e-06,0.16264620423316956,0.16264620423316956,0.2564364969730377,0.0,0.0,0.2042824774980545,nan,0.3045869767665863,0.18449433147907257,0.12376614660024643,nan,0.39312657713890076,0.039312656968832016,-0.0,-0.0,0.17762699723243713,0.17762699723243713,0.026993755251169205,0.026993755251169205,0.610871434211731,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.4561798572540283,4.127502052142518e-06,0.06107506528496742,0.06107506528496742,0.20591045916080475,0.0,0.0,0.17581577599048615,nan,0.2737482488155365,0.15721066296100616,0.09648843109607697,nan,0.3436890244483948,0.03436890244483948,-0.0,-0.0,0.15994812548160553,0.15994812548160553,0.024967843666672707,0.024967843666672707,0.4561798572540283,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.36974766850471497,2.3516956844105152e-06,0.024522555992007256,0.024522555992007256,0.1881362944841385,0.0,0.0,0.15563182532787323,nan,0.24819651246070862,0.13358311355113983,0.08511584252119064,nan,0.23284195363521576,0.023284194990992546,-0.0,-0.0,0.14380942285060883,0.14380942285060883,0.02249731309711933,0.02249731309711933,0.36974766850471497,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.31612730026245117,1.527863446426636e-06,0.011990164406597614,0.011990164406597614,0.17427188158035278,0.0,0.0,0.1382705569267273,nan,0.22235995531082153,0.11363968253135681,0.07881201803684235,nan,0.18480049073696136,0.018480049446225166,-0.0,-0.0,0.1274513304233551,0.1274513304233551,0.019933661445975304,0.019933661445975304,0.31612730026245117,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.2718064785003662,1.0188998658122728e-06,0.006826461758464575,0.006826461758464575,0.16096735000610352,0.0,0.0,0.12095590680837631,nan,0.1960344761610031,0.09420234709978104,0.0726308673620224,nan,0.1531752496957779,0.015317524783313274,-0.0,-0.0,0.1113913282752037,0.1113913282752037,0.017314227297902107,0.017314227297902107,0.2718064785003662,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
