split,seed,component_slot,count,x_bin_acc,y_bin_acc,both_bin_acc,center_l2_grid_error_mean,center_offset_error_l1_mean
val,1,0,20,0.7,0.9,0.65,3.4960561027946246,0.19802319259417162
val,1,1,20,1.0,0.75,0.75,2.696170018476563,0.22879027285307507
val,1,2,20,0.7,0.9,0.65,3.895313457104918,0.22316064158475993
val,2,0,20,0.5,0.85,0.5,6.313324268860548,0.23717494967860286
val,2,1,20,0.95,0.75,0.7,5.265545023805176,0.22618904750806626
val,2,2,20,0.55,0.8,0.5,7.269413025598733,0.19385183390486668
val,3,0,20,0.8,0.85,0.7,5.5348862336379625,0.18241105943428387
val,3,1,20,0.85,0.85,0.75,5.494500578159186,0.2519719227964511
val,3,2,20,0.65,0.85,0.6,7.0503904480160715,0.21896908636461765
test,1,0,20,0.8,1.0,0.8,2.867113524618795,0.17635126071946483
test,1,1,20,0.95,0.9,0.85,2.564997348212822,0.21555534803154677
test,1,2,20,0.65,1.0,0.65,2.732836574708007,0.23740901964134897
test,2,0,20,0.7,0.95,0.65,2.954186827148897,0.16983664333920873
test,2,1,20,0.9,0.75,0.65,2.8794266393161423,0.25675751193098006
test,2,2,20,0.7,1.0,0.7,2.9534532900572628,0.19112666826652355
test,3,0,20,0.8,0.9,0.7,2.784236888645439,0.2097050684403364
test,3,1,20,1.0,0.85,0.85,2.410956245161781,0.23281899466486228
test,3,2,20,0.7,0.9,0.65,3.217799680470473,0.24143928375780138
