runner config | sample=11 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=0.000000e+00
sample=11 | outer=1/30 | loss_phi=2.339949e+00 | loss_mu=9.474558e-01 | mu_mse=1.811239e+05 | mu_mae=4.203159e+02 | defect_area_pred=34 | defect_area_label=14 | defect_iou=3.714286e-01
sample=11 | outer=2/30 | loss_phi=2.322902e+00 | loss_mu=5.010071e-01 | mu_mse=1.098250e+05 | mu_mae=3.113091e+02 | defect_area_pred=26 | defect_area_label=14 | defect_iou=4.814815e-01
sample=11 | outer=3/30 | loss_phi=2.320175e+00 | loss_mu=3.925808e-01 | mu_mse=8.034345e+04 | mu_mae=2.465869e+02 | defect_area_pred=24 | defect_area_label=14 | defect_iou=5.200000e-01
sample=11 | outer=4/30 | loss_phi=2.318470e+00 | loss_mu=4.046505e-01 | mu_mse=7.036371e+04 | mu_mae=2.181160e+02 | defect_area_pred=24 | defect_area_label=14 | defect_iou=5.200000e-01
sample=11 | outer=5/30 | loss_phi=2.316655e+00 | loss_mu=4.497597e-01 | mu_mse=7.092730e+04 | mu_mae=2.185343e+02 | defect_area_pred=24 | defect_area_label=14 | defect_iou=5.200000e-01
sample=11 | outer=6/30 | loss_phi=2.314430e+00 | loss_mu=5.264273e-01 | mu_mse=8.142526e+04 | mu_mae=2.373655e+02 | defect_area_pred=24 | defect_area_label=14 | defect_iou=5.200000e-01
sample=11 | outer=7/30 | loss_phi=2.311112e+00 | loss_mu=6.899269e-01 | mu_mse=8.790297e+04 | mu_mae=2.366087e+02 | defect_area_pred=25 | defect_area_label=14 | defect_iou=5.000000e-01
sample=11 | outer=8/30 | loss_phi=2.305401e+00 | loss_mu=8.041100e-01 | mu_mse=2.359844e+05 | mu_mae=3.642016e+02 | defect_area_pred=68 | defect_area_label=14 | defect_iou=2.058824e-01
sample=11 | outer=9/30 | loss_phi=2.261386e+00 | loss_mu=9.048033e-01 | mu_mse=3.134055e+05 | mu_mae=4.234918e+02 | defect_area_pred=79 | defect_area_label=14 | defect_iou=1.772152e-01
sample=11 | outer=10/30 | loss_phi=2.164927e+00 | loss_mu=9.391378e-01 | mu_mse=3.284056e+05 | mu_mae=4.312159e+02 | defect_area_pred=81 | defect_area_label=14 | defect_iou=1.728395e-01
sample=11 | outer=11/30 | loss_phi=2.031776e+00 | loss_mu=8.982231e-01 | mu_mse=3.288913e+05 | mu_mae=4.228490e+02 | defect_area_pred=81 | defect_area_label=14 | defect_iou=1.728395e-01
sample=11 | outer=12/30 | loss_phi=1.860625e+00 | loss_mu=7.884021e-01 | mu_mse=2.911240e+05 | mu_mae=3.703978e+02 | defect_area_pred=74 | defect_area_label=14 | defect_iou=1.891892e-01
