sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,2.1376447677612305,0.014055436477065086,5216.20947265625,40.092044830322266,6,6,1.0,-2.8947370052337646,4.259259223937988,-2.8947370052337646,4.259259223937988,1.0,1.0,1.0,three,5.0
1,1.9273247718811035,0.7112772464752197,48202.48828125,99.43353271484375,20,12,0.6000000238418579,0.7894736528396606,6.777777671813965,0.7894737124443054,6.111110687255859,1.0,1.0,1.0,three,5.0
2,2.3492541313171387,0.14255574345588684,14436.0595703125,65.19613647460938,9,8,0.8888888955116272,-5.35087776184082,5.9259257316589355,-5.526315689086914,6.111110687255859,1.0,1.0,1.0,three,5.0
3,2.1932756900787354,0.4613795876502991,24641.76953125,95.91168975830078,8,6,0.5555555820465088,-3.1578946113586426,7.222222328186035,-2.6315791606903076,7.037036895751953,1.0,1.0,1.0,three,5.0
4,2.1061954498291016,0.27124911546707153,22987.033203125,92.41503143310547,10,8,0.800000011920929,5.210526466369629,6.3333330154418945,5.1315789222717285,6.527777671813965,1.0,1.0,1.0,three,5.0
5,2.3455240726470947,0.16057144105434418,13571.7265625,50.05817413330078,6,6,1.0,-6.315789699554443,6.666666507720947,-6.315789699554443,6.666666507720947,1.0,1.0,1.0,three,5.0
6,2.302501916885376,0.04564955458045006,13058.88671875,68.24725341796875,11,11,1.0,8.110047340393066,5.454545497894287,8.110047340393066,5.454545497894287,1.0,1.0,1.0,three,5.0
7,2.261697769165039,0.6850026249885559,36993.84375,96.01848602294922,15,8,0.5333333611488342,2.473684072494507,7.481481552124023,3.75,6.25,1.0,1.0,1.0,three,5.0
8,2.140523910522461,0.01587972231209278,4354.11767578125,34.354854583740234,4,4,1.0,3.9473683834075928,5.0,3.9473683834075928,5.0,1.0,1.0,1.0,three,5.0
9,2.3868894577026367,0.020341478288173676,9040.287109375,55.941123962402344,14,14,1.0,3.9473683834075928,3.8888888359069824,3.9473683834075928,3.8888888359069824,1.0,1.0,1.0,three,5.0
10,2.2532553672790527,0.05534207075834274,13475.3974609375,67.32489013671875,10,10,1.0,-5.052631855010986,3.555555820465088,-5.052631855010986,3.555555820465088,1.0,1.0,1.0,three,5.0
11,2.091763734817505,0.35531526803970337,30925.841796875,79.56228637695312,18,14,0.7777777910232544,-4.210526466369629,7.34567928314209,-4.398496150970459,6.666666507720947,1.0,1.0,1.0,three,5.0
12,2.191854953765869,0.027981847524642944,4023.753173828125,30.996864318847656,4,4,1.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,three,5.0
13,2.44149112701416,0.33760660886764526,19836.251953125,75.31605529785156,7,5,0.7142857313156128,-1.6917294263839722,7.619048118591309,-1.4210526943206787,6.888888359069824,1.0,1.0,1.0,three,5.0
14,2.2141430377960205,0.014213813468813896,4928.46337890625,42.95999526977539,6,6,1.0,3.1578948497772217,3.333333730697632,3.1578948497772217,3.333333730697632,1.0,1.0,1.0,three,5.0
15,2.185258388519287,0.11638659238815308,15202.0615234375,78.84819030761719,6,6,1.0,0.0,5.55555534362793,0.0,5.55555534362793,1.0,1.0,1.0,three,5.0
16,2.175323724746704,0.11287292838096619,8306.3017578125,35.17458724975586,5,5,1.0,5.842104911804199,6.444444179534912,5.842104911804199,6.444444179534912,1.0,1.0,1.0,three,5.0
17,2.063934564590454,0.019550349563360214,10393.4697265625,59.60238265991211,15,15,1.0,-3.3157894611358643,4.370369911193848,-3.3157894611358643,4.370369911193848,1.0,1.0,1.0,three,5.0
18,2.3185927867889404,0.09602595120668411,8324.033203125,34.92485809326172,4,4,1.0,7.894737243652344,6.111110687255859,7.894737243652344,6.111110687255859,1.0,1.0,1.0,three,5.0
19,2.3558542728424072,0.014243332669138908,3861.468505859375,30.58240509033203,4,4,1.0,1.5789474248886108,3.8888888359069824,1.5789474248886108,3.8888888359069824,1.0,1.0,1.0,three,5.0
