runner config | sample=14 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=1.000000e+00
sample=14 | outer=1/30 | loss_phi=2.270048e+00 | loss_mu=1.461824e+00 | mu_mse=1.635336e+05 | mu_mae=4.009264e+02 | defect_area_pred=0 | defect_area_label=6 | defect_iou=0.000000e+00
sample=14 | outer=2/30 | loss_phi=2.253411e+00 | loss_mu=1.083112e+00 | mu_mse=1.412511e+05 | mu_mae=3.710392e+02 | defect_area_pred=0 | defect_area_label=6 | defect_iou=0.000000e+00
sample=14 | outer=3/30 | loss_phi=2.250156e+00 | loss_mu=8.941036e-01 | mu_mse=1.132845e+05 | mu_mae=3.262982e+02 | defect_area_pred=1 | defect_area_label=6 | defect_iou=1.666667e-01
sample=14 | outer=4/30 | loss_phi=2.248823e+00 | loss_mu=7.137914e-01 | mu_mse=8.213300e+04 | mu_mae=2.704892e+02 | defect_area_pred=5 | defect_area_label=6 | defect_iou=5.714286e-01
sample=14 | outer=5/30 | loss_phi=2.248182e+00 | loss_mu=6.079716e-01 | mu_mse=6.003922e+04 | mu_mae=2.240245e+02 | defect_area_pred=5 | defect_area_label=6 | defect_iou=5.714286e-01
sample=14 | outer=6/30 | loss_phi=2.247637e+00 | loss_mu=5.914184e-01 | mu_mse=5.158018e+04 | mu_mae=2.045622e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=7/30 | loss_phi=2.246789e+00 | loss_mu=6.394237e-01 | mu_mse=4.442700e+04 | mu_mae=1.856048e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=8/30 | loss_phi=2.245718e+00 | loss_mu=7.532814e-01 | mu_mse=4.366845e+04 | mu_mae=1.805603e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=9/30 | loss_phi=2.243961e+00 | loss_mu=9.829580e-01 | mu_mse=4.492470e+04 | mu_mae=1.790607e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=10/30 | loss_phi=2.241422e+00 | loss_mu=1.311909e+00 | mu_mse=5.198114e+04 | mu_mae=1.959423e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=11/30 | loss_phi=2.237019e+00 | loss_mu=1.496694e+00 | mu_mse=6.363266e+04 | mu_mae=2.255740e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=12/30 | loss_phi=2.233572e+00 | loss_mu=1.632825e+00 | mu_mse=7.048813e+04 | mu_mae=2.388071e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=13/30 | loss_phi=2.231044e+00 | loss_mu=1.667950e+00 | mu_mse=7.100072e+04 | mu_mae=2.385681e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=14/30 | loss_phi=2.228943e+00 | loss_mu=1.599394e+00 | mu_mse=6.727155e+04 | mu_mae=2.298610e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=15/30 | loss_phi=2.227199e+00 | loss_mu=1.462438e+00 | mu_mse=6.149183e+04 | mu_mae=2.166560e+02 | defect_area_pred=7 | defect_area_label=6 | defect_iou=8.571429e-01
sample=14 | outer=16/30 | loss_phi=2.225743e+00 | loss_mu=1.281354e+00 | mu_mse=5.470210e+04 | mu_mae=2.009202e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=17/30 | loss_phi=2.224556e+00 | loss_mu=1.069692e+00 | mu_mse=4.789795e+04 | mu_mae=1.843727e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=18/30 | loss_phi=2.223525e+00 | loss_mu=8.784264e-01 | mu_mse=4.172486e+04 | mu_mae=1.689391e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=19/30 | loss_phi=2.222610e+00 | loss_mu=6.947397e-01 | mu_mse=3.592191e+04 | mu_mae=1.538231e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=20/30 | loss_phi=2.221787e+00 | loss_mu=5.112539e-01 | mu_mse=3.021627e+04 | mu_mae=1.380784e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=21/30 | loss_phi=2.221090e+00 | loss_mu=3.585179e-01 | mu_mse=2.537885e+04 | mu_mae=1.235839e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=22/30 | loss_phi=2.220407e+00 | loss_mu=2.326917e-01 | mu_mse=2.044554e+04 | mu_mae=1.081533e+02 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=23/30 | loss_phi=2.219871e+00 | loss_mu=1.121081e-01 | mu_mse=1.565714e+04 | mu_mae=9.155040e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=24/30 | loss_phi=2.219475e+00 | loss_mu=5.318601e-02 | mu_mse=1.046319e+04 | mu_mae=7.117752e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=25/30 | loss_phi=2.219491e+00 | loss_mu=3.502436e-02 | mu_mse=8.308042e+03 | mu_mae=6.053498e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=26/30 | loss_phi=2.218466e+00 | loss_mu=2.998952e-02 | mu_mse=7.076705e+03 | mu_mae=5.423997e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=27/30 | loss_phi=2.217193e+00 | loss_mu=4.502463e-02 | mu_mse=6.853843e+03 | mu_mae=5.329759e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=28/30 | loss_phi=2.215572e+00 | loss_mu=2.342436e-02 | mu_mse=6.077268e+03 | mu_mae=4.952766e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=29/30 | loss_phi=2.214678e+00 | loss_mu=2.038848e-02 | mu_mse=5.475164e+03 | mu_mae=4.616931e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
sample=14 | outer=30/30 | loss_phi=2.214143e+00 | loss_mu=1.421381e-02 | mu_mse=4.928463e+03 | mu_mae=4.296000e+01 | defect_area_pred=6 | defect_area_label=6 | defect_iou=1.000000e+00
