step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,148.6404266357422,0.6957816481590271,0.6932668089866638,0.6932668089866638,0.9659507274627686,0.0,0.0,0.4231034815311432,nan,0.46415480971336365,0.4509991407394409,0.3541565537452698,nan,1409.568603515625,140.9568634033203,-0.0,-0.0,2.900845527648926,2.900845527648926,0.05282289534807205,0.05282289534807205,2.8690195083618164,2.8690195083618164,0.048723623156547546,0.048723623156547546,148.6404266357422,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,3.3754453659057617,0.007515288889408112,0.603012204170227,0.603012204170227,0.7866320013999939,0.0,0.0,0.3650686740875244,nan,0.40777283906936646,0.38334599137306213,0.3040871322154999,nan,11.524359703063965,1.1524360179901123,-0.0,-0.0,0.7931607961654663,0.7931607961654663,0.09117838740348816,0.09117838740348816,0.33510622382164,0.33510622382164,0.027967585250735283,0.027967585250735283,3.3754453659057617,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,1.977738857269287,0.00021851895144209266,0.5865272283554077,0.5865272283554077,0.5984762907028198,0.0,0.0,0.33382630348205566,nan,0.39499780535697937,0.3424863815307617,0.2639947533607483,nan,5.020047187805176,0.5020047426223755,-0.0,-0.0,0.30223268270492554,0.30223268270492554,0.03542876988649368,0.03542876988649368,0.19301193952560425,0.19301193952560425,0.024488801136612892,0.024488801136612892,1.977738857269287,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,1.4436171054840088,4.07255174650345e-05,0.531818687915802,0.531818687915802,0.5925731658935547,0.0,0.0,0.3056527078151703,nan,0.36810028553009033,0.2926082909107208,0.2562495470046997,nan,2.1221675872802734,0.21221676468849182,-0.0,-0.0,0.2143288403749466,0.2143288403749466,0.029283352196216583,0.029283352196216583,0.13217793405056,0.13217793405056,0.01809808425605297,0.01809808425605297,1.4436171054840088,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,1.0701886415481567,1.696415347396396e-05,0.42038193345069885,0.42038193345069885,0.543961763381958,0.0,0.0,0.2665207087993622,nan,0.3324930965900421,0.2304694652557373,0.23659957945346832,nan,0.918765127658844,0.09187651425600052,-0.0,-0.0,0.1788710206747055,0.1788710206747055,0.026251420378684998,0.026251420378684998,0.07335326075553894,0.07335326075553894,0.012916870415210724,0.012916870415210724,1.0701886415481567,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.7278116345405579,6.449496140703559e-06,0.21252351999282837,0.21252351999282837,0.4724579453468323,0.0,0.0,0.22767280042171478,nan,0.2926778793334961,0.1897001415491104,0.20064038038253784,nan,0.5002063512802124,0.05002063512802124,-0.0,-0.0,0.15925633907318115,0.15925633907318115,0.023326531052589417,0.023326531052589417,0.04492201656103134,0.04492201656103134,0.010083377361297607,0.010083377361297607,0.7278116345405579,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.5051447153091431,2.7738262815546477e-06,0.07974301278591156,0.07974301278591156,0.3845643997192383,0.0,0.0,0.19668732583522797,nan,0.2531132400035858,0.17136713862419128,0.1655815690755844,nan,0.38436171412467957,0.0384361706674099,-0.0,-0.0,0.13760827481746674,0.13760827481746674,0.02067069336771965,0.02067069336771965,0.024266520515084267,0.024266520515084267,0.007729943376034498,0.007729943376034498,0.5051447153091431,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.35391706228256226,1.4319524552774965e-06,0.025480443611741066,0.025480443611741066,0.23912113904953003,0.0,0.0,0.15656737983226776,nan,0.21171051263809204,0.14663417637348175,0.11135745048522949,nan,0.26921311020851135,0.026921311393380165,-0.0,-0.0,0.11375603079795837,0.11375603079795837,0.017398275434970856,0.017398275434970856,0.009018386714160442,0.009018386714160442,0.00477380957454443,0.00477380957454443,0.35391706228256226,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.2640884816646576,8.547840479877777e-07,0.009744158014655113,0.009744158014655113,0.1662309318780899,0.0,0.0,0.12569200992584229,nan,0.1753794103860855,0.12154003232717514,0.0801565870642662,nan,0.20521849393844604,0.020521849393844604,-0.0,-0.0,0.08851040154695511,0.08851040154695511,0.012737791985273361,0.012737791985273361,0.0031513418070971966,0.0031513418070971966,0.003730068914592266,0.003730068914592266,0.2640884816646576,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.21313659846782684,5.953537538516684e-07,0.005488710477948189,0.005488710477948189,0.14683745801448822,0.0,0.0,0.10788657516241074,nan,0.15056106448173523,0.10172222554683685,0.07137642800807953,nan,0.19907261431217194,0.019907262176275253,-0.0,-0.0,0.06603586673736572,0.06603586673736572,0.009399814531207085,0.009399814531207085,0.001324901357293129,0.001324901357293129,0.0030928715132176876,0.0030928715132176876,0.21313659846782684,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
