step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_x_bin_loss,center_y_bin_loss,weighted_center_x_bin_loss,weighted_center_y_bin_loss,center_bin_slot_weight_mean,center_bin_slot_weight_max,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,145.72268676757812,0.6957816481590271,0.6932668089866638,0.6932668089866638,0.9659507274627686,0.0,0.0,0.4231034815311432,nan,0.46415480971336365,0.4509991407394409,0.3541565537452698,nan,1409.568603515625,140.9568634033203,-0.0,-0.0,2.900845527648926,2.900845527648926,3.2329347133636475,2.568756341934204,1.6164673566818237,1.284378170967102,1.0,1.0,0.05282289534807205,0.05282289534807205,0.0,0.0,0.0,0.0,145.72268676757812,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,3.024214744567871,0.008498312905430794,0.601772129535675,0.601772129535675,0.8023898601531982,0.0,0.0,0.3631012737751007,nan,0.40610384941101074,0.3752270042896271,0.30797305703163147,nan,11.539016723632812,1.1539016962051392,-0.0,-0.0,0.8019113540649414,0.8019113540649414,0.8323688507080078,0.7714537978172302,0.4161844253540039,0.3857268989086151,1.0,1.0,0.0950298085808754,0.0950298085808754,0.0,0.0,0.0,0.0,3.024214744567871,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,1.7894941568374634,0.00040141495992429554,0.5849963426589966,0.5849963426589966,0.5893862247467041,0.0,0.0,0.3317128121852875,nan,0.39550286531448364,0.33979278802871704,0.25984278321266174,nan,4.799271583557129,0.4799271523952484,-0.0,-0.0,0.35122406482696533,0.35122406482696533,0.4402714967727661,0.26217666268348694,0.22013574838638306,0.13108833134174347,1.0,1.0,0.04123234003782272,0.04123234003782272,0.0,0.0,0.0,0.0,1.7894941568374634,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,1.2388043403625488,5.276275260257535e-05,0.5249239802360535,0.5249239802360535,0.5566053986549377,0.0,0.0,0.2965659201145172,nan,0.36930492520332336,0.2757332921028137,0.24465946853160858,nan,1.5785490274429321,0.15785489976406097,-0.0,-0.0,0.2281845659017563,0.2281845659017563,0.33402004837989807,0.1223490908741951,0.16701002418994904,0.06117454543709755,1.0,1.0,0.0312222708016634,0.0312222708016634,0.0,0.0,0.0,0.0,1.2388043403625488,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.926267147064209,2.0488141672103666e-05,0.38186758756637573,0.38186758756637573,0.4295497536659241,0.0,0.0,0.2508462369441986,nan,0.34158939123153687,0.2122042328119278,0.19874504208564758,nan,0.6662805676460266,0.06662806123495102,-0.0,-0.0,0.19741380214691162,0.19741380214691162,0.2959998548030853,0.09882776439189911,0.14799992740154266,0.049413882195949554,1.0,1.0,0.029490992426872253,0.029490992426872253,0.0,0.0,0.0,0.0,0.926267147064209,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.6108714938163757,9.371397936774883e-06,0.16264620423316956,0.16264620423316956,0.2564364969730377,0.0,0.0,0.2042824774980545,nan,0.3045869767665863,0.18449433147907257,0.12376614660024643,nan,0.39312657713890076,0.039312656968832016,-0.0,-0.0,0.17762701213359833,0.17762701213359833,0.2668018341064453,0.08845219016075134,0.13340091705322266,0.04422609508037567,1.0,1.0,0.026993755251169205,0.026993755251169205,0.0,0.0,0.0,0.0,0.6108714938163757,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.45617982745170593,4.127502052142518e-06,0.06107506528496742,0.06107506528496742,0.20591045916080475,0.0,0.0,0.17581577599048615,nan,0.2737482488155365,0.15721066296100616,0.09648843109607697,nan,0.3436890244483948,0.03436890244483948,-0.0,-0.0,0.15994811058044434,0.15994811058044434,0.23645322024822235,0.08344299346208572,0.11822661012411118,0.04172149673104286,1.0,1.0,0.024967843666672707,0.024967843666672707,0.0,0.0,0.0,0.0,0.45617982745170593,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.36974766850471497,2.3516956844105152e-06,0.024522555992007256,0.024522555992007256,0.1881362944841385,0.0,0.0,0.15563182532787323,nan,0.24819651246070862,0.13358311355113983,0.08511584252119064,nan,0.23284195363521576,0.023284194990992546,-0.0,-0.0,0.14380942285060883,0.14380942285060883,0.20920442044734955,0.0784144178032875,0.10460221022367477,0.03920720890164375,1.0,1.0,0.02249731309711933,0.02249731309711933,0.0,0.0,0.0,0.0,0.36974766850471497,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.31612730026245117,1.527863446426636e-06,0.011990164406597614,0.011990164406597614,0.17427188158035278,0.0,0.0,0.1382705569267273,nan,0.22235995531082153,0.11363968253135681,0.07881201803684235,nan,0.18480049073696136,0.018480049446225166,-0.0,-0.0,0.1274513304233551,0.1274513304233551,0.1821627914905548,0.07273988425731659,0.0910813957452774,0.036369942128658295,1.0,1.0,0.019933661445975304,0.019933661445975304,0.0,0.0,0.0,0.0,0.31612730026245117,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.2718064785003662,1.0188998658122728e-06,0.006826461758464575,0.006826461758464575,0.16096735000610352,0.0,0.0,0.12095590680837631,nan,0.1960344761610031,0.09420234709978104,0.0726308673620224,nan,0.1531752496957779,0.015317524783313274,-0.0,-0.0,0.1113913357257843,0.1113913357257843,0.15742336213588715,0.06535930186510086,0.07871168106794357,0.03267965093255043,1.0,1.0,0.017314227297902107,0.017314227297902107,0.0,0.0,0.0,0.0,0.2718064785003662,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.23177653551101685,7.273409323715896e-07,0.004333880729973316,0.004333880729973316,0.14175601303577423,0.0,0.0,0.10339141637086868,nan,0.17168767750263214,0.07469605654478073,0.06379052251577377,nan,0.12714429199695587,0.012714429758489132,-0.0,-0.0,0.09651674330234528,0.09651674330234528,0.13651137053966522,0.05652211606502533,0.06825568526983261,0.028261058032512665,1.0,1.0,0.014819332398474216,0.014819332398474216,0.0,0.0,0.0,0.0,0.23177653551101685,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.19435372948646545,4.5778239154969924e-07,0.003064604476094246,0.003064604476094246,0.11832506954669952,0.0,0.0,0.08512738347053528,nan,0.14586882293224335,0.05641241744160652,0.05310092121362686,nan,0.11447002738714218,0.011447003111243248,-0.0,-0.0,0.08221361041069031,0.08221361041069031,0.11830103397369385,0.046126190572977066,0.059150516986846924,0.023063095286488533,1.0,1.0,0.01250067725777626,0.01250067725777626,0.0,0.0,0.0,0.0,0.19435372948646545,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.21004869043827057,2.752661032445758e-07,0.0022934579756110907,0.0022934579756110907,0.09668396413326263,0.0,0.0,0.07130588591098785,nan,0.1264408975839615,0.04479821398854256,0.04267854988574982,nan,0.5464425086975098,0.054644253104925156,-0.0,-0.0,0.07012976706027985,0.07012976706027985,0.10387680679559708,0.03638272359967232,0.05193840339779854,0.01819136179983616,1.0,1.0,0.011675048619508743,0.011675048619508743,0.0,0.0,0.0,0.0,0.21004869043827057,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.13526521623134613,1.8615412500366801e-07,0.002029175404459238,0.002029175404459238,0.07455343008041382,0.0,0.0,0.05534452199935913,nan,0.09962265193462372,0.03380228951573372,0.03260863572359085,nan,0.10923101752996445,0.01092310156673193,-0.0,-0.0,0.058583687990903854,0.058583687990903854,0.08896680921316147,0.02820056676864624,0.044483404606580734,0.01410028338432312,1.0,1.0,0.00838454719632864,0.00838454719632864,0.0,0.0,0.0,0.0,0.13526521623134613,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.11203783750534058,1.2491155132465792e-07,0.0015932838432490826,0.0015932838432490826,0.059431303292512894,0.0,0.0,0.04490065574645996,nan,0.0829489603638649,0.02588396519422531,0.025869041681289673,nan,0.10290861874818802,0.010290862061083317,-0.0,-0.0,0.04863782599568367,0.04863782599568367,0.07694144546985626,0.020334208384156227,0.03847072273492813,0.010167104192078114,1.0,1.0,0.006615088786929846,0.006615088786929846,0.0,0.0,0.0,0.0,0.11203783750534058,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
