sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,1.7378897666931152,1.052629828453064,344442.40625,438.1768798828125,291,20,0.033222589641809464,-1.864922046661377,6.4713335037231445,-6.76923131942749,3.9473681449890137,1.0,1.0,0.0,three,5.0
1,1.8132473230361938,1.0394947528839111,334796.75,418.2803039550781,286,20,0.05517241358757019,-1.2130178213119507,6.6672797203063965,3.461538791656494,4.473683834075928,1.0,1.0,0.0,three,5.0
2,1.7503728866577148,1.0145864486694336,340146.75,418.6881103515625,300,21,0.059405941516160965,-1.9948718547821045,6.796491622924805,-7.673993110656738,6.140351295471191,1.0,1.0,0.0,three,5.0
3,1.7473652362823486,0.9548357725143433,299218.8125,368.1717529296875,271,23,0.084870845079422,-1.1027534008026123,6.770246982574463,-6.705685615539551,7.6659040451049805,1.0,1.0,0.0,three,5.0
4,1.7488244771957397,1.1414499282836914,355607.28125,436.9516906738281,306,12,0.03921568766236305,-1.8853695392608643,6.403509616851807,-2.8205127716064453,3.7719297409057617,1.0,1.0,0.0,three,5.0
5,1.843217134475708,0.7268974781036377,253382.90625,322.2225646972656,267,62,0.22304832935333252,-0.21175453066825867,6.605558395385742,1.6253101825714111,3.9473683834075928,1.0,1.0,0.0,three,5.0
6,1.8181357383728027,0.9067525863647461,377618.71875,462.4076232910156,366,61,0.16032609343528748,0.6494325399398804,5.792349815368652,5.769230842590332,3.5461606979370117,1.0,1.0,0.0,three,5.0
7,1.7941107749938965,0.7389912009239197,236121.1875,308.62152099609375,250,54,0.2160000056028366,0.48615387082099915,6.694736957550049,0.38461536169052124,4.610136032104492,1.0,1.0,0.0,three,5.0
8,1.829552173614502,0.8140564560890198,287567.375,369.9794006347656,285,56,0.17182131111621857,0.5438596606254578,6.792243480682373,4.766483783721924,5.742481708526611,1.0,1.0,0.0,three,5.0
9,1.8864821195602417,0.996573805809021,297335.90625,366.4858093261719,267,19,0.07116104662418365,-0.9694613814353943,6.7671990394592285,2.4089066982269287,5.4016618728637695,1.0,1.0,0.0,three,5.0
10,1.8090307712554932,0.9828425645828247,291896.625,359.771484375,264,21,0.07954545319080353,-0.8187645673751831,6.907894611358643,-4.450549125671387,6.4912285804748535,1.0,1.0,0.0,three,5.0
11,1.9512195587158203,1.1921210289001465,454514.40625,581.1631469726562,376,19,0.02864583395421505,-0.5278233289718628,6.280794620513916,7.550607681274414,4.1274237632751465,1.0,1.0,0.0,three,5.0
12,1.8014857769012451,0.9640077948570251,306579.46875,384.85882568359375,272,30,0.08633093535900116,-1.1538461446762085,6.782120704650879,4.230769157409668,6.05263090133667,1.0,1.0,0.0,three,5.0
13,1.825786828994751,0.8377715945243835,257033.0625,320.9610900878906,250,37,0.1434262990951538,-0.8799999952316284,6.837894439697266,2.692307710647583,5.789473056793213,1.0,1.0,0.0,three,5.0
14,1.8284549713134766,0.9610400199890137,309992.875,381.2310485839844,279,24,0.08214285969734192,-0.1530190259218216,6.630824565887451,3.076923131942749,3.9473683834075928,1.0,1.0,0.0,three,5.0
15,1.6442502737045288,1.103536605834961,371433.125,464.4711608886719,320,18,0.05295950174331665,0.33653849363327026,6.575659275054932,5.384615421295166,5.029239654541016,1.0,1.0,0.0,three,5.0
16,1.7714053392410278,0.8805978298187256,280274.4375,354.35394287109375,272,38,0.13970588147640228,-0.4100678861141205,6.79373025894165,-2.307692289352417,6.1495842933654785,1.0,1.0,0.0,three,5.0
17,1.6862894296646118,0.8801305294036865,275375.4375,340.8829650878906,262,34,0.12977099418640137,-0.9365825057029724,6.83607816696167,2.2624433040618896,5.603715419769287,1.0,1.0,0.0,three,5.0
18,1.707306981086731,0.7968919277191162,252216.9375,319.885986328125,255,43,0.16862745583057404,-0.004524893127381802,6.788441181182861,-1.6547404527664185,5.679315090179443,1.0,1.0,0.0,three,5.0
19,1.8871310949325562,0.8912781476974487,289437.59375,364.0537414550781,277,36,0.12996390461921692,0.07359068095684052,6.498195171356201,-1.88034188747406,5.511695861816406,1.0,1.0,0.0,three,5.0
