runner config | sample=12 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=0.000000e+00
sample=12 | outer=1/20 | loss_phi=2.416175e+00 | loss_mu=1.737332e+00 | mu_mse=2.824197e+05 | mu_mae=5.230654e+02 | defect_area_pred=352 | defect_area_label=30 | defect_iou=8.522727e-02
sample=12 | outer=2/20 | loss_phi=2.389935e+00 | loss_mu=1.045938e+00 | mu_mse=2.192478e+05 | mu_mae=4.541292e+02 | defect_area_pred=231 | defect_area_label=30 | defect_iou=1.106383e-01
sample=12 | outer=3/20 | loss_phi=2.383135e+00 | loss_mu=9.217834e-01 | mu_mse=1.752818e+05 | mu_mae=3.993391e+02 | defect_area_pred=192 | defect_area_label=30 | defect_iou=1.269035e-01
sample=12 | outer=4/20 | loss_phi=2.380319e+00 | loss_mu=7.871354e-01 | mu_mse=1.247970e+05 | mu_mae=3.349073e+02 | defect_area_pred=108 | defect_area_label=30 | defect_iou=2.212389e-01
sample=12 | outer=5/20 | loss_phi=2.379371e+00 | loss_mu=6.755181e-01 | mu_mse=9.423568e+04 | mu_mae=2.836892e+02 | defect_area_pred=77 | defect_area_label=30 | defect_iou=3.375000e-01
sample=12 | outer=6/20 | loss_phi=2.378690e+00 | loss_mu=6.539217e-01 | mu_mse=7.988689e+04 | mu_mae=2.524078e+02 | defect_area_pred=70 | defect_area_label=30 | defect_iou=3.513514e-01
sample=12 | outer=7/20 | loss_phi=2.377857e+00 | loss_mu=6.774695e-01 | mu_mse=7.743848e+04 | mu_mae=2.438755e+02 | defect_area_pred=69 | defect_area_label=30 | defect_iou=3.561644e-01
sample=12 | outer=8/20 | loss_phi=2.376781e+00 | loss_mu=7.172749e-01 | mu_mse=7.957277e+04 | mu_mae=2.439065e+02 | defect_area_pred=71 | defect_area_label=30 | defect_iou=3.466667e-01
sample=12 | outer=9/20 | loss_phi=2.375427e+00 | loss_mu=7.907500e-01 | mu_mse=8.367459e+04 | mu_mae=2.467523e+02 | defect_area_pred=75 | defect_area_label=30 | defect_iou=3.291139e-01
sample=12 | outer=10/20 | loss_phi=2.373702e+00 | loss_mu=8.946323e-01 | mu_mse=9.556901e+04 | mu_mae=2.573977e+02 | defect_area_pred=89 | defect_area_label=30 | defect_iou=2.934783e-01
sample=12 | outer=11/20 | loss_phi=2.370624e+00 | loss_mu=9.394454e-01 | mu_mse=2.247312e+05 | mu_mae=3.817288e+02 | defect_area_pred=257 | defect_area_label=30 | defect_iou=1.167315e-01
sample=12 | outer=12/20 | loss_phi=2.353676e+00 | loss_mu=9.653795e-01 | mu_mse=2.994660e+05 | mu_mae=4.323388e+02 | defect_area_pred=289 | defect_area_label=30 | defect_iou=1.038062e-01
sample=12 | outer=13/20 | loss_phi=2.315540e+00 | loss_mu=1.109039e+00 | mu_mse=3.806677e+05 | mu_mae=5.049517e+02 | defect_area_pred=350 | defect_area_label=30 | defect_iou=8.571429e-02
sample=12 | outer=14/20 | loss_phi=2.240348e+00 | loss_mu=1.137347e+00 | mu_mse=3.778149e+05 | mu_mae=4.935615e+02 | defect_area_pred=342 | defect_area_label=30 | defect_iou=8.771930e-02
sample=12 | outer=15/20 | loss_phi=2.170832e+00 | loss_mu=1.096217e+00 | mu_mse=3.749906e+05 | mu_mae=4.827423e+02 | defect_area_pred=335 | defect_area_label=30 | defect_iou=8.955224e-02
sample=12 | outer=16/20 | loss_phi=2.086973e+00 | loss_mu=1.027981e+00 | mu_mse=3.613642e+05 | mu_mae=4.591973e+02 | defect_area_pred=325 | defect_area_label=30 | defect_iou=9.230769e-02
sample=12 | outer=17/20 | loss_phi=1.992788e+00 | loss_mu=9.826518e-01 | mu_mse=3.430225e+05 | mu_mae=4.321578e+02 | defect_area_pred=308 | defect_area_label=30 | defect_iou=9.032258e-02
sample=12 | outer=18/20 | loss_phi=1.909357e+00 | loss_mu=9.705441e-01 | mu_mse=3.267790e+05 | mu_mae=4.089441e+02 | defect_area_pred=294 | defect_area_label=30 | defect_iou=8.724833e-02
sample=12 | outer=19/20 | loss_phi=1.825531e+00 | loss_mu=9.332546e-01 | mu_mse=2.958038e+05 | mu_mae=3.705395e+02 | defect_area_pred=270 | defect_area_label=30 | defect_iou=9.489051e-02
sample=12 | outer=20/20 | loss_phi=1.801486e+00 | loss_mu=9.640078e-01 | mu_mse=3.065795e+05 | mu_mae=3.848588e+02 | defect_area_pred=272 | defect_area_label=30 | defect_iou=8.633094e-02
