sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,2.194758653640747,3.7445456981658936,274617.125,437.83575439453125,262,20,0.06415094435214996,-0.8984146118164062,6.544796943664551,-6.76923131942749,3.9473681449890137,1.0,1.0,1.0,three,5.0
1,2.225802421569824,3.0835723876953125,203319.0625,394.1205139160156,230,20,0.08695652335882187,0.2274247407913208,6.908466815948486,3.461538791656494,4.473683834075928,1.0,1.0,1.0,three,5.0
2,2.215188980102539,3.6421241760253906,251870.0625,422.9100646972656,266,21,0.06691449880599976,-1.2087911367416382,6.834190368652344,-7.673993110656738,6.140351295471191,1.0,1.0,1.0,three,5.0
3,2.1450493335723877,3.4079442024230957,226347.5625,400.590576171875,225,23,0.08296943455934525,-1.0410256385803223,7.017544269561768,-6.705685615539551,7.6659040451049805,1.0,1.0,1.0,three,5.0
4,2.1666176319122314,3.2778544425964355,219194.8125,406.94659423828125,232,12,0.0517241396009922,-0.6366048455238342,6.717332363128662,-2.8205127716064453,3.7719297409057617,1.0,1.0,1.0,three,5.0
5,2.2334063053131104,2.0105397701263428,125699.21875,297.4242858886719,155,62,0.4000000059604645,2.0471463203430176,5.9151105880737305,1.6253101825714111,3.9473683834075928,1.0,1.0,1.0,three,5.0
6,2.2824018001556396,1.9959650039672852,118515.0390625,321.73150634765625,87,61,0.6818181872367859,5.424403190612793,4.035087585449219,5.769230842590332,3.5461606979370117,1.0,1.0,1.0,three,5.0
7,2.3836629390716553,2.7838096618652344,208380.046875,363.3080139160156,210,54,0.2571428716182709,0.38461536169052124,6.8295745849609375,0.38461536169052124,4.610136032104492,1.0,1.0,1.0,three,5.0
8,2.264458656311035,2.1900181770324707,133026.0625,310.0044250488281,158,56,0.3544303774833679,2.7361245155334473,6.975349426269531,4.766483783721924,5.742481708526611,1.0,1.0,1.0,three,5.0
9,2.3483316898345947,3.045001983642578,195082.90625,388.2667236328125,205,19,0.09268292784690857,-0.12195122987031937,7.111681938171387,2.4089066982269287,5.4016618728637695,1.0,1.0,1.0,three,5.0
10,2.2723729610443115,3.4576313495635986,233136.40625,395.8035888671875,228,21,0.09210526198148727,-0.5364372730255127,6.941367149353027,-4.450549125671387,6.4912285804748535,1.0,1.0,1.0,three,5.0
11,2.441098690032959,3.701533794403076,278842.90625,463.89410400390625,252,19,0.04633204638957977,-0.2014651894569397,6.821219444274902,7.550607681274414,4.1274237632751465,1.0,1.0,1.0,three,5.0
12,2.296210765838623,3.675530433654785,269326.03125,411.5447692871094,250,30,0.1111111119389534,-0.03384615480899811,6.848421096801758,4.230769157409668,6.05263090133667,1.0,1.0,1.0,three,5.0
13,2.2868266105651855,3.265925407409668,235110.078125,384.0924072265625,239,37,0.15481171011924744,0.02735758014023304,6.833296775817871,2.692307710647583,5.789473056793213,1.0,1.0,1.0,three,5.0
14,2.2514383792877197,2.5087697505950928,136474.9375,337.7655029296875,186,24,0.12903225421905518,0.7485525608062744,6.8279571533203125,3.076923131942749,3.9473683834075928,1.0,1.0,1.0,three,5.0
15,2.204566240310669,3.1064672470092773,195703.484375,387.23553466796875,235,18,0.0765957459807396,0.2602291405200958,6.9361701011657715,5.384615421295166,5.029239654541016,1.0,1.0,1.0,three,5.0
16,2.207064390182495,3.0170092582702637,211671.015625,370.3204650878906,216,38,0.17592592537403107,-0.3632478415966034,6.893275737762451,-2.307692289352417,6.1495842933654785,1.0,1.0,1.0,three,5.0
17,2.153715133666992,2.4075636863708496,151937.5625,348.972412109375,176,34,0.1931818127632141,0.5944055914878845,7.153109550476074,2.2624433040618896,5.603715419769287,1.0,1.0,1.0,three,5.0
18,2.247304916381836,2.9162421226501465,207560.453125,360.84552001953125,211,43,0.20379146933555603,-0.4283631443977356,6.8870038986206055,-1.6547404527664185,5.679315090179443,1.0,1.0,1.0,three,5.0
19,2.4772565364837646,3.176449775695801,230925.640625,385.0494384765625,228,36,0.15789473056793213,-0.19568151235580444,6.71283483505249,-1.88034188747406,5.511695861816406,1.0,1.0,1.0,three,5.0
