step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_x_bin_loss,center_y_bin_loss,weighted_center_x_bin_loss,weighted_center_y_bin_loss,center_bin_slot_weight_mean,center_bin_slot_weight_max,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,1.0774613618850708,0.6923149228096008,0.0,0.0,0.005834302864968777,0.0,0.0,0.3851464092731476,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0774613618850708,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.3823865056037903,3.426843977649696e-05,0.0,0.0,1.0662441809472512e-06,0.0,0.0,0.38235223293304443,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823865056037903,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.38237038254737854,2.329721610294655e-05,0.0,0.0,3.0110429634078173e-06,0.0,0.0,0.38234707713127136,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38237038254737854,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.3823631703853607,1.6041800336097367e-05,0.0,0.0,5.274956947687315e-06,0.0,0.0,0.38234713673591614,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823631703853607,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.3823630213737488,1.1481736692076083e-05,0.0,0.0,8.60293221194297e-06,0.0,0.0,0.3823515474796295,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823630213737488,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.38235610723495483,8.695858923601918e-06,0.0,0.0,1.1821753105323296e-06,0.0,0.0,0.3823474049568176,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235610723495483,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.3823537826538086,6.850643330835737e-06,0.0,0.0,4.855804718317813e-07,0.0,0.0,0.3823469281196594,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823537826538086,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.3823523223400116,5.473359578900272e-06,0.0,0.0,3.4910507906715793e-07,0.0,0.0,0.38234683871269226,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823523223400116,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.3823513090610504,4.223968062433414e-06,0.0,0.0,1.5348143733717734e-06,0.0,0.0,0.38234707713127136,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823513090610504,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.38235217332839966,4.040555722895078e-06,0.0,0.0,3.063394871105629e-08,0.0,0.0,0.38234812021255493,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235217332839966,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.3823562562465668,3.2225432278210064e-06,0.0,0.0,3.181991996825673e-05,0.0,0.0,0.3823530375957489,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823562562465668,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.3823498487472534,3.1256404326995835e-06,0.0,0.0,8.052034559113963e-07,0.0,0.0,0.3823467195034027,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823498487472534,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.38234931230545044,2.3717402655165642e-06,0.0,0.0,9.84197501274764e-10,0.0,0.0,0.3823469281196594,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38234931230545044,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.3823715150356293,2.291000555487699e-06,0.0,0.0,0.00012249653809703887,0.0,0.0,0.3823692202568054,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823715150356293,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.3823733627796173,2.2307669951260323e-06,0.0,0.0,0.00015000173880252987,0.0,0.0,0.38237112760543823,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823733627796173,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,0.38235118985176086,1.8668529264687095e-06,0.0,0.0,5.141405836184276e-06,0.0,0.0,0.38234931230545044,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235118985176086,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
