runner config | sample=19 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=3.000000e+00
sample=19 | outer=1/30 | loss_phi=2.578732e+00 | loss_mu=1.937022e+00 | mu_mse=1.686027e+05 | mu_mae=4.077990e+02 | defect_area_pred=0 | defect_area_label=36 | defect_iou=0.000000e+00
sample=19 | outer=2/30 | loss_phi=2.561178e+00 | loss_mu=1.151092e+00 | mu_mse=1.266109e+05 | mu_mae=3.485036e+02 | defect_area_pred=39 | defect_area_label=36 | defect_iou=2.711864e-01
sample=19 | outer=3/30 | loss_phi=2.558146e+00 | loss_mu=9.607966e-01 | mu_mse=9.655252e+04 | mu_mae=2.972860e+02 | defect_area_pred=45 | defect_area_label=36 | defect_iou=3.965517e-01
sample=19 | outer=4/30 | loss_phi=2.556958e+00 | loss_mu=9.365670e-01 | mu_mse=8.187201e+04 | mu_mae=2.691413e+02 | defect_area_pred=44 | defect_area_label=36 | defect_iou=4.285714e-01
sample=19 | outer=5/30 | loss_phi=2.555769e+00 | loss_mu=9.784978e-01 | mu_mse=7.591565e+04 | mu_mae=2.581783e+02 | defect_area_pred=44 | defect_area_label=36 | defect_iou=4.814815e-01
sample=19 | outer=6/30 | loss_phi=2.554291e+00 | loss_mu=1.061792e+00 | mu_mse=7.715953e+04 | mu_mae=2.620185e+02 | defect_area_pred=47 | defect_area_label=36 | defect_iou=5.370370e-01
sample=19 | outer=7/30 | loss_phi=2.552211e+00 | loss_mu=1.239234e+00 | mu_mse=8.145005e+04 | mu_mae=2.695699e+02 | defect_area_pred=49 | defect_area_label=36 | defect_iou=6.037736e-01
sample=19 | outer=8/30 | loss_phi=2.549203e+00 | loss_mu=1.575045e+00 | mu_mse=8.296293e+04 | mu_mae=2.698547e+02 | defect_area_pred=51 | defect_area_label=36 | defect_iou=6.111111e-01
sample=19 | outer=9/30 | loss_phi=2.544628e+00 | loss_mu=2.026148e+00 | mu_mse=8.540840e+04 | mu_mae=2.724161e+02 | defect_area_pred=55 | defect_area_label=36 | defect_iou=6.250000e-01
sample=19 | outer=10/30 | loss_phi=2.538355e+00 | loss_mu=2.392195e+00 | mu_mse=9.191507e+04 | mu_mae=2.821727e+02 | defect_area_pred=66 | defect_area_label=36 | defect_iou=5.223880e-01
sample=19 | outer=11/30 | loss_phi=2.533353e+00 | loss_mu=2.657422e+00 | mu_mse=9.650154e+04 | mu_mae=2.905237e+02 | defect_area_pred=65 | defect_area_label=36 | defect_iou=5.303030e-01
sample=19 | outer=12/30 | loss_phi=2.528774e+00 | loss_mu=2.637891e+00 | mu_mse=9.600287e+04 | mu_mae=2.903359e+02 | defect_area_pred=65 | defect_area_label=36 | defect_iou=5.303030e-01
sample=19 | outer=13/30 | loss_phi=2.524681e+00 | loss_mu=2.476996e+00 | mu_mse=9.204176e+04 | mu_mae=2.838384e+02 | defect_area_pred=63 | defect_area_label=36 | defect_iou=5.468750e-01
sample=19 | outer=14/30 | loss_phi=2.520995e+00 | loss_mu=2.163351e+00 | mu_mse=8.394841e+04 | mu_mae=2.688426e+02 | defect_area_pred=51 | defect_area_label=36 | defect_iou=6.730769e-01
sample=19 | outer=15/30 | loss_phi=2.517876e+00 | loss_mu=1.762591e+00 | mu_mse=7.211711e+04 | mu_mae=2.446382e+02 | defect_area_pred=43 | defect_area_label=36 | defect_iou=7.555556e-01
sample=19 | outer=16/30 | loss_phi=2.515366e+00 | loss_mu=1.411962e+00 | mu_mse=6.081038e+04 | mu_mae=2.187404e+02 | defect_area_pred=42 | defect_area_label=36 | defect_iou=7.727273e-01
sample=19 | outer=17/30 | loss_phi=2.513243e+00 | loss_mu=1.142372e+00 | mu_mse=5.197163e+04 | mu_mae=1.961878e+02 | defect_area_pred=41 | defect_area_label=36 | defect_iou=7.906977e-01
sample=19 | outer=18/30 | loss_phi=2.511245e+00 | loss_mu=8.871636e-01 | mu_mse=4.384884e+04 | mu_mae=1.735525e+02 | defect_area_pred=40 | defect_area_label=36 | defect_iou=8.536586e-01
sample=19 | outer=19/30 | loss_phi=2.509644e+00 | loss_mu=6.610379e-01 | mu_mse=3.677859e+04 | mu_mae=1.520849e+02 | defect_area_pred=38 | defect_area_label=36 | defect_iou=8.974359e-01
sample=19 | outer=20/30 | loss_phi=2.508283e+00 | loss_mu=5.154111e-01 | mu_mse=3.156774e+04 | mu_mae=1.351615e+02 | defect_area_pred=38 | defect_area_label=36 | defect_iou=8.974359e-01
sample=19 | outer=21/30 | loss_phi=2.506879e+00 | loss_mu=4.039828e-01 | mu_mse=2.766919e+04 | mu_mae=1.219667e+02 | defect_area_pred=37 | defect_area_label=36 | defect_iou=9.210526e-01
sample=19 | outer=22/30 | loss_phi=2.505323e+00 | loss_mu=3.382213e-01 | mu_mse=2.459146e+04 | mu_mae=1.113360e+02 | defect_area_pred=37 | defect_area_label=36 | defect_iou=9.210526e-01
sample=19 | outer=23/30 | loss_phi=2.502859e+00 | loss_mu=2.603555e-01 | mu_mse=2.179826e+04 | mu_mae=1.020091e+02 | defect_area_pred=38 | defect_area_label=36 | defect_iou=8.974359e-01
sample=19 | outer=24/30 | loss_phi=2.498808e+00 | loss_mu=1.982418e-01 | mu_mse=1.875360e+04 | mu_mae=9.244469e+01 | defect_area_pred=37 | defect_area_label=36 | defect_iou=9.210526e-01
sample=19 | outer=25/30 | loss_phi=2.492559e+00 | loss_mu=1.636183e-01 | mu_mse=1.592189e+04 | mu_mae=8.188235e+01 | defect_area_pred=36 | defect_area_label=36 | defect_iou=9.459459e-01
sample=19 | outer=26/30 | loss_phi=2.485992e+00 | loss_mu=1.485735e-01 | mu_mse=1.427180e+04 | mu_mae=7.463591e+01 | defect_area_pred=36 | defect_area_label=36 | defect_iou=9.459459e-01
sample=19 | outer=27/30 | loss_phi=2.480925e+00 | loss_mu=1.651647e-01 | mu_mse=1.337520e+04 | mu_mae=7.045423e+01 | defect_area_pred=36 | defect_area_label=36 | defect_iou=9.459459e-01
sample=19 | outer=28/30 | loss_phi=2.477674e+00 | loss_mu=1.522064e-01 | mu_mse=1.233441e+04 | mu_mae=6.578986e+01 | defect_area_pred=36 | defect_area_label=36 | defect_iou=9.459459e-01
sample=19 | outer=29/30 | loss_phi=2.475899e+00 | loss_mu=1.283007e-01 | mu_mse=1.113615e+04 | mu_mae=5.995384e+01 | defect_area_pred=36 | defect_area_label=36 | defect_iou=9.459459e-01
sample=19 | outer=30/30 | loss_phi=2.475773e+00 | loss_mu=1.148442e-01 | mu_mse=1.026572e+04 | mu_mae=5.522381e+01 | defect_area_pred=35 | defect_area_label=36 | defect_iou=9.722222e-01
