sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,2.178372859954834,0.2452160269021988,36847.13671875,150.29376220703125,21,20,0.782608687877655,-6.794871807098389,3.9097743034362793,-6.76923131942749,3.9473681449890137,1.0,1.0,1.0,three,5.0
1,2.1845295429229736,0.07500225305557251,40169.83984375,162.22901916503906,19,20,0.949999988079071,3.3805670738220215,4.515235424041748,3.461538791656494,4.473683834075928,1.0,1.0,1.0,three,5.0
2,2.190789222717285,0.20320051908493042,22347.716796875,93.3110122680664,24,21,0.800000011920929,-7.692307949066162,5.942982196807861,-7.673993110656738,6.140351295471191,1.0,1.0,1.0,three,5.0
3,2.1051275730133057,0.3857327997684479,42684.12109375,167.9125213623047,32,23,0.6176470518112183,-6.899038314819336,7.976973533630371,-6.705685615539551,7.6659040451049805,1.0,1.0,1.0,three,5.0
4,2.136986494064331,0.13792958855628967,15860.2939453125,75.3956527709961,13,12,0.9230769276618958,-2.751479148864746,3.8056681156158447,-2.8205127716064453,3.7719297409057617,1.0,1.0,1.0,three,5.0
5,2.190427303314209,0.04174395650625229,37458.12890625,163.50161743164062,62,62,1.0,1.6253101825714111,3.9473683834075928,1.6253101825714111,3.9473683834075928,1.0,1.0,1.0,three,5.0
6,2.22514271736145,0.05675508454442024,55792.2734375,210.66232299804688,61,61,1.0,5.769230842590332,3.5461606979370117,5.769230842590332,3.5461606979370117,1.0,1.0,1.0,three,5.0
7,2.3733794689178467,0.042468950152397156,29292.1015625,139.1608428955078,54,54,1.0,0.38461536169052124,4.610136032104492,0.38461536169052124,4.610136032104492,1.0,1.0,1.0,three,5.0
8,2.2176718711853027,0.056362252682447433,47237.140625,184.74871826171875,56,56,1.0,4.766483783721924,5.742481708526611,4.766483783721924,5.742481708526611,1.0,1.0,1.0,three,5.0
9,2.3065073490142822,0.057658836245536804,30933.455078125,151.55462646484375,19,19,1.0,2.4089066982269287,5.4016618728637695,2.4089066982269287,5.4016618728637695,1.0,1.0,1.0,three,5.0
10,2.2473301887512207,0.2044934332370758,22133.966796875,89.89933776855469,21,21,0.8260869383811951,-4.523809432983398,6.290727138519287,-4.450549125671387,6.4912285804748535,1.0,1.0,1.0,three,5.0
11,2.4030301570892334,0.1367129236459732,36187.07421875,146.91683959960938,17,19,0.8947368264198303,7.624434471130371,4.14860725402832,7.550607681274414,4.1274237632751465,1.0,1.0,1.0,three,5.0
12,2.2936697006225586,0.09468860179185867,42618.59375,164.67984008789062,29,30,0.9666666388511658,4.177718639373779,6.098003387451172,4.230769157409668,6.05263090133667,1.0,1.0,1.0,three,5.0
13,2.272965431213379,0.04824087396264076,37426.83984375,159.4844970703125,37,37,1.0,2.692307710647583,5.789473056793213,2.692307710647583,5.789473056793213,1.0,1.0,1.0,three,5.0
14,2.2020375728607178,0.061312608420848846,37702.6953125,152.85008239746094,24,24,1.0,3.076923131942749,3.9473683834075928,3.076923131942749,3.9473683834075928,1.0,1.0,1.0,three,5.0
15,2.158708333969116,0.2043457180261612,37198.95703125,157.19522094726562,19,18,0.8500000238418579,5.364372730255127,4.875346660614014,5.384615421295166,5.029239654541016,1.0,1.0,1.0,three,5.0
16,2.1913950443267822,0.06385067850351334,27440.58203125,121.2420425415039,38,38,1.0,-2.307692289352417,6.1495842933654785,-2.307692289352417,6.1495842933654785,1.0,1.0,1.0,three,5.0
17,2.1053686141967773,0.11044079065322876,48287.51953125,184.87025451660156,33,34,0.9142857193946838,2.2027971744537354,5.518341541290283,2.2624433040618896,5.603715419769287,1.0,1.0,1.0,three,5.0
18,2.2386837005615234,0.056211359798908234,30194.2421875,130.75509643554688,43,43,1.0,-1.6547404527664185,5.679315090179443,-1.6547404527664185,5.679315090179443,1.0,1.0,1.0,three,5.0
19,2.463289737701416,0.07091338187456131,22965.72265625,116.33264923095703,36,36,1.0,-1.88034188747406,5.511695861816406,-1.88034188747406,5.511695861816406,1.0,1.0,1.0,three,5.0
