runner config | sample=13 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=1.000000e+00
sample=13 | outer=1/30 | loss_phi=2.376880e+00 | loss_mu=1.242333e+00 | mu_mse=1.878709e+05 | mu_mae=4.320019e+02 | defect_area_pred=58 | defect_area_label=37 | defect_iou=3.013699e-01
sample=13 | outer=2/30 | loss_phi=2.359641e+00 | loss_mu=7.554107e-01 | mu_mse=1.482596e+05 | mu_mae=3.803623e+02 | defect_area_pred=63 | defect_area_label=37 | defect_iou=3.698630e-01
sample=13 | outer=3/30 | loss_phi=2.356529e+00 | loss_mu=6.488632e-01 | mu_mse=1.323248e+05 | mu_mae=3.571948e+02 | defect_area_pred=62 | defect_area_label=37 | defect_iou=4.142857e-01
sample=13 | outer=4/30 | loss_phi=2.355059e+00 | loss_mu=6.471035e-01 | mu_mse=1.247975e+05 | mu_mae=3.457885e+02 | defect_area_pred=63 | defect_area_label=37 | defect_iou=4.492754e-01
sample=13 | outer=5/30 | loss_phi=2.353742e+00 | loss_mu=6.755723e-01 | mu_mse=1.194343e+05 | mu_mae=3.378286e+02 | defect_area_pred=60 | defect_area_label=37 | defect_iou=4.923077e-01
sample=13 | outer=6/30 | loss_phi=2.352383e+00 | loss_mu=7.375497e-01 | mu_mse=1.165454e+05 | mu_mae=3.335919e+02 | defect_area_pred=60 | defect_area_label=37 | defect_iou=4.923077e-01
sample=13 | outer=7/30 | loss_phi=2.350670e+00 | loss_mu=8.573410e-01 | mu_mse=1.164974e+05 | mu_mae=3.329017e+02 | defect_area_pred=54 | defect_area_label=37 | defect_iou=5.964912e-01
sample=13 | outer=8/30 | loss_phi=2.348120e+00 | loss_mu=1.096346e+00 | mu_mse=1.135055e+05 | mu_mae=3.267182e+02 | defect_area_pred=50 | defect_area_label=37 | defect_iou=6.730769e-01
sample=13 | outer=9/30 | loss_phi=2.344085e+00 | loss_mu=1.491420e+00 | mu_mse=1.184901e+05 | mu_mae=3.341454e+02 | defect_area_pred=55 | defect_area_label=37 | defect_iou=6.428571e-01
sample=13 | outer=10/30 | loss_phi=2.337960e+00 | loss_mu=1.834287e+00 | mu_mse=1.293897e+05 | mu_mae=3.491624e+02 | defect_area_pred=54 | defect_area_label=37 | defect_iou=6.545454e-01
sample=13 | outer=11/30 | loss_phi=2.333409e+00 | loss_mu=2.039163e+00 | mu_mse=1.314432e+05 | mu_mae=3.530900e+02 | defect_area_pred=57 | defect_area_label=37 | defect_iou=6.491228e-01
sample=13 | outer=12/30 | loss_phi=2.329766e+00 | loss_mu=2.035673e+00 | mu_mse=1.309333e+05 | mu_mae=3.530968e+02 | defect_area_pred=55 | defect_area_label=37 | defect_iou=6.727273e-01
sample=13 | outer=13/30 | loss_phi=2.326470e+00 | loss_mu=1.932898e+00 | mu_mse=1.288334e+05 | mu_mae=3.504766e+02 | defect_area_pred=53 | defect_area_label=37 | defect_iou=6.981132e-01
sample=13 | outer=14/30 | loss_phi=2.323346e+00 | loss_mu=1.727337e+00 | mu_mse=1.236931e+05 | mu_mae=3.426361e+02 | defect_area_pred=52 | defect_area_label=37 | defect_iou=7.115384e-01
sample=13 | outer=15/30 | loss_phi=2.320388e+00 | loss_mu=1.444158e+00 | mu_mse=1.141980e+05 | mu_mae=3.272355e+02 | defect_area_pred=47 | defect_area_label=37 | defect_iou=7.500000e-01
sample=13 | outer=16/30 | loss_phi=2.317517e+00 | loss_mu=1.097882e+00 | mu_mse=9.980179e+04 | mu_mae=3.020558e+02 | defect_area_pred=46 | defect_area_label=37 | defect_iou=8.043478e-01
sample=13 | outer=17/30 | loss_phi=2.314311e+00 | loss_mu=8.355000e-01 | mu_mse=8.661701e+04 | mu_mae=2.753346e+02 | defect_area_pred=40 | defect_area_label=37 | defect_iou=8.780488e-01
sample=13 | outer=18/30 | loss_phi=2.311588e+00 | loss_mu=6.419579e-01 | mu_mse=7.635729e+04 | mu_mae=2.529482e+02 | defect_area_pred=39 | defect_area_label=37 | defect_iou=9.000000e-01
sample=13 | outer=19/30 | loss_phi=2.309187e+00 | loss_mu=4.245692e-01 | mu_mse=6.491302e+04 | mu_mae=2.267655e+02 | defect_area_pred=39 | defect_area_label=37 | defect_iou=9.000000e-01
sample=13 | outer=20/30 | loss_phi=2.307070e+00 | loss_mu=2.642394e-01 | mu_mse=5.438843e+04 | mu_mae=2.013107e+02 | defect_area_pred=39 | defect_area_label=37 | defect_iou=9.000000e-01
sample=13 | outer=21/30 | loss_phi=2.304850e+00 | loss_mu=2.101795e-01 | mu_mse=4.183970e+04 | mu_mae=1.717194e+02 | defect_area_pred=37 | defect_area_label=37 | defect_iou=9.473684e-01
sample=13 | outer=22/30 | loss_phi=2.304158e+00 | loss_mu=1.657225e-01 | mu_mse=3.872064e+04 | mu_mae=1.659317e+02 | defect_area_pred=37 | defect_area_label=37 | defect_iou=9.473684e-01
sample=13 | outer=23/30 | loss_phi=2.299772e+00 | loss_mu=1.402481e-01 | mu_mse=4.792998e+04 | mu_mae=1.860728e+02 | defect_area_pred=38 | defect_area_label=37 | defect_iou=9.736842e-01
sample=13 | outer=24/30 | loss_phi=2.291099e+00 | loss_mu=8.795491e-02 | mu_mse=4.392390e+04 | mu_mae=1.771548e+02 | defect_area_pred=38 | defect_area_label=37 | defect_iou=9.736842e-01
sample=13 | outer=25/30 | loss_phi=2.285604e+00 | loss_mu=1.697073e-01 | mu_mse=4.917141e+04 | mu_mae=1.875353e+02 | defect_area_pred=38 | defect_area_label=37 | defect_iou=9.736842e-01
sample=13 | outer=26/30 | loss_phi=2.278347e+00 | loss_mu=8.501587e-02 | mu_mse=3.918960e+04 | mu_mae=1.676006e+02 | defect_area_pred=38 | defect_area_label=37 | defect_iou=9.736842e-01
sample=13 | outer=27/30 | loss_phi=2.278619e+00 | loss_mu=7.262945e-02 | mu_mse=4.007070e+04 | mu_mae=1.680054e+02 | defect_area_pred=38 | defect_area_label=37 | defect_iou=9.736842e-01
sample=13 | outer=28/30 | loss_phi=2.275815e+00 | loss_mu=6.254575e-02 | mu_mse=3.981350e+04 | mu_mae=1.661359e+02 | defect_area_pred=37 | defect_area_label=37 | defect_iou=1.000000e+00
