split,sample_pos,sample_index,csv_sample_index,source_sample_id,source_global_index,hard_case_type,signal_mean,signal_std,signal_min,signal_max,signal_range,signal_peak_abs,std_floor_triggered,zscore_input_norm_after_runner_floor,signal_energy_center_x,defect_center_x,defect_center_y,bbox_center_x,bbox_center_y,bbox_center_x_error_cells,bbox_center_y_error_cells,bbox_axis_x_error_cells,bbox_axis_y_error_cells,mask_area
train,0,0,0,v3_train_000,0,x_bin_wrong_like,-4.143887828225464e-05,3.5482305841479306e-09,-4.144756530877203e-05,-4.143536716583185e-05,1.2198142940178514e-08,4.144756530877203e-05,True,8.691354420899919e-08,-0.011100222632704656,-0.0274831937465066,-0.0012666666666666,-0.027537688612937927,-0.0013131310988683254,0.1355559832778411,0.2299989445394174,1.6088892675770474,1.259997970754836,231.0
train,1,1,1,v3_train_001,1,x_bin_wrong_like,-4.144060222946185e-05,6.456009217125252e-09,-4.1455925384070724e-05,-4.143474143347703e-05,2.1183950593695045e-08,4.1455925384070724e-05,True,1.5813928356661962e-07,-0.0014183952866939251,-0.0051314349525333,-0.0006333333333333,-0.005025125865358859,-0.0006060608029656578,0.2644438602572029,0.13499902833729244,1.3777773039712335,0.9199997692083659,280.0
train,2,2,2,v3_train_002,2,x_bin_wrong_like,-4.1442743998535056e-05,9.312453944821981e-09,-4.1464954847469926e-05,-4.1433184378547594e-05,3.177046892233193e-08,4.1464954847469926e-05,True,2.2810760417982185e-07,0.00443634095039218,0.0175419318815999,0.0,0.01748743699863553,0.0,0.13555602440378473,0.0,1.1466601278692683,1.5800042139272432,296.0
train,3,3,3,v3_train_003,3,x_bin_wrong_like,-4.144267094185731e-05,8.551402710087733e-09,-4.1462364606559277e-05,-4.1435396269662306e-05,2.6968336896970868e-08,4.1462364606559277e-05,True,2.0946573224768176e-07,-0.003215411142407173,-0.0179957565605333,0.0006333333333333,-0.017889447044581175,0.0007070707324601244,0.2644449268417123,0.3650001338361696,0.9155582996726331,1.2599980788028091,273.0
train,4,4,4,v3_train_004,4,x_bin_wrong_like,-4.1442023981896154e-05,7.817496592070568e-09,-4.146172432228923e-05,-4.1435745515627787e-05,2.5978806661441922e-08,4.146172432228923e-05,True,1.9148877716519306e-07,0.001476906036492312,0.0046776102736,0.0012666666666666,0.004623116285074502,0.0012121211912017316,0.1355537994870389,0.2700001095860716,1.6088860821627327,0.9199998772563389,264.0
train,5,5,5,v3_train_005,5,x_bin_wrong_like,-4.143963283543902e-05,4.279667807331165e-09,-4.1449071431998163e-05,-4.143608748563565e-05,1.2983946362510324e-08,4.1449071431998163e-05,True,1.0483002396577064e-07,0.007603716726335994,0.0270293690675555,-0.0012666666666666,0.027135679498314857,-0.0013131310988683254,0.26444720242475633,0.2299989445394174,1.3777642727308552,0.5800017837573458,315.0
train,6,6,6,v3_train_006,6,x_bin_wrong_like,-4.14407478577535e-05,6.4445856013147285e-09,-4.1454171878285706e-05,-4.143473779549822e-05,1.943408278748393e-08,4.1454171878285706e-05,True,1.5785946326908587e-07,-0.0023480175464058277,-0.0081867113344,-0.0006333333333333,-0.00824120664037764,-0.0007070707324601244,0.135557076649318,0.3650001338361696,1.1466682361966147,1.2599980788028091,259.0
train,7,7,7,v3_train_007,7,x_bin_wrong_like,-4.1442543448890016e-05,8.601201440286859e-09,-4.1462841181783006e-05,-4.1434308513998985e-05,2.8532667784020305e-08,4.1462841181783006e-05,True,2.1068554703594557e-07,0.003352865786081066,0.0141650474595555,0.0,0.014271355932578444,0.0,0.2644423325553221,0.0,0.9155501913452866,0.9200041991752583,312.0
train,8,8,8,v3_train_008,8,x_bin_wrong_like,-4.144183695946898e-05,7.334037515232233e-09,-4.145887214690447e-05,-4.143581463722512e-05,2.3057509679347277e-08,4.145887214690447e-05,True,1.7964649666748382e-07,-0.004086331436316657,-0.0210510329425777,0.0006333333333333,-0.02110552741214633,0.0006060608029656578,0.13555499608185537,0.13499902833729244,1.6088869509120913,1.5799997839603508,264.0
train,9,9,9,v3_train_009,9,x_bin_wrong_like,-4.144205319486597e-05,7.616018051849124e-09,-4.1458864870946854e-05,-4.14358037232887e-05,2.306114765815437e-08,4.1458864870946854e-05,True,1.8655358098855953e-07,0.0006571939701347402,0.0013007258515555,0.0012666666666666,0.001407035393640399,0.0013131310988683254,0.2644449918469926,0.2299989445394174,1.377777014388114,1.259997970754836,245.0
