runner config | sample=10 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=5.000000e+00
sample=10 | outer=1/30 | loss_phi=2.357278e+00 | loss_mu=1.967979e+00 | mu_mse=1.776096e+05 | mu_mae=4.198552e+02 | defect_area_pred=0 | defect_area_label=21 | defect_iou=0.000000e+00
sample=10 | outer=2/30 | loss_phi=2.339780e+00 | loss_mu=1.274105e+00 | mu_mse=1.601345e+05 | mu_mae=3.978091e+02 | defect_area_pred=10 | defect_area_label=21 | defect_iou=0.000000e+00
sample=10 | outer=3/30 | loss_phi=2.336425e+00 | loss_mu=1.134811e+00 | mu_mse=1.452145e+05 | mu_mae=3.777292e+02 | defect_area_pred=22 | defect_area_label=21 | defect_iou=7.500000e-02
sample=10 | outer=4/30 | loss_phi=2.334923e+00 | loss_mu=1.126590e+00 | mu_mse=1.361328e+05 | mu_mae=3.649950e+02 | defect_area_pred=23 | defect_area_label=21 | defect_iou=1.891892e-01
sample=10 | outer=5/30 | loss_phi=2.333625e+00 | loss_mu=1.176142e+00 | mu_mse=1.319439e+05 | mu_mae=3.592091e+02 | defect_area_pred=24 | defect_area_label=21 | defect_iou=1.842105e-01
sample=10 | outer=6/30 | loss_phi=2.332158e+00 | loss_mu=1.269652e+00 | mu_mse=1.323647e+05 | mu_mae=3.599786e+02 | defect_area_pred=24 | defect_area_label=21 | defect_iou=2.857143e-01
sample=10 | outer=7/30 | loss_phi=2.330224e+00 | loss_mu=1.440854e+00 | mu_mse=1.323244e+05 | mu_mae=3.595639e+02 | defect_area_pred=24 | defect_area_label=21 | defect_iou=3.235294e-01
sample=10 | outer=8/30 | loss_phi=2.327528e+00 | loss_mu=1.748138e+00 | mu_mse=1.319761e+05 | mu_mae=3.584763e+02 | defect_area_pred=22 | defect_area_label=21 | defect_iou=3.437500e-01
sample=10 | outer=9/30 | loss_phi=2.323027e+00 | loss_mu=2.188990e+00 | mu_mse=1.338270e+05 | mu_mae=3.605306e+02 | defect_area_pred=24 | defect_area_label=21 | defect_iou=3.636364e-01
sample=10 | outer=10/30 | loss_phi=2.316571e+00 | loss_mu=2.517861e+00 | mu_mse=1.333352e+05 | mu_mae=3.598167e+02 | defect_area_pred=23 | defect_area_label=21 | defect_iou=3.750000e-01
sample=10 | outer=11/30 | loss_phi=2.312142e+00 | loss_mu=2.738785e+00 | mu_mse=1.346313e+05 | mu_mae=3.615900e+02 | defect_area_pred=25 | defect_area_label=21 | defect_iou=4.375000e-01
sample=10 | outer=12/30 | loss_phi=2.308175e+00 | loss_mu=2.720524e+00 | mu_mse=1.340861e+05 | mu_mae=3.608055e+02 | defect_area_pred=24 | defect_area_label=21 | defect_iou=4.516129e-01
sample=10 | outer=13/30 | loss_phi=2.304492e+00 | loss_mu=2.591652e+00 | mu_mse=1.317893e+05 | mu_mae=3.574584e+02 | defect_area_pred=25 | defect_area_label=21 | defect_iou=4.838710e-01
sample=10 | outer=14/30 | loss_phi=2.301002e+00 | loss_mu=2.359844e+00 | mu_mse=1.273282e+05 | mu_mae=3.508051e+02 | defect_area_pred=25 | defect_area_label=21 | defect_iou=4.838710e-01
sample=10 | outer=15/30 | loss_phi=2.297724e+00 | loss_mu=2.055182e+00 | mu_mse=1.208256e+05 | mu_mae=3.406575e+02 | defect_area_pred=23 | defect_area_label=21 | defect_iou=5.172414e-01
sample=10 | outer=16/30 | loss_phi=2.294503e+00 | loss_mu=1.718517e+00 | mu_mse=1.130966e+05 | mu_mae=3.277069e+02 | defect_area_pred=23 | defect_area_label=21 | defect_iou=5.714286e-01
sample=10 | outer=17/30 | loss_phi=2.291064e+00 | loss_mu=1.425698e+00 | mu_mse=1.045726e+05 | mu_mae=3.125519e+02 | defect_area_pred=22 | defect_area_label=21 | defect_iou=5.925926e-01
sample=10 | outer=18/30 | loss_phi=2.287900e+00 | loss_mu=1.176157e+00 | mu_mse=9.527585e+04 | mu_mae=2.954091e+02 | defect_area_pred=21 | defect_area_label=21 | defect_iou=6.153846e-01
sample=10 | outer=19/30 | loss_phi=2.284882e+00 | loss_mu=9.375719e-01 | mu_mse=8.521598e+04 | mu_mae=2.760859e+02 | defect_area_pred=21 | defect_area_label=21 | defect_iou=6.153846e-01
sample=10 | outer=20/30 | loss_phi=2.281741e+00 | loss_mu=7.608396e-01 | mu_mse=7.551678e+04 | mu_mae=2.564302e+02 | defect_area_pred=20 | defect_area_label=21 | defect_iou=6.400000e-01
