sample_index,oracle_mask_iou,oracle_dice,target_area,raster_area,area_diff,component_count,type_sequence
0,1.0,1.0,231,231,0,1,rectangular_notch
1,1.0,1.0,280,280,0,1,rectangular_notch
2,1.0,1.0,296,296,0,1,rectangular_notch
3,1.0,1.0,273,273,0,1,rectangular_notch
4,1.0,1.0,264,264,0,1,rectangular_notch
5,1.0,1.0,315,315,0,1,rectangular_notch
6,1.0,1.0,259,259,0,1,rectangular_notch
7,1.0,1.0,312,312,0,1,rectangular_notch
8,1.0,1.0,264,264,0,1,rectangular_notch
9,1.0,1.0,245,245,0,1,rectangular_notch
10,1.0,1.0,174,174,0,1,rectangular_notch
11,1.0,1.0,168,168,0,1,rectangular_notch
12,1.0,1.0,174,174,0,1,rectangular_notch
13,1.0,1.0,174,174,0,1,rectangular_notch
14,1.0,1.0,168,168,0,1,rectangular_notch
15,1.0,1.0,140,140,0,1,rectangular_notch
16,1.0,1.0,115,115,0,1,rectangular_notch
17,1.0,1.0,144,144,0,1,rectangular_notch
18,1.0,1.0,130,130,0,1,rectangular_notch
19,1.0,1.0,140,140,0,1,rectangular_notch
20,1.0,1.0,138,138,0,1,rectangular_notch
21,1.0,1.0,96,96,0,1,rectangular_notch
22,1.0,1.0,80,80,0,1,rectangular_notch
23,1.0,1.0,84,84,0,1,rectangular_notch
24,1.0,1.0,76,76,0,1,rectangular_notch
25,1.0,1.0,80,80,0,1,rectangular_notch
26,1.0,1.0,84,84,0,1,rectangular_notch
27,1.0,1.0,216,216,0,1,rectangular_notch
28,1.0,1.0,186,186,0,1,rectangular_notch
29,1.0,1.0,231,231,0,1,rectangular_notch
