step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_x_bin_loss,center_y_bin_loss,weighted_center_x_bin_loss,weighted_center_y_bin_loss,center_bin_slot_weight_mean,center_bin_slot_weight_max,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,171.2897186279297,0.68854159116745,0.0,0.0,0.00540057523176074,0.0,0.0,0.31309109926223755,nan,0.4620507061481476,0.47452232241630554,0.00270028761588037,nan,1673.508544921875,167.35086059570312,0.0,0.0,2.899970531463623,2.899970531463623,3.2090682983398438,2.5908727645874023,1.6045341491699219,1.2954363822937012,1.0,1.0,0.03725314140319824,0.03725314140319824,0.0,0.0,0.0,0.0,171.2897186279297,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,2.872798442840576,0.0646183118224144,0.0,0.0,0.0008113208459690213,0.0,0.0,0.2595890462398529,nan,0.38804206252098083,0.3903193473815918,0.00040566042298451066,nan,0.21697655320167542,0.02169765532016754,0.0,0.0,2.184964656829834,2.184964656829834,2.5798988342285156,1.790030598640442,1.2899494171142578,0.895015299320221,1.0,1.0,0.3419286608695984,0.3419286608695984,0.0,0.0,0.0,0.0,2.872798442840576,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.995315670967102,8.585664181737229e-05,0.0,0.0,0.0013854735298082232,0.0,0.0,0.1421196013689041,nan,0.21841618418693542,0.20724987983703613,0.0006927367649041116,nan,0.07160304486751556,0.007160304579883814,0.0,0.0,0.8015120029449463,0.8015120029449463,1.0574063062667847,0.5456176400184631,0.5287031531333923,0.27280882000923157,1.0,1.0,0.04443788900971413,0.04443788900971413,0.0,0.0,0.0,0.0,0.995315670967102,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.2634158134460449,1.5907417605376395e-08,0.0,0.0,0.0015351471956819296,0.0,0.0,0.039586540311574936,nan,0.036172788590192795,0.08181925117969513,0.0007675735978409648,nan,0.17590825259685516,0.017590826377272606,0.0,0.0,0.19225743412971497,0.19225743412971497,0.25330835580825806,0.13120649755001068,0.12665417790412903,0.06560324877500534,1.0,1.0,0.013981006108224392,0.013981006108224392,0.0,0.0,0.0,0.0,0.2634158134460449,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.06231854856014252,1.1849503323002608e-10,0.0,0.0,0.0010536664631217718,0.0,0.0,0.0034037341829389334,nan,0.0036050507333129644,0.006079318467527628,0.0005268332315608859,nan,0.013150627724826336,0.0013150627491995692,0.0,0.0,0.055199719965457916,0.055199719965457916,0.0719602108001709,0.038439225405454636,0.03598010540008545,0.019219612702727318,1.0,1.0,0.002400028984993696,0.002400028984993696,0.0,0.0,0.0,0.0,0.06231854856014252,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.050403811037540436,9.617249704940711e-12,0.0,0.0,0.0004687183245550841,0.0,0.0,0.0007614635396748781,nan,0.0012615895830094814,0.0007884419756010175,0.00023435916227754205,nan,0.2578445076942444,0.025784451514482498,0.0,0.0,0.022464577108621597,0.022464577108621597,0.027333825826644897,0.017595326527953148,0.013666912913322449,0.008797663263976574,1.0,1.0,0.0013933193404227495,0.0013933193404227495,0.0,0.0,0.0,0.0,0.050403811037540436,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.012376010417938232,2.0722796308797475e-12,0.0,0.0,0.0002308254479430616,0.0,0.0,0.00015521966270171106,nan,0.0002904044813476503,5.984177550999448e-05,0.0001154127239715308,nan,0.003376935375854373,0.0003376935492269695,0.0,0.0,0.01178075186908245,0.01178075186908245,0.013877580873668194,0.009683922864496708,0.006938790436834097,0.004841961432248354,1.0,1.0,0.00010234621004201472,0.00010234621004201472,0.0,0.0,0.0,0.0,0.012376010417938232,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.026009686291217804,1.1206687704559681e-12,0.0,0.0,0.0001909068232635036,0.0,0.0,0.0005322633078321815,nan,0.0006662480300292373,0.0008350884891115129,9.54534116317518e-05,nan,0.16967210173606873,0.016967210918664932,0.0,0.0,0.0078033884055912495,0.0078033884055912495,0.00907198991626501,0.006534786894917488,0.004535994958132505,0.003267393447458744,1.0,1.0,0.0007068238919600844,0.0007068238919600844,0.0,0.0,0.0,0.0,0.026009686291217804,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.06932777911424637,4.4021654811016164e-13,0.0,0.0,9.818143007578328e-05,0.0,0.0,0.0006174627924337983,nan,0.0011521205306053162,0.0006511771352961659,4.909071503789164e-05,nan,0.6132436394691467,0.06132436543703079,0.0,0.0,0.004992617294192314,0.004992617294192314,0.005731185432523489,0.004254049621522427,0.0028655927162617445,0.0021270248107612133,1.0,1.0,0.0023933316115289927,0.0023933316115289927,0.0,0.0,0.0,0.0,0.06932777911424637,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.01373009942471981,5.002049122126984e-13,0.0,0.0,0.0001230840862262994,0.0,0.0,0.0004105448315385729,nan,0.0004961110535077751,0.0006739813834428787,6.15420431131497e-05,nan,0.08716845512390137,0.008716845884919167,0.0,0.0,0.004244263283908367,0.004244263283908367,0.004873195197433233,0.0036153316032141447,0.0024365975987166166,0.0018076658016070724,1.0,1.0,0.0003584461519494653,0.0003584461519494653,0.0,0.0,0.0,0.0,0.01373009942471981,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
