split,sample_index,component_slot,matched_slot,presence_true,presence_prob,presence_pred,type_true,type_pred,type_correct,center_x_true,center_x_pred,center_y_true,center_y_pred,axis_x_true,axis_x_pred,axis_y_true,axis_y_pred,depth_true,depth_pred,rotation_true,rotation_pred,center_error,axis_error,depth_error,rotation_error,target_schema,type_vocab,run_label,center_x_bin_true_derived,center_x_bin_pred_derived,center_y_bin_true_derived,center_y_bin_pred_derived,x_bin_correct,y_bin_correct,both_bins_correct,center_x_grid_error,center_y_grid_error,center_grid_error,center_offset_x_abs_error,center_offset_y_abs_error,center_offset_mae,pred_mask_iou,pred_area,target_area,area_diff,hard_case_type,defect_type,rotation_angle,component_type_combination
train,0,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,704.0703735351562,703.4541625976562,1310.0,1309.9544677734375,760.0,759.857177734375,220.0,219.91256713867188,70.0,70.00038146972656,0.0,0.0006630737334489,0.6178908348083496,0.167459562420845,0.0003814697265625,0.0006561279296875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,3,3,5,5,True,True,True,0.02725021701388889,0.0015025634765625,0.027291610877797946,0.003406277126736079,0.00018782043457030162,0.0017970487806531904,1.0,231,231,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,1,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,1961.3568115234373,1961.5223388671875,1405.0,1404.8929443359375,800.0,800.516845703125,240.0,240.09930419921875,75.0,74.9940414428711,0.0,0.0007586907595396,0.19712994992733,0.5262991786003113,0.0059585571289062,0.000762939453125,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,10,10,5,5,True,True,True,0.007319986979176722,0.0035328369140625,0.008127923845403536,0.0009149983723971133,0.0004416046142577956,0.0006783014933274545,1.0,280,280,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,2,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,3236.733642578125,3236.5908203125,1500.0,1499.66455078125,840.0,840.8798828125,260.0,259.9158935546875,80.0,80.01484680175781,0.0,0.0006609912961721,0.3645879626274109,0.8838934302330017,0.0148468017578125,0.0006561279296875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,17,17,6,6,True,True,True,0.00631591796875,0.01106982421875,0.012744874578512068,0.0007894897460937744,0.0013837280273437669,0.0010866088867187707,1.0,296,296,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,3,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,1237.7386474609375,1237.7977294921875,1595.0,1594.863037109375,880.0,880.5564575195312,220.0,219.8758544921875,85.0,85.00443267822266,0.0,-0.0012004505842924,0.1491627246141433,0.5701377987861633,0.0044326782226562,0.0012054443359375,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,6,6,6,6,True,True,True,0.002612738715277778,0.0045197753906249995,0.005220610421781225,0.00032659233940968146,0.0005649719238281226,0.000445782131618902,1.0,273,273,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,4,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,2513.115478515625,2513.002197265625,1690.0,1690.028076171875,760.0,759.7963256835938,240.0,240.38665771484372,70.0,69.99580383300781,0.0,-0.0007896926254034,0.1167086660861969,0.4370210468769073,0.0041961669921875,0.00079345703125,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,13,13,6,6,True,True,True,0.005009548611111111,0.000926513671875,0.005094507323702318,0.0006261935763888782,0.00011581420898437722,0.0003710038926866277,1.0,264,264,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,5,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,3770.402099609375,3770.858154296875,1310.0,1310.0374755859375,800.0,800.1871337890625,260.0,260.05889892578125,75.0,74.99668884277344,0.0,-0.0004426203668117,0.4575918316841125,0.1961839348077774,0.0033111572265625,0.0004425048828125,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,20,20,5,5,True,True,True,0.02016775173611111,0.0012366943359375,0.02020563344639194,0.00252096896701387,0.00015458679199219227,0.0013377778795030312,1.0,315,315,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,6,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,1789.4974365234375,1789.4068603515625,1405.0,1404.4906005859375,840.0,839.9418334960938,220.0,220.0194091796875,80.0,79.99781036376953,0.0,-0.0008569378405809,0.5173894166946411,0.061319313943386,0.0021896362304687,0.0008544921875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,9,9,5,5,True,True,True,0.004005479600694445,0.0168101806640625,0.017280799772869313,0.000500684950086816,0.002101272583007796,0.001300978766547306,1.0,259,259,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,7,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,3046.783935546875,3047.0283203125,1500.0,1499.7630615234375,880.0,879.2947998046875,240.0,240.25917053222656,85.0,85.01783752441406,0.0,-0.0001593846827745,0.3403876423835754,0.7513166069984436,0.0178375244140625,0.000152587890625,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,16,16,6,6,True,True,True,0.010807237413194445,0.0078189697265625,0.013339140455443543,0.0013509046766492783,0.0009773712158203107,0.0011641379462347945,1.0,312,312,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,8,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,1065.87939453125,1066.085693359375,1595.0,1596.422607421875,760.0,758.95166015625,260.0,260.166259765625,70.0,69.9998550415039,0.0,0.0015137419104576,1.4374877214431765,1.0614417791366575,0.0001449584960937,0.0015106201171875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,5,5,6,6,True,True,True,0.009122992621527777,0.046946044921875,0.04782426296535217,0.0011403740776909643,0.005868255615234366,0.0035043148464626653,1.0,264,264,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
train,9,0,0,1,1.0,1,rectangular_notch,rectangular_notch,1.0,2323.165771484375,2323.3232421875,1690.0,1689.75341796875,800.0,799.6973876953125,220.0,219.8772735595703,75.0,74.9859848022461,0.0,0.0075319465249776,0.2925742864608764,0.3265516757965088,0.0140151977539062,0.007537841796875,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch,repaired_v3_train_candidate,12,12,6,6,True,True,True,0.006963704427083333,0.00813720703125,0.010710150214502338,0.0008704630533853952,0.0010171508789062478,0.0009438069661458215,1.0,245,245,0,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
