run_label,split,hard_case_type,sample_count,mask_iou,center_grid_mae,x_bin_acc,y_bin_acc,center_offset_mae,pred_area,target_area
normalized_v3_candidate,test,bins_correct_center_or_offset_bad,2,0.30952380952380953,8.256125810003761,1.0,0.5,0.2812220807857856,220.5,113.0
normalized_v3_candidate,test,both_bins_wrong_like,2,0.25,14.22268388834045,0.5,0.5,0.33198099591460273,224.0,154.5
normalized_v3_candidate,test,geometry_or_type_interaction,2,0.0,20.5211317952334,1.0,0.0,0.053532193410836613,138.0,80.0
normalized_v3_candidate,test,rare_y_bin_wrong,1,0.0,31.86789449569451,1.0,0.0,0.015702974620546525,264.0,231.0
normalized_v3_candidate,test,x_bin_wrong_like,3,0.25478701716325475,5.703519190916698,1.0,0.3333333333333333,0.27048321751928633,282.6666666666667,280.0
normalized_v3_candidate,train,bins_correct_center_or_offset_bad,7,1.0,0.02123473340428197,1.0,1.0,0.0015749123863899582,129.0,129.0
normalized_v3_candidate,train,both_bins_wrong_like,5,1.0,0.026710281741414394,1.0,1.0,0.0020440746359171144,171.6,171.6
normalized_v3_candidate,train,geometry_or_type_interaction,5,1.0,0.007925416575205405,1.0,1.0,0.0006376164816752156,80.8,80.8
normalized_v3_candidate,train,rare_y_bin_wrong,3,1.0,0.013591373575729081,1.0,1.0,0.0010401307544272733,211.0,211.0
normalized_v3_candidate,train,x_bin_wrong_like,10,1.0,0.016767777384390344,1.0,1.0,0.0012609093764582677,273.9,273.9
normalized_v3_candidate,val,bins_correct_center_or_offset_bad,2,0.0,13.869035976698573,1.0,0.0,0.2059818971813283,147.0,127.5
normalized_v3_candidate,val,both_bins_wrong_like,2,0.27586206896551724,5.27161088280516,1.0,0.5,0.13578604469975286,129.0,171.0
normalized_v3_candidate,val,geometry_or_type_interaction,2,0.0,18.954029539451817,0.0,0.0,0.40729675548366095,99.0,80.0
normalized_v3_candidate,val,rare_y_bin_wrong,1,0.0,16.271266193946648,1.0,0.0,0.04697712188726509,231.0,216.0
normalized_v3_candidate,val,x_bin_wrong_like,3,0.0,16.513480347746455,0.6666666666666666,0.0,0.29996773746945565,221.66666666666666,278.3333333333333
normalized_v3_param_only,test,bins_correct_center_or_offset_bad,2,0.20342205323193915,7.40005105275003,0.5,0.5,0.5530608820363583,226.0,113.0
normalized_v3_param_only,test,both_bins_wrong_like,2,0.28618421052631576,11.330919202417782,0.5,0.5,0.16857102067913773,250.0,154.5
normalized_v3_param_only,test,geometry_or_type_interaction,2,0.0,18.952436542826128,1.0,0.0,0.16521445128122242,88.0,80.0
normalized_v3_param_only,test,rare_y_bin_wrong,1,0.0,30.896573165791033,1.0,0.0,0.09770474462243571,232.0,231.0
normalized_v3_param_only,test,x_bin_wrong_like,3,0.24418999151823575,5.4298978224996475,0.6666666666666666,0.3333333333333333,0.2776457291536419,268.0,280.0
normalized_v3_param_only,train,bins_correct_center_or_offset_bad,7,0.6946928546310428,0.7750231247950227,1.0,0.7142857142857143,0.17422676135702056,114.42857142857143,129.0
normalized_v3_param_only,train,both_bins_wrong_like,5,0.920192949230605,0.7451281702445579,1.0,1.0,0.06202048402356462,170.6,171.6
normalized_v3_param_only,train,geometry_or_type_interaction,5,0.6057280425346012,0.7427901163850572,1.0,0.8,0.14208356221556015,82.4,80.8
normalized_v3_param_only,train,rare_y_bin_wrong,3,0.8263634618285541,0.7458101566623955,1.0,1.0,0.05629754518869918,217.0,211.0
normalized_v3_param_only,train,x_bin_wrong_like,10,0.8237504682170631,0.728053842407484,1.0,0.8,0.14104619310850947,283.4,273.9
normalized_v3_param_only,val,bins_correct_center_or_offset_bad,2,0.0,16.00514114255085,0.5,0.0,0.17584505387419103,152.5,127.5
normalized_v3_param_only,val,both_bins_wrong_like,2,0.0,8.150778366552325,0.5,0.0,0.2018124574167317,105.5,171.0
normalized_v3_param_only,val,geometry_or_type_interaction,2,0.0,22.85022464072921,1.0,0.0,0.22147187395869466,117.0,80.0
normalized_v3_param_only,val,rare_y_bin_wrong,1,0.0,13.447600144500454,1.0,0.0,0.17907585952431834,238.0,216.0
normalized_v3_param_only,val,x_bin_wrong_like,3,0.0,16.944810518655355,0.3333333333333333,0.0,0.30969341861328764,156.0,278.3333333333333
