step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_x_bin_loss,center_y_bin_loss,weighted_center_x_bin_loss,weighted_center_y_bin_loss,center_bin_slot_weight_mean,center_bin_slot_weight_max,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,171.2897491455078,0.68854159116745,0.0,0.0,0.00540057523176074,0.0,0.0,0.31309109926223755,nan,0.4620507061481476,0.47452232241630554,0.00270028761588037,nan,1673.5089111328125,167.35089111328125,0.0,0.0,2.899970531463623,2.899970531463623,3.2090682983398438,2.5908727645874023,1.6045341491699219,1.2954363822937012,1.0,1.0,0.03725313022732735,0.03725313022732735,0.0,0.0,0.0,0.0,171.2897491455078,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,2.872798204421997,0.0646182969212532,0.0,0.0,0.0008113221847452223,0.0,0.0,0.2595890462398529,nan,0.3880420923233032,0.3903194069862366,0.00040566109237261117,nan,0.21697449684143066,0.021697450429201126,0.0,0.0,2.184964656829834,2.184964656829834,2.5798988342285156,1.7900307178497314,1.2899494171142578,0.8950153589248657,1.0,1.0,0.341928631067276,0.341928631067276,0.0,0.0,0.0,0.0,2.872798204421997,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.9952930212020874,8.585650357417762e-05,0.0,0.0,0.0013859114842489362,0.0,0.0,0.1421181559562683,nan,0.2184142917394638,0.20724719762802124,0.0006929557421244681,nan,0.07137437164783478,0.007137437351047993,0.0,0.0,0.801513135433197,0.801513135433197,1.0574084520339966,0.5456178188323975,0.5287042260169983,0.27280890941619873,1.0,1.0,0.0444384440779686,0.0444384440779686,0.0,0.0,0.0,0.0,0.9952930212020874,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.2515091300010681,1.599762278203798e-08,0.0,0.0,0.0014539365656673908,0.0,0.0,0.03916185721755028,nan,0.036344338208436966,0.08041425794363022,0.0007269682828336954,nan,0.058162253350019455,0.005816225428134203,0.0,0.0,0.1929033398628235,0.1929033398628235,0.2540630102157593,0.1317436546087265,0.12703150510787964,0.06587182730436325,1.0,1.0,0.013627703301608562,0.013627703301608562,0.0,0.0,0.0,0.0,0.2515091300010681,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.07128120213747025,1.3750277305657477e-10,0.0,0.0,0.0008843950927257538,0.0,0.0,0.003829505993053317,nan,0.0042593455873429775,0.006786974146962166,0.0004421975463628769,nan,0.07908586412668228,0.007908586412668228,0.0,0.0,0.05684404447674751,0.05684404447674751,0.07377679646015167,0.03991129249334335,0.036888398230075836,0.019955646246671677,1.0,1.0,0.0026990659534931183,0.0026990659534931183,0.0,0.0,0.0,0.0,0.07128120213747025,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.0248330719769001,9.728987580837067e-12,0.0,0.0,0.00039780998486094177,0.0,0.0,0.0004659883270505816,nan,0.0010249488987028599,0.00017411109001841396,0.00019890499243047088,nan,0.011876524426043034,0.0011876524658873677,0.0,0.0,0.022744884714484215,0.022744884714484215,0.02766606956720352,0.017823699861764908,0.01383303478360176,0.008911849930882454,1.0,1.0,0.00043454585829749703,0.00043454585829749703,0.0,0.0,0.0,0.0,0.0248330719769001,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.013193231076002121,2.0614963729126412e-12,0.0,0.0,0.0003219961072318256,0.0,0.0,0.00020545879669953138,nan,0.00034845626214519143,0.00010692209616536275,0.0001609980536159128,nan,0.009133702144026756,0.0009133702260442078,0.0,0.0,0.011944386176764965,0.011944386176764965,0.013853787444531918,0.010034984908998013,0.006926893722265959,0.005017492454499006,1.0,1.0,0.00013001546903979033,0.00013001546903979033,0.0,0.0,0.0,0.0,0.013193231076002121,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.008817068301141262,8.53247052005901e-13,0.0,0.0,0.00013360277807805687,0.0,0.0,8.500874537276104e-05,nan,0.000148265331517905,3.99595191993285e-05,6.680138903902844e-05,nan,0.008669538423418999,0.0008669538656249642,0.0,0.0,0.007793409749865532,0.007793409749865532,0.008931035175919533,0.006655784323811531,0.004465517587959766,0.0033278921619057655,1.0,1.0,7.169624586822465e-05,7.169624586822465e-05,0.0,0.0,0.0,0.0,0.008817068301141262,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.009341295808553696,7.345770042591071e-13,0.0,0.0,0.0002161781012546271,0.0,0.0,0.0001891307911137119,nan,0.00024762580869719386,0.00021167749946471304,0.00010808905062731355,nan,0.029399339109659195,0.0029399339109659195,0.0,0.0,0.006074173375964165,0.006074173375964165,0.00704624317586422,0.00510210357606411,0.00352312158793211,0.002551051788032055,1.0,1.0,0.0001380575995426625,0.0001380575995426625,0.0,0.0,0.0,0.0,0.009341295808553696,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.0054413871839642525,5.723854550054863e-13,0.0,0.0,0.0001462930376874283,0.0,0.0,7.232351345010102e-05,nan,9.04327753232792e-05,5.339125345926732e-05,7.314651884371415e-05,nan,0.007539018988609314,0.0007539018988609314,0.0,0.0,0.00457389373332262,0.00457389373332262,0.0052374317310750484,0.003910355735570192,0.0026187158655375242,0.001955177867785096,1.0,1.0,4.1268089262302965e-05,4.1268089262302965e-05,0.0,0.0,0.0,0.0,0.0054413871839642525,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.14259620010852814,2.60668575483361e-13,0.0,0.0,0.00020791527640540153,0.0,0.0,0.0027844549622386694,nan,0.003631248604506254,0.004618158098310232,0.00010395763820270076,nan,1.314958930015564,0.1314958930015564,0.0,0.0,0.0031693456694483757,0.0031693456694483757,0.003649299032986164,0.002689392538741231,0.001824649516493082,0.0013446962693706155,1.0,1.0,0.005146494135260582,0.005146494135260582,0.0,0.0,0.0,0.0,0.14259620010852814,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.0026888796128332615,2.627048426885603e-13,0.0,0.0,2.6308973247068934e-05,0.0,0.0,1.0426523658679798e-05,nan,1.4949008800613228e-05,3.176074869770673e-06,1.3154486623534467e-05,nan,2.280644366692286e-05,2.280644366692286e-06,0.0,0.0,0.002671116264536977,0.002671116264536977,0.0030766113195568323,0.0022656212095171213,0.0015383056597784162,0.0011328106047585607,1.0,1.0,5.056145710113924e-06,5.056145710113924e-06,0.0,0.0,0.0,0.0,0.0026888796128332615,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.0026898880023509264,4.465706775723388e-13,0.0,0.0,2.8026546715409495e-05,0.0,0.0,1.3582277460955083e-05,nan,1.522404909337638e-05,1.1509510841278825e-05,1.4013273357704747e-05,nan,0.00018898030975833535,1.8898032067227177e-05,0.0,0.0,0.002651812043040991,0.002651812043040991,0.0030771142337471247,0.0022265096195042133,0.0015385571168735623,0.0011132548097521067,1.0,1.0,5.595543370873202e-06,5.595543370873202e-06,0.0,0.0,0.0,0.0,0.0026898880023509264,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.0019088209373876452,2.0555287344199008e-13,0.0,0.0,1.5391357010230422e-05,0.0,0.0,6.187296094140038e-06,nan,8.545164746465161e-06,2.321044348718715e-06,7.695678505115211e-06,nan,7.010014542174758e-06,7.010014542174758e-07,0.0,0.0,0.001899317605420947,0.001899317605420947,0.0022136240731924772,0.001585011137649417,0.0011068120365962386,0.0007925055688247085,1.0,1.0,2.615018956930726e-06,2.615018956930726e-06,0.0,0.0,0.0,0.0,0.0019088209373876452,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.0022059057373553514,5.975255555103198e-13,0.0,0.0,7.624829777341802e-06,0.0,0.0,9.129483260039706e-06,nan,1.4579776689060964e-05,8.996258657134604e-06,3.812414888670901e-06,nan,0.00048098911065608263,4.809891106560826e-05,0.0,0.0,0.002143633784726262,0.002143633784726262,0.0025218804366886616,0.0017653872491791844,0.0012609402183443308,0.0008826936245895922,1.0,1.0,5.043554210715229e-06,5.043554210715229e-06,0.0,0.0,0.0,0.0,0.0022059057373553514,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
