runner config | sample=1 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=1.000000e+00
sample=1 | outer=1/20 | loss_phi=2.538042e+00 | loss_mu=2.222788e+00 | mu_mse=2.063286e+05 | mu_mae=4.536819e+02 | defect_area_pred=0 | defect_area_label=88 | defect_iou=0.000000e+00
sample=1 | outer=2/20 | loss_phi=2.512641e+00 | loss_mu=1.053363e+00 | mu_mse=1.683066e+05 | mu_mae=4.075615e+02 | defect_area_pred=3 | defect_area_label=88 | defect_iou=0.000000e+00
sample=1 | outer=3/20 | loss_phi=2.504977e+00 | loss_mu=8.738372e-01 | mu_mse=1.460461e+05 | mu_mae=3.775948e+02 | defect_area_pred=174 | defect_area_label=88 | defect_iou=2.358491e-01
sample=1 | outer=4/20 | loss_phi=2.501809e+00 | loss_mu=7.858617e-01 | mu_mse=1.298920e+05 | mu_mae=3.539457e+02 | defect_area_pred=179 | defect_area_label=88 | defect_iou=2.654029e-01
sample=1 | outer=5/20 | loss_phi=2.500272e+00 | loss_mu=7.750367e-01 | mu_mse=1.214517e+05 | mu_mae=3.412480e+02 | defect_area_pred=178 | defect_area_label=88 | defect_iou=2.912621e-01
sample=1 | outer=6/20 | loss_phi=2.499218e+00 | loss_mu=7.890263e-01 | mu_mse=1.182185e+05 | mu_mae=3.369245e+02 | defect_area_pred=174 | defect_area_label=88 | defect_iou=2.906404e-01
sample=1 | outer=7/20 | loss_phi=2.498283e+00 | loss_mu=8.076293e-01 | mu_mse=1.222512e+05 | mu_mae=3.439754e+02 | defect_area_pred=170 | defect_area_label=88 | defect_iou=2.964824e-01
sample=1 | outer=8/20 | loss_phi=2.497283e+00 | loss_mu=8.347523e-01 | mu_mse=1.259581e+05 | mu_mae=3.491874e+02 | defect_area_pred=164 | defect_area_label=88 | defect_iou=2.923077e-01
sample=1 | outer=9/20 | loss_phi=2.496271e+00 | loss_mu=8.763049e-01 | mu_mse=1.220295e+05 | mu_mae=3.426639e+02 | defect_area_pred=166 | defect_area_label=88 | defect_iou=2.893401e-01
sample=1 | outer=10/20 | loss_phi=2.495369e+00 | loss_mu=9.301617e-01 | mu_mse=1.204101e+05 | mu_mae=3.396124e+02 | defect_area_pred=167 | defect_area_label=88 | defect_iou=3.010204e-01
sample=1 | outer=11/20 | loss_phi=2.494343e+00 | loss_mu=9.915441e-01 | mu_mse=1.208022e+05 | mu_mae=3.393598e+02 | defect_area_pred=167 | defect_area_label=88 | defect_iou=3.076923e-01
sample=1 | outer=12/20 | loss_phi=2.493105e+00 | loss_mu=1.072196e+00 | mu_mse=1.211235e+05 | mu_mae=3.388475e+02 | defect_area_pred=163 | defect_area_label=88 | defect_iou=3.141361e-01
sample=1 | outer=13/20 | loss_phi=2.491655e+00 | loss_mu=1.176141e+00 | mu_mse=1.199767e+05 | mu_mae=3.358617e+02 | defect_area_pred=155 | defect_area_label=88 | defect_iou=3.425414e-01
sample=1 | outer=14/20 | loss_phi=2.489962e+00 | loss_mu=1.308983e+00 | mu_mse=1.195564e+05 | mu_mae=3.338109e+02 | defect_area_pred=141 | defect_area_label=88 | defect_iou=3.963415e-01
sample=1 | outer=15/20 | loss_phi=2.487726e+00 | loss_mu=1.481088e+00 | mu_mse=1.219765e+05 | mu_mae=3.359899e+02 | defect_area_pred=133 | defect_area_label=88 | defect_iou=4.166667e-01
sample=1 | outer=16/20 | loss_phi=2.483829e+00 | loss_mu=1.678916e+00 | mu_mse=1.273348e+05 | mu_mae=3.423551e+02 | defect_area_pred=136 | defect_area_label=88 | defect_iou=4.451613e-01
sample=1 | outer=17/20 | loss_phi=2.479182e+00 | loss_mu=1.967287e+00 | mu_mse=1.345968e+05 | mu_mae=3.506857e+02 | defect_area_pred=138 | defect_area_label=88 | defect_iou=4.580645e-01
sample=1 | outer=18/20 | loss_phi=2.475539e+00 | loss_mu=2.114786e+00 | mu_mse=1.340667e+05 | mu_mae=3.491843e+02 | defect_area_pred=143 | defect_area_label=88 | defect_iou=4.620253e-01
sample=1 | outer=19/20 | loss_phi=2.472656e+00 | loss_mu=2.167712e+00 | mu_mse=1.335074e+05 | mu_mae=3.474096e+02 | defect_area_pred=147 | defect_area_label=88 | defect_iou=4.779874e-01
sample=1 | outer=20/20 | loss_phi=2.469999e+00 | loss_mu=2.142922e+00 | mu_mse=1.316533e+05 | mu_mae=3.437080e+02 | defect_area_pred=145 | defect_area_label=88 | defect_iou=4.935897e-01
