sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,2.333876848220825,0.26430073380470276,55788.734375,203.76576232910156,108,105,0.8362069129943848,-7.324191093444824,5.8380818367004395,-7.405063152313232,5.897436141967773,1.0,1.0,3.0,three,5.0
1,2.3662121295928955,0.35407376289367676,65653.6171875,223.22207641601562,93,88,0.7572815418243408,7.278481960296631,6.713537693023682,7.180666923522949,6.8065266609191895,1.0,1.0,3.0,three,5.0
2,2.24957275390625,0.1586974710226059,34212.7109375,163.5814208984375,47,48,0.8627451062202454,1.127120852470398,5.439170837402344,1.1392405033111572,5.512819766998291,1.0,1.0,3.0,three,5.0
3,2.2409956455230713,0.1385064721107483,35739.17578125,168.29644775390625,58,59,0.9180327653884888,-1.1785247325897217,3.806365966796875,-1.1617677211761475,3.8374617099761963,1.0,1.0,3.0,three,5.0
4,2.3114423751831055,0.2306242287158966,68509.0703125,238.5324249267578,81,77,0.8809523582458496,6.7862162590026855,6.084203720092773,6.788590908050537,6.097235679626465,1.0,1.0,3.0,three,5.0
5,2.1821084022521973,0.14446446299552917,56021.16015625,224.87205505371094,63,65,0.8823529481887817,-0.551537036895752,5.632885456085205,-0.5696201920509338,5.641026020050049,1.0,1.0,3.0,three,5.0
6,6.08506441116333,0.3130055367946625,84387.2890625,272.35125732421875,228,226,0.9739130139350891,0.7911392450332642,6.5159687995910645,0.8115828633308411,6.519174098968506,1.0,1.0,3.0,three,5.0
7,2.653543472290039,0.17725971341133118,57496.76171875,212.74734497070312,88,96,0.8969072103500366,-5.333716869354248,4.495920181274414,-5.316455841064453,4.487179279327393,1.0,1.0,3.0,three,5.0
8,2.6062397956848145,0.11787097156047821,74453.1875,254.9342041015625,166,166,0.9880239367485046,6.2498087882995605,4.13809061050415,6.252097129821777,4.1519927978515625,1.0,1.0,3.0,three,5.0
9,2.9440393447875977,0.28499382734298706,62762.84375,212.77699279785156,145,143,0.8701298832893372,-4.314709663391113,6.923076629638672,-4.367088317871094,6.923076629638672,1.0,1.0,3.0,three,5.0
