runner config | sample=8 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=3.000000e+00
sample=8 | outer=1/30 | loss_phi=2.755059e+00 | loss_mu=1.663307e+00 | mu_mse=1.898210e+05 | mu_mae=4.334181e+02 | defect_area_pred=0 | defect_area_label=166 | defect_iou=0.000000e+00
sample=8 | outer=2/30 | loss_phi=2.736997e+00 | loss_mu=1.207047e+00 | mu_mse=1.728351e+05 | mu_mae=4.119763e+02 | defect_area_pred=0 | defect_area_label=166 | defect_iou=0.000000e+00
sample=8 | outer=3/30 | loss_phi=2.733073e+00 | loss_mu=9.827448e-01 | mu_mse=1.606854e+05 | mu_mae=3.959217e+02 | defect_area_pred=73 | defect_area_label=166 | defect_iou=3.579545e-01
sample=8 | outer=4/30 | loss_phi=2.731300e+00 | loss_mu=8.335851e-01 | mu_mse=1.485547e+05 | mu_mae=3.792527e+02 | defect_area_pred=127 | defect_area_label=166 | defect_iou=5.181347e-01
sample=8 | outer=5/30 | loss_phi=2.730057e+00 | loss_mu=7.450769e-01 | mu_mse=1.387970e+05 | mu_mae=3.656084e+02 | defect_area_pred=149 | defect_area_label=166 | defect_iou=5.909091e-01
sample=8 | outer=6/30 | loss_phi=2.728978e+00 | loss_mu=7.010495e-01 | mu_mse=1.371794e+05 | mu_mae=3.644818e+02 | defect_area_pred=156 | defect_area_label=166 | defect_iou=6.345178e-01
sample=8 | outer=7/30 | loss_phi=2.727715e+00 | loss_mu=6.779503e-01 | mu_mse=1.422609e+05 | mu_mae=3.728061e+02 | defect_area_pred=158 | defect_area_label=166 | defect_iou=6.875000e-01
sample=8 | outer=8/30 | loss_phi=2.726064e+00 | loss_mu=7.083015e-01 | mu_mse=1.358801e+05 | mu_mae=3.635374e+02 | defect_area_pred=161 | defect_area_label=166 | defect_iou=7.580645e-01
sample=8 | outer=9/30 | loss_phi=2.724425e+00 | loss_mu=8.159304e-01 | mu_mse=1.370095e+05 | mu_mae=3.656275e+02 | defect_area_pred=160 | defect_area_label=166 | defect_iou=8.111111e-01
sample=8 | outer=10/30 | loss_phi=2.721919e+00 | loss_mu=1.014188e+00 | mu_mse=1.402935e+05 | mu_mae=3.706006e+02 | defect_area_pred=165 | defect_area_label=166 | defect_iou=8.595505e-01
