sample_index,polygon_mask_iou,polygon_dice,target_area,pred_area,true_component_count,pred_component_count
0,0.7669491525423728,0.86810551558753,189,228,1,1
1,0.7598566308243727,0.8635437881873728,224,267,1,1
2,0.8241758241758241,0.9036144578313253,238,260,1,1
3,0.7703703703703704,0.8702928870292888,210,268,1,1
4,0.7782258064516129,0.8752834467120182,217,224,1,1
5,0.8188679245283019,0.9004149377593361,224,258,1,1
6,0.8072289156626506,0.8933333333333333,204,246,1,1
7,0.8947368421052632,0.9444444444444444,245,259,1,1
8,0.8059701492537313,0.8925619834710744,228,256,1,1
9,0.807843137254902,0.8937093275488069,224,237,1,1
10,0.8131868131868132,0.896969696969697,84,81,1,1
11,0.7757847533632287,0.8737373737373737,184,212,2,2
12,0.6166666666666667,0.7628865979381443,88,106,1,1
13,0.7326732673267327,0.8457142857142858,160,190,2,2
14,0.7638888888888888,0.8661417322834646,120,134,1,1
15,0.6041666666666666,0.7532467532467533,76,78,1,1
16,0.7721518987341772,0.8714285714285714,63,77,1,1
17,0.7,0.8235294117647058,63,90,1,1
18,0.7884615384615384,0.8817204301075269,92,94,1,1
19,0.6636363636363637,0.7978142076502732,92,91,1,1
20,0.7285714285714285,0.8429752066115702,57,64,1,1
21,0.5185185185185185,0.6829268292682927,63,60,1,1
22,0.6296296296296297,0.7727272727272727,102,162,2,2
23,0.6273291925465838,0.7709923664122137,105,157,2,2
24,0.6928104575163399,0.8185328185328186,120,139,2,2
25,0.672316384180791,0.8040540540540541,140,156,3,3
26,0.6486486486486487,0.7868852459016393,105,139,2,2
27,0.7619047619047619,0.8648648648648649,137,122,1,1
28,0.72,0.8372093023255814,116,142,1,1
29,0.6787878787878788,0.8086642599277978,140,137,1,1
