sample_index,hard_case_type,polygon_mask_iou,vertex_mae,target_area,pred_area,area_diff,false_positive_pixels,false_negative_pixels,pixel_disagreement,max_abs_dx_cells,max_abs_dy_cells,mean_l2_cells,max_l2_cells,max_edge_diff_cells,mean_edge_diff_cells,pred_width_cells,true_width_cells,pred_height_cells,true_height_cells
0,x_bin_wrong_like,0.7669491525423728,0.00016678072279319167,189,228,39,47,8,55,0.9010714680195928,1.718935202229251,0.9423201665760276,1.7307034490253237,2.123281664608114,0.6756320501882456,31.580642315498935,31.027696090438127,8.386641020215475,6.471344330056816
1,x_bin_wrong_like,0.7598566308243727,0.0001846486993599683,224,267,43,55,12,67,0.6679060901792219,1.9873131132410045,1.147270913713652,1.9911353615425738,2.9781357521318643,0.915189688831576,32.8268134620446,32.28222248823649,9.705234279786817,6.731999836343338
2,x_bin_wrong_like,0.8241758241758241,0.00018114104750566185,238,260,22,35,13,48,0.6642758761929544,1.5899376636974085,1.0532105144338404,1.61791479394804,2.280163381753269,0.9294487552713848,33.8626036305935,33.60888711792724,9.46714149528313,7.194000075105347
3,x_bin_wrong_like,0.7703703703703704,0.000212137121707201,210,268,58,60,2,62,0.9465012678094492,2.12921237209914,1.2004557617600438,2.143725743301318,2.8826968613085198,0.8541521265926109,35.63303142338317,34.93555773836876,9.133789007748417,6.2700002458691655
4,x_bin_wrong_like,0.7782258064516129,0.00016565501573495567,217,224,7,31,24,55,0.6062161982284754,1.4722818488578913,0.9878355839207329,1.4778439890833948,1.9190408420199354,0.8549306374513523,31.527711154581112,31.108285914267285,8.635659615747473,7.13412565103524
5,x_bin_wrong_like,0.8188679245283019,0.000178128742845729,224,258,34,41,7,48,0.5616337186463264,1.604628802520308,1.0422288799204498,1.6337927876278668,2.2139425631736414,0.7833492464031349,32.44968357383497,32.28222113081562,9.404504788767653,7.194000147137328
6,x_bin_wrong_like,0.8072289156626506,0.000183439115062356,204,246,42,45,3,48,0.508739624367795,1.544634229104241,1.0952989802945365,1.566379919121941,2.4587002874766037,0.7820863159722617,33.85753013433956,33.608888855425946,8.725597019693188,6.2700002458691655
7,x_bin_wrong_like,0.8947368421052632,0.00018924726464319974,245,259,14,21,7,28,0.7045626797801855,1.6009623746369939,1.0457117431191074,1.6412322842242189,2.207474235928852,0.8463940581047273,35.16762733368488,34.93555658003628,8.932883166139197,6.732000412599192
8,x_bin_wrong_like,0.8059701492537313,0.00017481125541962683,228,256,28,40,12,52,0.9030823332015202,1.6608741112737717,0.9880566546304856,1.676955803273095,2.245420264390204,0.7131644482630801,31.453990242346904,31.119093156287676,9.435857717376747,7.596055010326971
9,x_bin_wrong_like,0.807843137254902,0.00021628313697874546,224,237,13,31,18,49,0.694158537462172,1.8704862064342425,1.224536827772447,1.922235382793788,2.8243263270749033,0.8583711352130219,32.53335687872075,32.2822222891481,9.09370004036352,6.270000209853174
