step,loss,presence_loss,type_loss,vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_vertex_loss,weighted_center_aux_loss,weighted_box_aux_loss,weighted_area_aux_loss,weighted_edge_aux_loss
1,3.6003808975219727,0.6568130850791931,0.7045706510543823,0.0447799451649189,0.0,0.0,0.0,0.0,0.6568130850791931,0.7045706510543823,2.238997220993042,0.0,0.0,0.0,0.0
1000,0.001942288363352418,0.0012689311988651752,0.000309215480228886,7.282832029886777e-06,0.0,0.0,0.0,0.0,0.0012689311988651752,0.000309215480228886,0.0003641415969468653,0.0,0.0,0.0,0.0
2000,0.0031588831916451454,0.0007218642276711762,0.00019706101738847792,4.4799158786190674e-05,0.0,0.0,0.0,0.0,0.0007218642276711762,0.00019706101738847792,0.002239957917481661,0.0,0.0,0.0,0.0
3000,0.0005121260765008628,0.000387216656235978,0.00011101753625553101,2.7783789846580476e-07,0.0,0.0,0.0,0.0,0.000387216656235978,0.00011101753625553101,1.3891894923290238e-05,0.0,0.0,0.0,0.0
4000,0.00018713226018007845,0.00014899633242748678,3.800463309744373e-05,2.625974548919885e-09,0.0,0.0,0.0,0.0,0.00014899633242748678,3.800463309744373e-05,1.3129873366324318e-07,0.0,0.0,0.0,0.0
5000,0.00016652114572934806,0.0001305251062149182,3.552026828401722e-05,9.515488841316255e-09,0.0,0.0,0.0,0.0,0.0001305251062149182,3.552026828401722e-05,4.7577444206581276e-07,0.0,0.0,0.0,0.0
6000,7.997995271580294e-05,6.372268398990855e-05,1.6224808859988116e-05,6.491746029624323e-10,0.0,0.0,0.0,0.0,6.372268398990855e-05,1.6224808859988116e-05,3.245872903789859e-08,0.0,0.0,0.0,0.0
7000,8.198745490517467e-05,6.424720777431503e-05,1.718473322398495e-05,1.1110249609203038e-08,0.0,0.0,0.0,0.0,6.424720777431503e-05,1.718473322398495e-05,5.555124857892224e-07,0.0,0.0,0.0,0.0
8000,0.003726125694811344,4.220630580675788e-05,1.1431453458499163e-05,7.344975892920047e-05,0.0,0.0,0.0,0.0,4.220630580675788e-05,1.1431453458499163e-05,0.003672488033771515,0.0,0.0,0.0,0.0
9000,0.0007716654799878597,3.892503082170151e-05,1.0913846381299663e-05,1.443653218302643e-05,0.0,0.0,0.0,0.0,3.892503082170151e-05,1.0913846381299663e-05,0.0007218266255222261,0.0,0.0,0.0,0.0
10000,0.00018298032227903605,2.2821404854767025e-05,6.343159384414321e-06,3.076315124417306e-06,0.0,0.0,0.0,0.0,2.2821404854767025e-05,6.343159384414321e-06,0.00015381575212813914,0.0,0.0,0.0,0.0
11000,2.008364026551135e-05,1.5870546121732332e-05,4.087612524017459e-06,2.509639829284538e-09,0.0,0.0,0.0,0.0,1.5870546121732332e-05,4.087612524017459e-06,1.2548198924378084e-07,0.0,0.0,0.0,0.0
12000,5.3441079217009246e-05,1.1081277079938445e-05,2.798275545501383e-06,7.912305477475456e-07,0.0,0.0,0.0,0.0,1.1081277079938445e-05,2.798275545501383e-06,3.956152795581147e-05,0.0,0.0,0.0,0.0
13000,1.3750196558248717e-05,1.1447807082731742e-05,2.2555618670594413e-06,9.36535182738396e-10,0.0,0.0,0.0,0.0,1.1447807082731742e-05,2.2555618670594413e-06,4.682675935896441e-08,0.0,0.0,0.0,0.0
14000,1.3394578672887292e-05,8.71107022248907e-06,2.0485144887061324e-06,5.269989244993667e-08,0.0,0.0,0.0,0.0,8.71107022248907e-06,2.0485144887061324e-06,2.6349946438131155e-06,0.0,0.0,0.0,0.0
15000,4.693662413046695e-05,7.1987965384323616e-06,1.7944108776646317e-06,7.588683388348727e-07,0.0,0.0,0.0,0.0,7.1987965384323616e-06,1.7944108776646317e-06,3.79434168280568e-05,0.0,0.0,0.0,0.0
16000,0.00022153975442051888,3.792636107391445e-06,8.438757390649698e-07,4.338064627518179e-06,0.0,0.0,0.0,0.0,3.792636107391445e-06,8.438757390649698e-07,0.00021690323774237186,0.0,0.0,0.0,0.0
17000,0.0004561080422718078,2.623862883410766e-06,5.709495098926709e-07,9.058264367922675e-06,0.0,0.0,0.0,0.0,2.623862883410766e-06,5.709495098926709e-07,0.00045291322749108076,0.0,0.0,0.0,0.0
18000,3.8227211916819215e-05,2.5949905193556333e-06,5.207559183872945e-07,7.022292720648693e-07,0.0,0.0,0.0,0.0,2.5949905193556333e-06,5.207559183872945e-07,3.511146496748552e-05,0.0,0.0,0.0,0.0
19000,2.8515929443528876e-05,2.430975200695684e-06,5.427156679616019e-07,5.108447567181429e-07,-0.0,-0.0,-0.0,-0.0,2.430975200695684e-06,5.427156679616019e-07,2.5542238290654495e-05,-0.0,-0.0,-0.0,-0.0
20000,2.2457747036241926e-05,1.8865036963688908e-06,4.07821119097207e-07,4.03268472837226e-07,-0.0,-0.0,-0.0,-0.0,1.8865036963688908e-06,4.07821119097207e-07,2.0163422959740274e-05,-0.0,-0.0,-0.0,-0.0
