split,sample_index,hard_case_type,polygon_mask_iou,polygon_dice,target_area,pred_area,area_diff,out_of_grid_vertex_count,true_component_count,pred_component_count
train,0,x_bin_wrong_like,0.984375,0.9921259842519685,189,192,3,0,1,1
train,1,x_bin_wrong_like,0.8571428571428571,0.9230769230769231,224,192,-32,0,1,1
train,2,x_bin_wrong_like,1.0,1.0,238,238,0,0,1,1
train,3,x_bin_wrong_like,1.0,1.0,210,210,0,0,1,1
train,4,x_bin_wrong_like,0.9953917050691244,0.9976905311778291,217,216,-1,0,1,1
train,5,x_bin_wrong_like,1.0,1.0,224,224,0,0,1,1
train,6,x_bin_wrong_like,1.0,1.0,204,204,0,0,1,1
train,7,x_bin_wrong_like,1.0,1.0,245,245,0,0,1,1
train,8,x_bin_wrong_like,0.991304347826087,0.9956331877729258,228,230,2,0,1,1
train,9,x_bin_wrong_like,1.0,1.0,224,224,0,0,1,1
train,10,both_bins_wrong_like,1.0,1.0,84,84,0,0,1,1
train,11,both_bins_wrong_like,1.0,1.0,184,184,0,0,2,2
train,12,both_bins_wrong_like,1.0,1.0,88,88,0,0,1,1
train,13,both_bins_wrong_like,0.9815950920245399,0.9907120743034056,160,163,3,0,2,2
train,14,both_bins_wrong_like,1.0,1.0,120,120,0,0,1,1
train,15,bins_correct_center_or_offset_bad,1.0,1.0,76,76,0,0,1,1
train,16,bins_correct_center_or_offset_bad,1.0,1.0,63,63,0,0,1,1
train,17,bins_correct_center_or_offset_bad,1.0,1.0,63,63,0,0,1,1
train,18,bins_correct_center_or_offset_bad,0.967391304347826,0.9834254143646409,92,89,-3,0,1,1
train,19,bins_correct_center_or_offset_bad,0.9787234042553191,0.989247311827957,92,94,2,0,1,1
train,20,bins_correct_center_or_offset_bad,1.0,1.0,57,57,0,0,1,1
train,21,bins_correct_center_or_offset_bad,1.0,1.0,63,63,0,0,1,1
train,22,geometry_or_type_interaction,1.0,1.0,102,102,0,0,2,2
train,23,geometry_or_type_interaction,1.0,1.0,105,105,0,0,2,2
train,24,geometry_or_type_interaction,1.0,1.0,120,120,0,0,2,2
train,25,geometry_or_type_interaction,1.0,1.0,140,140,0,0,3,3
train,26,geometry_or_type_interaction,1.0,1.0,105,105,0,0,2,2
train,27,rare_y_bin_wrong,0.9568345323741008,0.9779411764705882,137,135,-2,0,1,1
train,28,rare_y_bin_wrong,0.9655172413793104,0.9824561403508771,116,112,-4,0,1,1
train,29,rare_y_bin_wrong,1.0,1.0,140,140,0,0,1,1
val,0,x_bin_wrong_like,0.1977077363896848,0.33014354066985646,238,180,-58,0,1,1
val,1,x_bin_wrong_like,0.0,0.0,210,57,-153,0,1,1
val,2,x_bin_wrong_like,0.0,0.0,217,43,-174,0,1,1
val,3,both_bins_wrong_like,0.0,0.0,152,45,-107,0,2,1
val,4,both_bins_wrong_like,0.0,0.0,96,79,-17,0,1,1
val,5,bins_correct_center_or_offset_bad,0.5263157894736842,0.6896551724137931,76,40,-36,0,1,1
val,6,bins_correct_center_or_offset_bad,0.0,0.0,74,180,106,0,1,1
val,7,geometry_or_type_interaction,0.0,0.0,105,163,58,0,2,1
val,8,geometry_or_type_interaction,0.0,0.0,102,48,-54,0,2,2
val,9,rare_y_bin_wrong,0.0,0.0,132,141,9,0,1,1
test,0,x_bin_wrong_like,0.4105960264900662,0.5821596244131455,202,224,22,0,1,1
test,1,x_bin_wrong_like,0.43356643356643354,0.6048780487804878,224,186,-38,0,1,1
test,2,x_bin_wrong_like,0.0,0.0,204,150,-54,0,1,1
test,3,both_bins_wrong_like,0.0,0.0,160,80,-80,0,2,2
test,4,both_bins_wrong_like,0.0,0.0,120,82,-38,0,1,1
test,5,bins_correct_center_or_offset_bad,0.0,0.0,61,55,-6,0,1,1
test,6,bins_correct_center_or_offset_bad,0.0,0.0,71,95,24,0,1,1
test,7,geometry_or_type_interaction,0.0,0.0,109,108,-1,0,2,1
test,8,geometry_or_type_interaction,0.0,0.0,105,60,-45,0,2,2
test,9,rare_y_bin_wrong,0.0,0.0,140,105,-35,0,1,1
