sample_index,polygon_mask_iou,polygon_dice,target_area,pred_area,true_component_count,pred_component_count,out_of_grid_vertex_count
0,0.984375,0.9921259842519685,189,192,1,1,0
1,0.8571428571428571,0.9230769230769231,224,192,1,1,0
2,1.0,1.0,238,238,1,1,0
3,1.0,1.0,210,210,1,1,0
4,0.9953917050691244,0.9976905311778291,217,216,1,1,0
5,1.0,1.0,224,224,1,1,0
6,1.0,1.0,204,204,1,1,0
7,1.0,1.0,245,245,1,1,0
8,0.991304347826087,0.9956331877729258,228,230,1,1,0
9,1.0,1.0,224,224,1,1,0
10,1.0,1.0,84,84,1,1,0
11,1.0,1.0,184,184,2,2,0
12,1.0,1.0,88,88,1,1,0
13,0.9815950920245399,0.9907120743034056,160,163,2,2,0
14,1.0,1.0,120,120,1,1,0
15,1.0,1.0,76,76,1,1,0
16,1.0,1.0,63,63,1,1,0
17,1.0,1.0,63,63,1,1,0
18,0.967391304347826,0.9834254143646409,92,89,1,1,0
19,0.9787234042553191,0.989247311827957,92,94,1,1,0
20,1.0,1.0,57,57,1,1,0
21,1.0,1.0,63,63,1,1,0
22,1.0,1.0,102,102,2,2,0
23,1.0,1.0,105,105,2,2,0
24,1.0,1.0,120,120,2,2,0
25,1.0,1.0,140,140,3,3,0
26,1.0,1.0,105,105,2,2,0
27,0.9568345323741008,0.9779411764705882,137,135,1,1,0
28,0.9655172413793104,0.9824561403508771,116,112,1,1,0
29,1.0,1.0,140,140,1,1,0
