step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_offset_loss,weighted_local_vertex_loss
1,13.66396713256836,0.6568130254745483,0.7045706510543823,2.887977123260498,3.226872682571411,2.549081802368164,0.24884752929210663,6.926131248474121,0.0,0.0,0.0,0.0,0.6568130254745483,0.7045706510543823,2.887977123260498,2.4884753227233887,6.926131248474121
1000,0.12867391109466553,0.0022203519474714994,0.0008498932002112269,0.005943621974438429,0.006236451677978039,0.005650792270898819,0.008960547856986523,0.030054569244384766,-0.0,-0.0,-0.0,-0.0,0.0022203519474714994,0.0008498932002112269,0.005943621974438429,0.08960548043251038,0.030054569244384766
2000,0.07555530965328217,0.0010559520451352,0.00046112845302559435,0.0028015244752168655,0.00300044403411448,0.0026026051491498947,0.00357535551302135,0.03548315167427063,-0.0,-0.0,-0.0,-0.0,0.0010559520451352,0.00046112845302559435,0.0028015244752168655,0.035753555595874786,0.03548315167427063
3000,0.040459901094436646,0.0003345172735862434,0.0001360168243991211,0.0008078840910457075,0.0008347847033292055,0.0007809834787622094,0.00053594377823174,0.03382204473018646,-0.0,-0.0,-0.0,-0.0,0.0003345172735862434,0.0001360168243991211,0.0008078840910457075,0.0053594377823174,0.03382204473018646
4000,0.04193844646215439,0.00020696922729257494,8.779276686254889e-05,0.00051501439884305,0.0005411326419562101,0.000488896097522229,0.0007581650279462337,0.033547017723321915,-0.0,-0.0,-0.0,-0.0,0.00020696922729257494,8.779276686254889e-05,0.00051501439884305,0.0075816502794623375,0.033547017723321915
5000,0.04395357519388199,0.00014080711116548628,6.274488987401128e-05,0.00037769885966554284,0.0004051834112033248,0.0003502143081277609,0.0013983935350552201,0.029388390481472015,-0.0,-0.0,-0.0,-0.0,0.00014080711116548628,6.274488987401128e-05,0.00037769885966554284,0.013983935117721558,0.029388390481472015
6000,0.0531165674328804,9.840374696068466e-05,4.182379416306503e-05,0.0002676178119145334,0.00028802151791751385,0.00024721407680772245,0.0026355385780334473,0.02635333687067032,-0.0,-0.0,-0.0,-0.0,9.840374696068466e-05,4.182379416306503e-05,0.0002676178119145334,0.026355385780334473,0.02635333687067032
7000,0.027678804472088814,6.379923433996737e-05,2.4835238946252503e-05,0.00016947340918704867,0.00018101460591424257,0.00015793222701177,0.002704547019675374,0.0003752264892682433,-0.0,-0.0,-0.0,-0.0,6.379923433996737e-05,2.4835238946252503e-05,0.00016947340918704867,0.027045469731092453,0.0003752264892682433
8000,0.021011514589190483,4.500615978031419e-05,1.838899879658129e-05,0.00011856487253680825,0.0001275752583751455,0.00010955448669847101,0.0009819107363000512,0.011010447517037392,-0.0,-0.0,-0.0,-0.0,4.500615978031419e-05,1.838899879658129e-05,0.00011856487253680825,0.009819107130169868,0.011010447517037392
9000,0.009358890354633331,2.9530619940487668e-05,1.304684246861143e-05,7.955238106660545e-05,8.569117198931053e-05,7.341359741985798e-05,0.00047430768609046936,0.004493683576583862,-0.0,-0.0,-0.0,-0.0,2.9530619940487668e-05,1.304684246861143e-05,7.955238106660545e-05,0.004743076860904694,0.004493683576583862
10000,0.009746959432959557,2.0444238543859683e-05,9.160139597952366e-06,5.7848767028190196e-05,6.374296208377928e-05,5.1954571972601116e-05,0.0005030978354625404,0.004628527443856001,-0.0,-0.0,-0.0,-0.0,2.0444238543859683e-05,9.160139597952366e-06,5.7848767028190196e-05,0.005030978471040726,0.004628527443856001
11000,0.011550608091056347,1.3801976820104755e-05,6.346248028421542e-06,3.882356395479292e-05,4.313058525440283e-05,3.451654629316181e-05,0.0010434779105708003,0.0010568572906777263,-0.0,-0.0,-0.0,-0.0,1.3801976820104755e-05,6.346248028421542e-06,3.882356395479292e-05,0.010434779338538647,0.0010568572906777263
12000,0.004312741104513407,8.61444823385682e-06,4.307182734919479e-06,2.451435284456238e-05,2.7210595362703316e-05,2.1818110326421447e-05,0.00012601635535247624,0.003015141701325774,-0.0,-0.0,-0.0,-0.0,8.61444823385682e-06,4.307182734919479e-06,2.451435284456238e-05,0.0012601634953171015,0.003015141701325774
13000,0.007394134066998959,5.860720648342976e-06,3.0962844448367832e-06,1.772745599737391e-05,1.9575156329665333e-05,1.587975384609308e-05,0.00022282529971562326,0.005139196291565895,-0.0,-0.0,-0.0,-0.0,5.860720648342976e-06,3.0962844448367832e-06,1.772745599737391e-05,0.0022282530553638935,0.005139196291565895
14000,0.00031590694561600685,3.852439931506524e-06,2.0296863567637047e-06,1.1414195796533022e-05,1.2623525435628835e-05,1.0204866157437209e-05,3.6148187518847408e-06,0.00026246244669891894,-0.0,-0.0,-0.0,-0.0,3.852439931506524e-06,2.0296863567637047e-06,1.1414195796533022e-05,3.614818706410006e-05,0.00026246244669891894
15000,0.000100320452474989,2.470534809617675e-06,1.31443596274039e-06,7.4081908678635955e-06,8.074815923464485e-06,6.7415653575153556e-06,1.3791936908091884e-06,7.533535244874656e-05,-0.0,-0.0,-0.0,-0.0,2.470534809617675e-06,1.31443596274039e-06,7.4081908678635955e-06,1.3791936908091884e-05,7.533535244874656e-05
16000,0.0069626085460186005,1.629518578738498e-06,9.25438826016034e-07,4.929914211970754e-06,5.3738094720756635e-06,4.4860189518658444e-06,0.0003430647775530815,0.0035244759637862444,-0.0,-0.0,-0.0,-0.0,1.629518578738498e-06,9.25438826016034e-07,4.929914211970754e-06,0.003430647775530815,0.0035244759637862444
17000,0.00669180229306221,1.1181631407453096e-06,5.521266643881972e-07,3.386476237210445e-06,3.5762698189500952e-06,3.1966828828444704e-06,0.000359854893758893,0.0030881965067237616,-0.0,-0.0,-0.0,-0.0,1.1181631407453096e-06,5.521266643881972e-07,3.386476237210445e-06,0.00359854893758893,0.0030881965067237616
18000,0.0023305388167500496,6.737195690220688e-07,3.607647158787586e-07,2.0485144887061324e-06,2.142626954082516e-06,1.9544020233297488e-06,5.8830861235037446e-05,0.0017391471192240715,-0.0,-0.0,-0.0,-0.0,6.737195690220688e-07,3.607647158787586e-07,2.0485144887061324e-06,0.0005883086123503745,0.0017391471192240715
19000,0.010031072422862053,4.63375272374833e-07,2.1959596097076428e-07,1.430509882993647e-06,1.4336470712805749e-06,1.427372694706719e-06,0.00020649399084504694,0.007964018732309341,-0.0,-0.0,-0.0,-0.0,4.63375272374833e-07,2.1959596097076428e-07,1.430509882993647e-06,0.002064939821138978,0.007964018732309341
20000,0.002178301801905036,2.556289189215022e-07,1.2862052756190678e-07,9.285770374845015e-07,9.09754533040541e-07,9.473994850850431e-07,0.00015644733502995223,0.0006125156651251018,-0.0,-0.0,-0.0,-0.0,2.556289189215022e-07,1.2862052756190678e-07,9.285770374845015e-07,0.0015644733794033527,0.0006125156651251018
