split,true_center_x_bin,true_center_y_bin,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_offset_error_mean,center_offset_error_min,center_offset_error_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate
test,9,5,1,1,0.0,0.0,0.0,0.06154625490307808,0.06154625490307808,0.06154625490307808,15.123633135224024,15.123633135224024,15.123633135224024,0.9005650579929352,0.9005650579929352,0.9005650579929352,0.001828040461987257,0.001828040461987257,0.001828040461987257,1.0,0.0,0.0,1.0
test,12,3,1,1,0.0,0.0,0.0,0.3054048418998718,0.3054048418998718,0.3054048418998718,7.974872581110998,7.974872581110998,7.974872581110998,0.6416952759027481,0.6416952759027481,0.6416952759027481,0.0015879410784691572,0.0015879410784691572,0.0015879410784691572,0.0,0.0,0.0,1.0
test,12,6,1,1,0.0,0.0,0.0,0.03756172955036163,0.03756172955036163,0.03756172955036163,7.802581829061068,7.802581829061068,7.802581829061068,1.0616639107465744,1.0616639107465744,1.0616639107465744,0.00112383090890944,0.00112383090890944,0.00112383090890944,1.0,0.0,0.0,1.0
test,13,4,1,1,0.0,0.0,0.0,0.15186652541160583,0.15186652541160583,0.15186652541160583,7.462544934069041,7.462544934069041,7.462544934069041,1.1716545075178146,1.1716545075178146,1.1716545075178146,0.0012655049795284867,0.0012655049795284867,0.0012655049795284867,1.0,0.0,0.0,1.0
test,13,6,1,1,0.4105960264900662,0.4105960264900662,0.4105960264900662,0.16355009377002716,0.16355009377002716,0.16355009377002716,2.529535101235276,2.529535101235276,2.529535101235276,0.05314958095550537,0.05314958095550537,0.05314958095550537,0.00028022387414239347,0.00028022387414239347,0.00028022387414239347,1.0,1.0,1.0,0.0
test,14,4,1,1,0.0,0.0,0.0,0.21128085255622864,0.21128085255622864,0.21128085255622864,17.9702568944972,17.9702568944972,17.9702568944972,1.5242765694856644,1.5242765694856644,1.5242765694856644,0.0022740093991160393,0.0022740093991160393,0.0022740093991160393,1.0,0.0,0.0,1.0
test,15,4,1,1,0.0,0.0,0.0,0.051365286111831665,0.051365286111831665,0.051365286111831665,7.570788369018718,7.570788369018718,7.570788369018718,2.6593446284532547,2.6593446284532547,2.6593446284532547,0.0016917940229177475,0.0016917940229177475,0.0016917940229177475,1.0,0.0,0.0,1.0
test,15,5,1,1,0.0,0.0,0.0,0.43735426664352417,0.43735426664352417,0.43735426664352417,13.392936744721974,13.392936744721974,13.392936744721974,0.7512521743774414,0.7512521743774414,0.7512521743774414,0.0016845590434968472,0.0016845590434968472,0.0016845590434968472,1.0,0.0,0.0,1.0
test,16,3,1,1,0.0,0.0,0.0,0.1993754357099533,0.1993754357099533,0.1993754357099533,16.523865082095746,16.523865082095746,16.523865082095746,0.870389997959137,0.870389997959137,0.870389997959137,0.002234956482425332,0.002234956482425332,0.002234956482425332,1.0,0.0,0.0,1.0
test,17,5,2,2,0.0,0.0,0.0,0.1949550211429596,0.12334030866622925,0.26656973361968994,11.260448213255039,7.750319952113385,14.770576474396691,0.858757995069027,0.6955126821994781,1.0220033079385757,0.0018684162641875446,0.001099910936318338,0.0026369215920567513,0.5,0.0,0.0,1.0
test,19,3,1,1,0.0,0.0,0.0,0.30768007040023804,0.30768007040023804,0.30768007040023804,25.42846914107695,25.42846914107695,25.42846914107695,0.5551531165838242,0.5551531165838242,0.5551531165838242,0.0033707590773701668,0.0033707590773701668,0.0033707590773701668,0.0,0.0,0.0,1.0
