split,sample_index,hard_case_type,component_slot,presence_true,presence_pred,presence_correct,type_true,type_pred,type_correct,true_center_x_bin,pred_center_x_bin,true_center_y_bin,pred_center_y_bin,x_bin_correct,y_bin_correct,both_bins_correct,center_offset_error,center_coord_error,center_grid_error,local_vertex_grid_mae,local_vertex_grid_max_error,decoded_vertex_mae,pred_area,target_area,area_diff,polygon_iou,zero_iou,is_true_rotated,is_true_multi_component,signed_area_flip,pred_signed_area,true_signed_area,true_center_x,true_center_y,pred_center_x,pred_center_y,true_bin_center_x,true_bin_center_y,pred_bin_center_x,pred_bin_center_y
train,0,x_bin_wrong_like,0,True,True,True,1,1,True,3,3,5,5,True,True,True,0.001985771581530571,5.7385079979595675e-06,0.02665321187398645,0.009527027606964111,0.018708229064941406,5.740599590353668e-06,192,189,3,0.984375,False,True,False,False,-1.5729144619831543e-05,-1.57629628136044e-05,-0.02890541637316346,-0.001560000004246831,-0.0289077116176486,-0.0015547405055258423,-0.028743717819452286,-0.0011111116036772728,-0.028743717819452286,-0.0011111116036772728
train,0,x_bin_wrong_like,1,False,False,True,-1,0,True,0,16,0,7,False,False,False,0.3811967968940735,0.01218907017033219,32.588056460442125,0.0,0.0,0.0,192,189,3,0.984375,False,True,False,False,-8.047434629894154e-06,0.0,0.0,0.0,0.011865248321555555,0.00279093423159793,-0.03839195892214775,-0.00919191911816597,0.01306532695889473,0.002121211960911751
train,0,x_bin_wrong_like,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.26060622930526733,0.019964397867587854,49.79710647794061,0.0,0.0,0.0,192,189,3,0.984375,False,True,False,False,-3.907170717471777e-06,0.0,0.0,0.0,-0.019945938140153885,0.0008583320595789701,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,1,x_bin_wrong_like,0,True,True,True,0,0,True,10,10,5,5,True,True,True,0.0016788765788078308,4.904617442661948e-06,0.022652301337349013,0.006563097238540649,0.0112152099609375,4.324878318584524e-06,192,224,-32,0.8571428571428571,False,False,False,False,-1.7624208872408674e-05,-1.7649776705139536e-05,-0.006553657080075936,-0.0010399999737273902,-0.006555697997100651,-0.0010355401609558612,-0.0062311552464962006,-0.0011111116036772728,-0.0062311552464962006,-0.0011111116036772728
train,1,x_bin_wrong_like,1,False,False,True,-1,0,True,0,16,0,6,False,False,False,0.41145890951156616,0.011599456411868684,29.23561323337964,0.0,0.0,0.0,192,224,-32,0.8571428571428571,False,False,False,False,-8.062253882954433e-06,0.0,0.0,0.0,0.011547116911970079,0.0011006725544575602,-0.03839195892214775,-0.00919191911816597,0.01306532695889473,0.0005050506442785263
train,1,x_bin_wrong_like,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.2593435049057007,0.01999911730816144,49.881843488857314,0.0,0.0,0.0,192,224,-32,0.8571428571428571,False,False,False,False,-3.5609938565173203e-06,0.0,0.0,0.0,-0.01998087950050831,0.0008539013360859826,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,2,x_bin_wrong_like,0,True,True,True,0,0,True,17,17,5,5,True,True,True,0.0018277429044246674,5.3152464326903355e-06,0.02302402423664291,0.005227446556091309,0.008487701416015625,3.7990939745213836e-06,238,238,0,1.0,False,False,False,False,-1.9612647030449308e-05,-1.9636146440652803e-05,0.016119709238409996,-0.0005199999941396527,0.016116733895614743,-0.0005155955441296101,0.016281407326459885,-0.0011111116036772728,0.016281407326459885,-0.0011111116036772728
train,2,x_bin_wrong_like,1,False,False,True,-1,0,True,0,16,0,6,False,False,False,0.28185340762138367,0.012310303769048197,30.95524678847015,0.0,0.0,0.0,238,238,0,1.0,False,False,False,False,-8.334034388151213e-06,0.0,0.0,0.0,0.01226469548419118,0.0010586895514279604,-0.03839195892214775,-0.00919191911816597,0.01306532695889473,0.0005050506442785263
train,2,x_bin_wrong_like,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.318550169467926,0.020457005031633717,50.897385734651124,0.0,0.0,0.0,238,238,0,1.0,False,False,False,False,-3.469545993121771e-06,0.0,0.0,0.0,-0.02045556716620922,0.00024254231175291352,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,3,x_bin_wrong_like,0,True,True,True,0,0,True,6,6,6,6,True,True,True,0.0017040707170963287,4.9034038696700224e-06,0.022850280927707935,0.005248963832855225,0.009914398193359375,3.92995571019128e-06,210,210,0,1.0,False,False,False,False,-1.7768806558613717e-05,-1.7789630643482574e-05,-0.019417978823184967,0.0,-0.01941989129409194,4.515066393651068e-06,-0.01909547671675682,0.0005050506442785263,-0.01909547671675682,0.0005050506442785263
