new_split,new_sample_index,source_id,old_split,old_sample_index,hard_case_type,center_bin_signature,exactly_covered_component_count,within_distance1_component_count,uncovered_distance_gt1_component_count,max_center_bin_distance_to_train,mean_center_bin_distance_to_train,all_bins_exactly_covered,all_bins_within_distance1,true_rotated,true_multi_component,component_count
train,0,train_016,train,16,bins_correct_center_or_offset_bad,7:5,1,1,0,0,0.0,True,True,True,False,1
train,1,train_017,train,17,bins_correct_center_or_offset_bad,14:6,1,1,0,0,0.0,True,True,False,False,1
train,2,train_018,train,18,bins_correct_center_or_offset_bad,3:3,1,1,0,0,0.0,True,True,True,False,1
train,3,train_019,train,19,bins_correct_center_or_offset_bad,10:3,1,1,0,0,0.0,True,True,True,False,1
train,4,train_020,train,20,bins_correct_center_or_offset_bad,17:4,1,1,0,0,0.0,True,True,False,False,1
train,5,train_021,train,21,bins_correct_center_or_offset_bad,6:4,1,1,0,0,0.0,True,True,True,False,1
train,6,val_006,val,6,bins_correct_center_or_offset_bad,6:3,1,1,0,0,0.0,True,True,True,False,1
train,7,test_003,test,3,both_bins_wrong_like,15:4;17:5,2,2,0,0,0.0,True,True,True,True,2
train,8,test_004,test,4,both_bins_wrong_like,12:6,1,1,0,0,0.0,True,True,True,False,1
train,9,train_011,train,11,both_bins_wrong_like,15:5;17:6,2,2,0,0,0.0,True,True,True,True,2
train,10,train_013,train,13,both_bins_wrong_like,9:4;11:5,2,2,0,0,0.0,True,True,True,True,2
train,11,train_014,train,14,both_bins_wrong_like,14:6,1,1,0,0,0.0,True,True,True,False,1
train,12,test_008,test,8,geometry_or_type_interaction,15:5;17:5,2,2,0,0,0.0,True,True,True,True,2
train,13,train_024,train,24,geometry_or_type_interaction,15:6;16:7,2,2,0,0,0.0,True,True,True,True,2
train,14,train_025,train,25,geometry_or_type_interaction,5:7;7:7;6:6,3,3,0,0,0.0,True,True,True,True,3
train,15,train_026,train,26,geometry_or_type_interaction,6:8;8:8,2,2,0,0,0.0,True,True,True,True,2
train,16,val_007,val,7,geometry_or_type_interaction,16:3;19:3,2,2,0,0,0.0,True,True,True,True,2
train,17,train_027,train,27,rare_y_bin_wrong,11:2,1,1,0,0,0.0,True,True,True,False,1
train,18,train_029,train,29,rare_y_bin_wrong,13:3,1,1,0,0,0.0,True,True,True,False,1
train,19,val_009,val,9,rare_y_bin_wrong,13:8,1,1,0,0,0.0,True,True,True,False,1
train,20,test_001,test,1,x_bin_wrong_like,20:7,1,1,0,0,0.0,True,True,False,False,1
train,21,train_000,train,0,x_bin_wrong_like,3:5,1,1,0,0,0.0,True,True,True,False,1
train,22,train_001,train,1,x_bin_wrong_like,10:5,1,1,0,0,0.0,True,True,False,False,1
train,23,train_002,train,2,x_bin_wrong_like,17:5,1,1,0,0,0.0,True,True,False,False,1
train,24,train_003,train,3,x_bin_wrong_like,6:6,1,1,0,0,0.0,True,True,False,False,1
train,25,train_005,train,5,x_bin_wrong_like,20:6,1,1,0,0,0.0,True,True,False,False,1
train,26,train_006,train,6,x_bin_wrong_like,9:7,1,1,0,0,0.0,True,True,False,False,1
train,27,train_008,train,8,x_bin_wrong_like,5:5,1,1,0,0,0.0,True,True,True,False,1
train,28,val_001,val,1,x_bin_wrong_like,4:6,1,1,0,0,0.0,True,True,False,False,1
train,29,val_002,val,2,x_bin_wrong_like,11:6,1,1,0,0,0.0,True,True,True,False,1
val,0,test_006,test,6,bins_correct_center_or_offset_bad,19:3,1,1,0,0,0.0,True,True,True,False,1
val,1,train_015,train,15,bins_correct_center_or_offset_bad,18:5,0,1,0,1,1.0,False,True,True,False,1
val,2,train_010,train,10,both_bins_wrong_like,10:4,0,1,0,1,1.0,False,True,True,False,1
val,3,val_003,val,3,both_bins_wrong_like,13:4;15:5,1,2,0,1,0.5,False,True,True,True,2
val,4,train_022,train,22,geometry_or_type_interaction,14:5;16:6,0,2,0,1,1.0,False,True,True,True,2
val,5,val_008,val,8,geometry_or_type_interaction,5:4;8:5,0,2,0,1,1.0,False,True,True,True,2
val,6,test_009,test,9,rare_y_bin_wrong,13:4,0,1,0,1,1.0,False,True,True,False,1
val,7,test_000,test,0,x_bin_wrong_like,13:6,0,1,0,1,1.0,False,True,True,False,1
val,8,train_009,train,9,x_bin_wrong_like,12:5,0,1,0,1,1.0,False,True,False,False,1
val,9,val_000,val,0,x_bin_wrong_like,15:5,1,1,0,0,0.0,True,True,False,False,1
test,0,test_005,test,5,bins_correct_center_or_offset_bad,12:3,0,1,0,1,1.0,False,True,True,False,1
test,1,val_005,val,5,bins_correct_center_or_offset_bad,14:6,1,1,0,0,0.0,True,True,False,False,1
test,2,train_012,train,12,both_bins_wrong_like,12:7,0,1,0,1,1.0,False,True,True,False,1
test,3,val_004,val,4,both_bins_wrong_like,10:6,0,1,0,1,1.0,False,True,True,False,1
test,4,test_007,test,7,geometry_or_type_interaction,14:4;16:3,1,2,0,1,0.5,False,True,True,True,2
test,5,train_023,train,23,geometry_or_type_interaction,15:6;17:5,2,2,0,0,0.0,True,True,True,True,2
test,6,train_028,train,28,rare_y_bin_wrong,12:7,0,1,0,1,1.0,False,True,True,False,1
test,7,test_002,test,2,x_bin_wrong_like,9:5,0,1,0,1,1.0,False,True,False,False,1
test,8,train_004,train,4,x_bin_wrong_like,13:6,0,1,0,1,1.0,False,True,True,False,1
test,9,train_007,train,7,x_bin_wrong_like,16:5,0,1,0,1,1.0,False,True,False,False,1
