split,true_center_x_bin,true_center_y_bin,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_offset_error_mean,center_offset_error_min,center_offset_error_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate
test,9,5,1,1,0.0,0.0,0.0,0.02002650499343872,0.02002650499343872,0.02002650499343872,15.781506663306656,15.781506663306656,15.781506663306656,1.3544054627418518,1.3544054627418518,1.3544054627418518,0.002049977658316493,0.002049977658316493,0.002049977658316493,1.0,0.0,0.0,1.0
test,10,6,1,1,0.0,0.0,0.0,0.44765159487724304,0.44765159487724304,0.44765159487724304,5.51037340914005,5.51037340914005,5.51037340914005,1.6006580740213394,1.6006580740213394,1.6006580740213394,0.0011266943765804172,0.0011266943765804172,0.0011266943765804172,1.0,0.0,0.0,1.0
test,12,3,1,1,0.0,0.0,0.0,0.1708235740661621,0.1708235740661621,0.1708235740661621,41.116213833513584,41.116213833513584,41.116213833513584,2.7549529671669006,2.7549529671669006,2.7549529671669006,0.005306274630129337,0.005306274630129337,0.005306274630129337,0.0,0.0,0.0,1.0
test,12,7,2,2,0.0,0.0,0.0,0.17155172675848007,0.019923552870750427,0.3231799006462097,7.105648855401774,6.056086588130961,8.155211122672586,3.2990548303350806,0.8019540905952454,5.796155570074916,0.001807508699130267,0.0010615474311634898,0.002553469967097044,1.0,0.0,0.0,1.0
test,13,6,1,1,0.0,0.0,0.0,0.25410640239715576,0.25410640239715576,0.25410640239715576,14.128643995931531,14.128643995931531,14.128643995931531,8.491919159889221,8.491919159889221,8.491919159889221,0.004220268689095974,0.004220268689095974,0.004220268689095974,1.0,0.0,0.0,1.0
test,14,4,1,1,0.0,0.0,0.0,0.16666096448898315,0.16666096448898315,0.16666096448898315,17.79328634724822,17.79328634724822,17.79328634724822,1.3823094218969345,1.3823094218969345,1.3823094218969345,0.0022340877912938595,0.0022340877912938595,0.0022340877912938595,1.0,0.0,0.0,1.0
test,14,6,1,1,0.7236842105263158,0.7236842105263158,0.7236842105263158,0.030014969408512115,0.030014969408512115,0.030014969408512115,0.39264503979354287,0.39264503979354287,0.39264503979354287,0.5113641023635864,0.5113641023635864,0.5113641023635864,0.0001596913643879816,0.0001596913643879816,0.0001596913643879816,1.0,1.0,1.0,0.0
test,15,6,1,1,0.0,0.0,0.0,0.16975460946559906,0.16975460946559906,0.16975460946559906,24.529240552742426,24.529240552742426,24.529240552742426,3.4106016866862774,3.4106016866862774,3.4106016866862774,0.0036275587044656277,0.0036275587044656277,0.0036275587044656277,0.0,0.0,0.0,1.0
test,16,3,1,1,0.0,0.0,0.0,0.2642749547958374,0.2642749547958374,0.2642749547958374,16.119865849386244,16.119865849386244,16.119865849386244,0.7314733415842056,0.7314733415842056,0.7314733415842056,0.0023661719169467688,0.0023661719169467688,0.0023661719169467688,0.0,0.0,0.0,1.0
test,16,5,1,1,0.0,0.0,0.0,0.3268963396549225,0.3268963396549225,0.3268963396549225,15.809381132147037,15.809381132147037,15.809381132147037,6.189236685633659,6.189236685633659,6.189236685633659,0.0033436231315135956,0.0033436231315135956,0.0033436231315135956,0.0,0.0,0.0,1.0
