split,sample_index,hard_case_type,component_slot,presence_true,presence_pred,presence_correct,type_true,type_pred,type_correct,true_center_x_bin,pred_center_x_bin,true_center_y_bin,pred_center_y_bin,x_bin_correct,y_bin_correct,both_bins_correct,center_offset_error,center_coord_error,center_grid_error,local_vertex_grid_mae,local_vertex_grid_max_error,decoded_vertex_mae,pred_area,target_area,area_diff,polygon_iou,zero_iou,is_true_rotated,is_true_multi_component,signed_area_flip,pred_signed_area,true_signed_area,true_center_x,true_center_y,pred_center_x,pred_center_y,true_bin_center_x,true_bin_center_y,pred_bin_center_x,pred_bin_center_y
train,0,bins_correct_center_or_offset_bad,0,True,True,True,1,1,True,7,7,5,5,True,True,True,0.0024352818727493286,1.300335513423002e-05,0.03283960628125341,0.0011936724185943604,0.0023134946823120117,7.130631729523884e-06,63,63,0,1.0,False,True,False,False,-5.074965367836111e-06,-5.070221960752142e-06,-0.01466621970757842,-0.00036666666073870147,-0.014679155312478542,-0.0003653410021797754,-0.015879396349191666,-0.0011111116036772728,-0.015879396349191666,-0.0011111116036772728
train,0,bins_correct_center_or_offset_bad,1,False,False,True,-1,0,True,0,7,0,7,False,False,False,0.10639923810958862,0.016451650196374776,42.02430803661918,0.0,0.0,0.0,63,63,0,1.0,False,True,False,False,-4.294577935901457e-06,0.0,0.0,0.0,-0.016299421899020672,0.0022328546619974077,-0.03839195892214775,-0.00919191911816597,-0.015879396349191666,0.002121211960911751
train,0,bins_correct_center_or_offset_bad,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.09468172490596771,0.01859264765452247,46.312368747371174,0.0,0.0,0.0,63,63,0,1.0,False,True,False,False,-2.2813588321417624e-06,0.0,0.0,0.0,-0.01858406187966466,0.0005649697850458324,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,1,bins_correct_center_or_offset_bad,0,True,True,True,0,0,True,14,14,6,6,True,True,True,0.0020903274416923523,1.1281437158646552e-05,0.028515210709704336,0.004816383123397827,0.010716438293457031,6.200889401952736e-06,63,63,0,1.0,False,False,False,False,-5.923162174251544e-06,-5.923555859821126e-06,0.007846342981792986,0.00026666666599339806,0.00783512368798256,0.00026784915098687634,0.0066331662237644196,0.0005050506442785263,0.0066331662237644196,0.0005050506442785263
train,1,bins_correct_center_or_offset_bad,1,False,False,True,-1,0,True,0,7,0,7,False,False,False,0.2965201735496521,0.015768893917482204,41.0715505100673,0.0,0.0,0.0,63,63,0,1.0,False,False,False,False,-4.312764184168224e-06,0.0,0.0,0.0,-0.015510088298469782,0.002845202339813113,-0.03839195892214775,-0.00919191911816597,-0.015879396349191666,0.002121211960911751
train,1,bins_correct_center_or_offset_bad,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.18087179958820343,0.01840382123147522,45.898349271081926,0.0,0.0,0.0,63,63,0,1.0,False,False,False,False,-2.096612768283314e-06,0.0,0.0,0.0,-0.01838765200227499,0.0007712909718975425,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,2,bins_correct_center_or_offset_bad,0,True,True,True,1,1,True,3,3,3,3,True,True,True,0.0025489330291748047,1.4625873423608286e-05,0.036579394230328056,0.01612342894077301,0.030481338500976562,7.838476449251175e-06,90,92,-2,0.9782608695652174,False,True,False,False,-6.80232049454256e-06,-6.836147265218764e-06,-0.027530541643500328,-0.004799999995157123,-0.027545140590518713,-0.004799112910404801,-0.028743717819452286,-0.004343434236943722,-0.028743717819452286,-0.004343434236943722
train,2,bins_correct_center_or_offset_bad,1,False,False,True,-1,0,True,0,11,0,5,False,False,False,0.3888067901134491,0.004156523024192774,10.469928600363177,0.0,0.0,0.0,90,92,-2,0.9782608695652174,False,True,False,False,-4.760723562923944e-06,0.0,0.0,0.0,-0.004138637683354318,-0.00038517759094247594,-0.03839195892214775,-0.00919191911816597,-0.0030150748789310455,-0.0011111116036772728
train,2,bins_correct_center_or_offset_bad,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.34224528074264526,0.017606145080616063,43.993125713578685,0.0,0.0,0.0,90,92,-2,0.9782608695652174,False,True,False,False,-2.88620267941737e-06,0.0,0.0,0.0,-0.017579193459823728,0.000973807938862592,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,3,bins_correct_center_or_offset_bad,0,True,True,True,1,1,True,10,10,3,3,True,True,True,0.002884022891521454,1.5102026804963346e-05,0.03824324284564676,0.007029339671134949,0.013345718383789062,8.341452485183254e-06,93,92,1,0.989247311827957,False,True,False,False,-7.830042082152878e-06,-7.807998325463104e-06,-0.005017978830437642,-0.004166666651144624,-0.005032987799495459,-0.004164992715232074,-0.0062311552464962006,-0.004343434236943722,-0.0062311552464962006,-0.004343434236943722
train,3,bins_correct_center_or_offset_bad,1,False,False,True,-1,0,True,0,19,0,3,False,False,False,0.14000090956687927,0.023389787364056565,60.807945758929314,0.0,0.0,0.0,93,92,1,0.989247311827957,False,True,False,False,-5.403319549712607e-06,0.0,0.0,0.0,0.023022211622446775,-0.004130366200115532,-0.03839195892214775,-0.00919191911816597,0.022713564336299896,-0.004343434236943722
train,3,bins_correct_center_or_offset_bad,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.12245912849903107,0.01966671188372785,48.95459295888259,0.0,0.0,0.0,93,92,1,0.989247311827957,False,True,False,False,-2.3205620102058344e-06,0.0,0.0,0.0,-0.01966213993728161,0.0004240393900545314,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,4,bins_correct_center_or_offset_bad,0,True,True,True,0,0,True,17,17,4,4,True,True,True,0.0023051798343658447,1.1101925983366935e-05,0.028899607886267973,0.0019765645265579224,0.003224015235900879,6.456131814047694e-06,57,57,0,1.0,False,False,False,False,-4.804905478199978e-06,-4.797628432454907e-06,0.01749458396807313,-0.003533333307132125,0.017483661882579327,-0.0035313431289978325,0.016281407326459885,-0.0027272729203104973,0.016281407326459885,-0.0027272729203104973
train,4,bins_correct_center_or_offset_bad,1,False,False,True,-1,0,True,0,8,0,5,False,False,False,0.25692060589790344,0.012747149181749158,31.738209751690874,0.0,0.0,0.0,57,57,0,1.0,False,False,False,False,-3.7228229726885277e-06,0.0,0.0,0.0,-0.012743116123601794,-0.00032063019534689374,-0.03839195892214775,-0.00919191911816597,-0.01266331598162651,-0.0011111116036772728
train,4,bins_correct_center_or_offset_bad,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.1267765462398529,0.018724008407823463,46.695801510480656,0.0,0.0,0.0,57,57,0,1.0,False,False,False,False,-1.562030800556695e-06,0.0,0.0,0.0,-0.018707705195993185,0.0007811895775375888,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,5,bins_correct_center_or_offset_bad,0,True,True,True,1,1,True,6,6,4,4,True,True,True,0.002352416515350342,1.4419270856716376e-05,0.03590442029871912,0.009290099143981934,0.0171356201171875,7.5097777880728245e-06,63,63,0,1.0,False,True,False,False,-5.603027182430752e-06,-5.621334644739795e-06,-0.017882300540804863,-0.002899999963119626,-0.01789671485312283,-0.002899621846154332,-0.01909547671675682,-0.0027272729203104973,-0.01909547671675682,-0.0027272729203104973
train,5,bins_correct_center_or_offset_bad,1,False,False,True,-1,0,True,0,17,0,5,False,False,False,0.22558128833770752,0.01596121696301427,39.768598426494954,0.0,0.0,0.0,63,63,0,1.0,False,True,False,False,-3.435510934920373e-06,0.0,0.0,0.0,0.01595236943103373,-0.0005313722576829605,-0.03839195892214775,-0.00919191911816597,0.016281407326459885,-0.0011111116036772728
train,5,bins_correct_center_or_offset_bad,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.48173367977142334,0.01695158935700189,42.42170647498953,0.0,0.0,0.0,63,63,0,1.0,False,True,False,False,-2.5270284438830162e-06,0.0,0.0,0.0,-0.0169168661814183,0.0010844447097042575,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,6,bins_correct_center_or_offset_bad,0,True,True,True,1,1,True,6,6,3,3,True,True,True,0.002050831913948059,1.2758007692363301e-05,0.03174450123941986,0.004853174090385437,0.010155677795410156,6.582791684195399e-06,74,74,0,1.0,False,True,False,False,-5.080483827892869e-06,-5.070222021363565e-06,-0.020647906232625246,-0.0038399999612011015,-0.02066066302359104,-0.0038398237666115165,-0.01909547671675682,-0.004343434236943722,-0.01909547671675682,-0.004343434236943722
train,6,bins_correct_center_or_offset_bad,1,False,False,True,-1,0,True,0,17,0,5,False,False,False,0.3278142809867859,0.015655528706345588,38.97201433691981,0.0,0.0,0.0,74,74,0,1.0,False,True,False,False,-3.1760737879065284e-06,0.0,0.0,0.0,0.015651603462174535,-0.00035055404441663995,-0.03839195892214775,-0.00919191911816597,0.016281407326459885,-0.0011111116036772728
train,6,bins_correct_center_or_offset_bad,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.5428147315979004,0.017102366832612206,42.924500206378774,0.0,0.0,0.0,74,74,0,1.0,False,True,False,False,-2.2626145372023213e-06,0.0,0.0,0.0,-0.01705012167803943,0.001335777691565454,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,7,both_bins_wrong_like,0,True,True,True,1,1,True,15,15,4,4,True,True,True,0.002146005630493164,1.2075411546357557e-05,0.03027418812340791,0.008525669574737549,0.016594886779785156,6.462898454628885e-06,162,160,2,0.9876543209876543,False,True,True,False,-8.030956215063743e-06,-8.011851580405152e-06,0.008370742725674063,-0.002157575770979747,0.008358699618838727,-0.002156693080905825,0.009849246591329575,-0.0027272729203104973,0.009849246591329575,-0.0027272729203104973
train,7,both_bins_wrong_like,1,True,True,True,0,0,True,17,17,5,5,True,True,True,0.00043492019176483154,2.717788006623355e-06,0.0067618871487111825,0.007886484265327454,0.012596607208251953,2.818262146320194e-06,162,160,2,0.9876543209876543,False,True,True,False,-4.709680395506631e-06,-4.693333654999738e-06,0.014770742505788803,-0.0007575757626909763,0.014768024906516075,-0.0007576077914563939,0.016281407326459885,-0.0011111116036772728,0.016281407326459885,-0.0011111116036772728
train,7,both_bins_wrong_like,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.2874310612678528,0.01743639164586221,43.41760266332428,0.0,0.0,0.0,162,160,2,0.9876543209876543,False,True,True,False,-3.1479026839477202e-06,0.0,0.0,0.0,-0.017430332954972982,0.0004596158250933513,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
train,8,both_bins_wrong_like,0,True,True,True,1,1,True,12,12,6,6,True,True,True,0.0029224753379821777,1.3985140128201893e-05,0.036435493185727696,0.015507519245147705,0.029938697814941406,8.142662409227341e-06,120,120,0,1.0,False,True,False,False,-9.002790873244803e-06,-8.95999999662671e-06,-0.0012774986098520458,0.0010747474880190566,-0.0012912527890875936,0.0010772786336019635,0.0002010054886341095,0.0005050506442785263,0.0002010054886341095,0.0005050506442785263
train,8,both_bins_wrong_like,1,False,False,True,-1,0,True,0,16,0,7,False,False,False,0.22640207409858704,0.013513293576369876,35.52550403476072,0.0,0.0,0.0,120,120,0,1.0,False,True,False,False,-5.572826797863809e-06,0.0,0.0,0.0,0.013243649154901505,0.0026860492071136832,-0.03839195892214775,-0.00919191911816597,0.01306532695889473,0.002121211960911751
train,8,both_bins_wrong_like,2,False,False,True,-1,1,True,0,6,0,6,False,False,False,0.17286762595176697,0.019021171453900004,47.52540012520439,0.0,0.0,0.0,120,120,0,1.0,False,True,False,False,-2.73109297860188e-06,0.0,0.0,0.0,-0.01899253251031041,0.0010433946154080331,-0.03839195892214775,-0.00919191911816597,-0.01909547671675682,0.0005050506442785263
