split,true_center_y_bin,component_count,x_bin_acc,y_bin_acc,both_bins_acc,mean_abs_y_bin_error,mean_polygon_iou,zero_iou_rate,mean_center_offset_y_abs,mean_target_bbox_height_grid,mean_defect_axis_y,mean_rotation_angle,true_rotated_rate,true_multi_component_rate
test,3,2,0.0,0.0,0.0,3.5,0.0,1.0,0.35681258141994476,3.229887008666992,0.001146666666665,0.0,0.5,0.5
test,4,1,1.0,0.0,0.0,2.0,0.0,1.0,0.04987508803606033,3.3491506576538086,0.00161333333333,0.75,1.0,1.0
test,5,3,0.3333333333333333,0.0,0.0,2.0,0.0,1.0,0.31395824750264484,5.302000443140666,0.0014133333333333335,0.25,0.0,0.3333333333333333
test,6,4,0.75,0.25,0.25,1.5,0.18092105263157895,0.75,0.1285937138600275,4.726005375385284,0.0011633333333325,0.525,0.75,0.25
test,7,2,1.0,0.0,0.0,1.0,0.0,1.0,0.3437500149011612,4.424572467803955,0.0008566666666665001,0.55,1.0,0.0
train,2,1,1.0,1.0,1.0,0.0,0.9927007299270073,0.0,0.3749999403953552,4.424856662750244,0.000833333333333,-0.75,1.0,0.0
train,3,6,1.0,1.0,1.0,0.0,0.9945846968988624,0.0,0.2828543037176132,3.788053274154663,0.0010655555555543334,0.08333333333333333,0.8333333333333334,0.3333333333333333
train,4,4,1.0,1.0,1.0,0.0,0.9953607852158577,0.0,0.3276561591774225,3.8480145931243896,0.00142333333333325,-0.3625,0.75,0.5
train,5,10,1.0,1.0,1.0,0.0,0.99542869471857,0.0,0.26008770018815996,4.947192001342773,0.0016006666666653,0.27,0.5,0.5
train,6,10,1.0,1.0,1.0,0.0,0.9953430459188803,0.0,0.27554248170927165,5.017740797996521,0.0013839999999986001,0.235,0.5,0.3
train,7,5,1.0,1.0,1.0,0.0,0.9971631205673759,0.0,0.27698993384838105,4.5242303848266605,0.001671999999998,0.35,0.2,0.6
train,8,3,1.0,1.0,1.0,0.0,1.0,0.0,0.3312499225139618,3.559335470199585,0.0013533333333310001,0.25,0.6666666666666666,0.6666666666666666
val,3,1,0.0,0.0,0.0,4.0,0.0,1.0,0.10937508940696716,3.896543025970459,0.000746666666667,0.75,1.0,0.0
val,4,4,0.5,0.0,0.0,2.25,0.0,1.0,0.2487499862909317,4.059542655944824,0.00137333333333325,-0.024999999999999994,1.0,0.5
val,5,6,0.0,0.5,0.0,1.1666666666666667,0.062074212401009785,0.6666666666666666,0.283958541850249,4.4398113489151,0.0014566666666671667,0.06666666666666667,0.3333333333333333,0.5
val,6,2,0.5,0.0,0.0,1.5,0.0,1.0,0.1701249131001532,5.019063115119934,0.001486666666665,0.875,0.5,0.5
