split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,any_x_bin_error,any_y_bin_error,all_bins_correct,mean_abs_y_bin_error,mean_local_vertex_grid_mae,pred_area,target_area,area_diff,is_true_rotated,is_true_multi_component,all_bins_exactly_covered,all_bins_within_distance1,max_center_bin_distance_to_train
train,0,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.0011936724185943604,63,63,0,1,0,1,1,0.0
train,1,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.004816383123397827,63,63,0,0,0,1,1,0.0
train,2,bins_correct_center_or_offset_bad,1,0.9782608695652174,0,0,0,1,0.0,0.01612342894077301,90,92,-2,1,0,1,1,0.0
train,3,bins_correct_center_or_offset_bad,1,0.989247311827957,0,0,0,1,0.0,0.007029339671134949,93,92,1,1,0,1,1,0.0
train,4,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.0019765645265579224,57,57,0,0,0,1,1,0.0
train,5,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.009290099143981934,63,63,0,1,0,1,1,0.0
train,6,bins_correct_center_or_offset_bad,1,1.0,0,0,0,1,0.0,0.004853174090385437,74,74,0,1,0,1,1,0.0
train,7,both_bins_wrong_like,2,0.9876543209876543,0,0,0,1,0.0,0.008206076920032501,162,160,2,1,1,1,1,0.0
train,8,both_bins_wrong_like,1,1.0,0,0,0,1,0.0,0.015507519245147705,120,120,0,1,0,1,1,0.0
train,9,both_bins_wrong_like,2,1.0,0,0,0,1,0.0,0.008112773299217224,184,184,0,1,1,1,1,0.0
train,10,both_bins_wrong_like,2,0.9937888198757764,0,0,0,1,0.0,0.006680667400360107,161,160,1,1,1,1,1,0.0
train,11,both_bins_wrong_like,1,1.0,0,0,0,1,0.0,0.019394725561141968,120,120,0,1,0,1,1,0.0
train,12,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.007151998579502106,105,105,0,1,1,1,1,0.0
train,13,geometry_or_type_interaction,2,1.0,0,0,0,1,0.0,0.005398087203502655,120,120,0,1,1,1,1,0.0
