sample_index,polygon_mask_iou,polygon_dice,target_area,pred_area,true_component_count,pred_component_count,out_of_grid_vertex_count
0,1.0,1.0,63,63,1,1,0
1,1.0,1.0,63,63,1,1,0
2,0.9891304347826086,0.994535519125683,92,91,1,1,0
3,1.0,1.0,92,92,1,1,0
4,1.0,1.0,57,57,1,1,0
5,1.0,1.0,63,63,1,1,0
6,0.925,0.961038961038961,74,80,1,1,0
7,0.963855421686747,0.9815950920245399,160,166,2,2,0
8,1.0,1.0,120,120,1,1,0
9,1.0,1.0,184,184,2,2,0
10,0.9696969696969697,0.9846153846153847,160,165,2,2,0
11,1.0,1.0,120,120,1,1,0
12,1.0,1.0,105,105,2,2,0
13,1.0,1.0,120,120,2,2,0
14,0.9928571428571429,0.996415770609319,140,139,3,3,0
15,1.0,1.0,105,105,2,2,0
16,1.0,1.0,105,105,2,2,0
17,0.9927536231884058,0.9963636363636363,137,138,1,1,0
18,1.0,1.0,140,140,1,1,0
19,0.9850746268656716,0.9924812030075187,132,134,1,1,0
20,1.0,1.0,224,224,1,1,0
21,0.9788359788359788,0.9893048128342246,189,185,1,1,0
22,0.9821428571428571,0.990990990990991,224,220,1,1,0
23,1.0,1.0,238,238,1,1,0
24,1.0,1.0,210,210,1,1,0
25,1.0,1.0,224,224,1,1,0
26,1.0,1.0,204,204,1,1,0
27,0.9824561403508771,0.9911504424778761,228,224,1,1,0
28,1.0,1.0,210,210,1,1,0
29,0.9907834101382489,0.9953703703703703,217,215,1,1,0
