split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,target_area,pred_area,area_diff,all_x_bins_correct,all_y_bins_correct,all_bins_correct,mean_local_vertex_mae_grid,max_local_vertex_error_grid,true_rotated_component_count,true_multi_component_count,out_of_grid_vertex_count
test,8,x_bin_wrong_like,1,0.0,1,217,57,-160,1,0,0,8.027677647769451,22.87036657333374,1,0,0
test,9,x_bin_wrong_like,1,0.0,1,245,38,-207,0,0,0,6.126888066530228,11.1226806640625,0,0,0
val,8,x_bin_wrong_like,1,0.0,1,224,41,-183,1,0,0,5.680811524391174,12.850604057312012,0,0,0
val,9,x_bin_wrong_like,1,0.0,1,238,46,-192,0,0,0,5.371710821986198,9.641350746154785,0,0,0
test,6,rare_y_bin_wrong,1,0.0,1,116,42,-74,1,0,0,3.8542466908693314,9.929772853851318,1,0,0
val,3,both_bins_wrong_like,2,0.0,1,152,84,-68,0,0,0,3.659973308444023,17.57284688949585,1,2,0
test,0,bins_correct_center_or_offset_bad,1,0.0,1,61,101,40,0,0,0,2.3386468589305878,4.699745178222656,1,0,0
test,5,geometry_or_type_interaction,2,0.0,1,105,26,-79,0,0,0,2.1421594507992268,7.99458920955658,1,2,0
val,0,bins_correct_center_or_offset_bad,1,0.0,1,71,157,86,0,0,0,1.9385330528020859,3.3942298889160156,1,0,0
val,5,geometry_or_type_interaction,2,0.0,1,102,44,-58,0,0,0,1.3735134527087212,3.6767425537109375,1,2,0
