step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac
1,14.008386611938477,0.6585171818733215,0.7046038508415222,2.8861427307128906,3.217832565307617,2.554453134536743,-0.0,0.2619263231754303,7.139859676361084,-0.0,-0.0,-0.0,-0.0,0.6585171818733215,0.7046038508415222,2.8861427307128906,-0.0,2.619263172149658,7.139859676361084,0.12386137247085571,2.4786152839660645,0.0
100,1.194331407546997,0.13627876341342926,0.03336786478757858,0.596929132938385,0.5240141749382019,0.6698440909385681,-0.0,0.030528755858540535,0.12246816605329514,-0.0,-0.0,-0.0,-0.0,0.13627876341342926,0.03336786478757858,0.596929132938385,-0.0,0.30528756976127625,0.12246816605329514,1.1207787990570068,17.63895606994629,0.0
200,0.5699322819709778,0.04769967496395111,0.005110970698297024,0.1413515955209732,0.0739467665553093,0.20875641703605652,-0.0,0.028557663783431053,0.09019338339567184,-0.0,-0.0,-0.0,-0.0,0.04769967496395111,0.005110970698297024,0.1413515955209732,-0.0,0.28557664155960083,0.09019338339567184,1.1263221502304077,17.680814743041992,0.0
300,0.2855865955352783,0.019306762143969536,0.002641960745677352,0.07342630624771118,0.030230708420276642,0.11662189662456512,-0.0,0.01245868019759655,0.06562475860118866,-0.0,-0.0,-0.0,-0.0,0.019306762143969536,0.002641960745677352,0.07342630624771118,-0.0,0.1245868057012558,0.06562475860118866,1.12384033203125,17.662120819091797,0.0
400,0.23160332441329956,0.01040269248187542,0.0017310804687440395,0.03861852362751961,0.018991073593497276,0.05824597179889679,-0.0,0.011226428672671318,0.06858674436807632,-0.0,-0.0,-0.0,-0.0,0.01040269248187542,0.0017310804687440395,0.03861852362751961,-0.0,0.11226429045200348,0.06858674436807632,1.1124520301818848,17.575368881225586,0.0
500,0.25513511896133423,0.007654676679521799,0.0014632015954703093,0.022927962243556976,0.015283364802598953,0.03057255782186985,-0.0,0.019045518711209297,0.03263409808278084,-0.0,-0.0,-0.0,-0.0,0.007654676679521799,0.0014632015954703093,0.022927962243556976,-0.0,0.19045518338680267,0.03263409808278084,1.1290655136108398,17.701393127441406,0.0
600,0.16195859014987946,0.005920536816120148,0.0012846628669649363,0.015750043094158173,0.012483254075050354,0.019016830250620842,-0.0,0.007038005627691746,0.06862328946590424,-0.0,-0.0,-0.0,-0.0,0.005920536816120148,0.0012846628669649363,0.015750043094158173,-0.0,0.07038005441427231,0.06862328946590424,1.1034271717071533,17.392623901367188,0.0
700,0.15418347716331482,0.005709671415388584,0.0014030339661985636,0.014283210039138794,0.012953820638358593,0.01561260037124157,-0.0,0.010879594832658768,0.02399161271750927,-0.0,-0.0,-0.0,-0.0,0.005709671415388584,0.0014030339661985636,0.014283210039138794,-0.0,0.10879594832658768,0.02399161271750927,1.0969394445419312,17.454612731933594,0.0
800,0.15353424847126007,0.004759576171636581,0.0012819108087569475,0.011693121865391731,0.011240432970225811,0.012145811691880226,-0.0,0.008877814747393131,0.047021493315696716,-0.0,-0.0,-0.0,-0.0,0.004759576171636581,0.0012819108087569475,0.011693121865391731,-0.0,0.08877814561128616,0.047021493315696716,1.1220557689666748,17.648632049560547,0.0
900,0.10205554217100143,0.00414374889805913,0.0011201286688446999,0.009888377971947193,0.009838404133915901,0.009938351809978485,-0.0,0.0043472787365317345,0.043430499732494354,-0.0,-0.0,-0.0,-0.0,0.00414374889805913,0.0011201286688446999,0.009888377971947193,-0.0,0.043472789227962494,0.043430499732494354,1.117483377456665,17.6138916015625,0.0
1000,0.08659401535987854,0.0032657398842275143,0.0009123404743149877,0.00766900135204196,0.007684457581490278,0.007653545122593641,-0.0,0.0034366296604275703,0.04038063809275627,-0.0,-0.0,-0.0,-0.0,0.0032657398842275143,0.0009123404743149877,0.00766900135204196,-0.0,0.034366294741630554,0.04038063809275627,1.1174671649932861,17.61376953125,0.0
1100,0.07784576714038849,0.002734305104240775,0.0007729224744252861,0.006403450854122639,0.006459816824644804,0.006347084883600473,-0.0,0.0029921638779342175,0.03801344707608223,-0.0,-0.0,-0.0,-0.0,0.002734305104240775,0.0007729224744252861,0.006403450854122639,-0.0,0.02992163971066475,0.03801344707608223,1.1170611381530762,17.610671997070312,0.0
1200,0.07818153500556946,0.002311563119292259,0.0006763871060684323,0.005429348908364773,0.005514148157089949,0.005344550125300884,-0.0,0.0027539001312106848,0.04222523421049118,-0.0,-0.0,-0.0,-0.0,0.002311563119292259,0.0006763871060684323,0.005429348908364773,-0.0,0.027539001777768135,0.04222523421049118,1.1180909872055054,17.6185245513916,0.0
1300,0.07308655232191086,0.0019970303401350975,0.0005920924595557153,0.004742329940199852,0.0048355343751609325,0.004649125039577484,-0.0,0.0028830459341406822,0.03692464157938957,-0.0,-0.0,-0.0,-0.0,0.0019970303401350975,0.0005920924595557153,0.004742329940199852,-0.0,0.028830459341406822,0.03692464157938957,1.1150795221328735,17.59552574157715,0.0
1400,0.06864067912101746,0.0017671758541837335,0.000533048645593226,0.004209168720990419,0.004333436489105225,0.004084900952875614,-0.0,0.002849620534107089,0.033635079860687256,-0.0,-0.0,-0.0,-0.0,0.0017671758541837335,0.000533048645593226,0.004209168720990419,-0.0,0.028496205806732178,0.033635079860687256,1.1147868633270264,17.593284606933594,0.0
1500,0.062151726335287094,0.0016068837139755487,0.00048375397454947233,0.0037899212911725044,0.003931339830160141,0.0036485029850155115,-0.0,0.0025669510941952467,0.030601654201745987,-0.0,-0.0,-0.0,-0.0,0.0016068837139755487,0.00048375397454947233,0.0037899212911725044,-0.0,0.025669511407613754,0.030601654201745987,1.1146981716156006,17.592605590820312,0.0
1600,0.05975694954395294,0.0014660413144156337,0.00043971859849989414,0.003475641366094351,0.0036308628041297197,0.0033204196952283382,-0.0,0.00265168072655797,0.027858739718794823,-0.0,-0.0,-0.0,-0.0,0.0014660413144156337,0.00043971859849989414,0.003475641366094351,-0.0,0.026516806334257126,0.027858739718794823,1.114216923713684,17.588916778564453,0.0
1700,0.05559771507978439,0.0013461916241794825,0.0004123984253965318,0.003222131635993719,0.0033729004207998514,0.003071362851187587,-0.0,0.0024228577967733145,0.026388412341475487,-0.0,-0.0,-0.0,-0.0,0.0013461916241794825,0.0004123984253965318,0.003222131635993719,-0.0,0.024228578433394432,0.026388412341475487,1.1136184930801392,17.584327697753906,0.0
1800,0.05404984578490257,0.0012514205882325768,0.00037729894393123686,0.0029706782661378384,0.0031331467907875776,0.002808209741488099,-0.0,0.0023490970488637686,0.025959476828575134,-0.0,-0.0,-0.0,-0.0,0.0012514205882325768,0.00037729894393123686,0.0029706782661378384,-0.0,0.023490970954298973,0.025959476828575134,1.1138806343078613,17.586339950561523,0.0
1900,0.05048605799674988,0.001160919200628996,0.00034946404048241675,0.0027451394125819206,0.0029118128586560488,0.002578466199338436,-0.0,0.0021563833579421043,0.02466670051217079,-0.0,-0.0,-0.0,-0.0,0.001160919200628996,0.00034946404048241675,0.0027451394125819206,-0.0,0.021563833579421043,0.02466670051217079,1.1135374307632446,17.58370590209961,0.0
2000,0.04724282771348953,0.0011008557630702853,0.00032824015943333507,0.0025875396095216274,0.002763486932963133,0.0024115920532494783,-0.0,0.00203893450088799,0.022836845368146896,-0.0,-0.0,-0.0,-0.0,0.0011008557630702853,0.00032824015943333507,0.0025875396095216274,-0.0,0.020389344543218613,0.022836845368146896,1.1133434772491455,17.582218170166016,0.0
2100,0.043606292456388474,0.0010221564443781972,0.00030600157333537936,0.0024168065283447504,0.0025865486823022366,0.0022470643743872643,-0.0,0.0017605233006179333,0.022256094962358475,-0.0,-0.0,-0.0,-0.0,0.0010221564443781972,0.00030600157333537936,0.0024168065283447504,-0.0,0.017605233937501907,0.022256094962358475,1.1131094694137573,17.580419540405273,0.0
2200,0.003996443469077349,0.0009066156344488263,0.00027121457969769835,0.002126110251992941,0.00226078974083066,0.001991430763155222,-0.0,2.4671851861057803e-05,0.0004457846807781607,-0.0,-0.0,-0.0,-0.0,0.0009066156344488263,0.00027121457969769835,0.002126110251992941,-0.0,0.00024671852588653564,0.0004457846807781607,1.09934663772583,17.467025756835938,0.0
2300,0.012542685493826866,0.0006805076845921576,0.00020614024833776057,0.0015761698596179485,0.0016425320645794272,0.0015098076546564698,-0.0,0.0009849956259131432,0.00022991144214756787,-0.0,-0.0,-0.0,-0.0,0.0006805076845921576,0.00020614024833776057,0.0015761698596179485,-0.0,0.009849956259131432,0.00022991144214756787,1.0982511043548584,17.462614059448242,0.0
2400,0.006292149890214205,0.000564813963137567,0.00017154653323814273,0.0013110182480886579,0.001360890339128673,0.0012611461570486426,-0.0,0.0004141999233979732,0.00010277168621541932,-0.0,-0.0,-0.0,-0.0,0.000564813963137567,0.00017154653323814273,0.0013110182480886579,-0.0,0.0041419994086027145,0.00010277168621541932,1.098580002784729,17.463775634765625,0.0
