split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,target_area,pred_area,area_diff,all_x_bins_correct,all_y_bins_correct,all_bins_correct,mean_local_vertex_mae_grid,max_local_vertex_error_grid,true_rotated_component_count,true_multi_component_count,out_of_grid_vertex_count
test,8,x_bin_wrong_like,1,0.0,1,217,78,-139,1,0,0,8.925527960062027,25.74326515197754,1,0,0
val,7,x_bin_wrong_like,1,0.0,1,202,59,-143,1,0,0,8.548743836581707,23.6525297164917,1,0,0
val,9,x_bin_wrong_like,1,0.0,1,238,31,-207,0,0,0,6.489422425627708,12.63678789138794,0,0,0
test,9,x_bin_wrong_like,1,0.0,1,245,43,-202,1,0,0,5.752727687358856,9.77476453781128,0,0,0
val,8,x_bin_wrong_like,1,0.0,1,224,53,-171,1,0,0,4.575757339596748,8.509534358978271,0,0,0
val,3,both_bins_wrong_like,2,0.0,1,152,41,-111,0,0,0,3.046792685985565,17.247915744781494,1,2,0
test,6,rare_y_bin_wrong,1,0.0,1,116,39,-77,1,0,0,2.7917492389678955,5.535964012145996,1,0,0
val,0,bins_correct_center_or_offset_bad,1,0.0,1,71,197,126,0,0,0,2.7133647054433823,4.2950439453125,1,0,0
test,5,geometry_or_type_interaction,2,0.0,1,105,47,-58,0,0,0,2.7133190371096134,15.577840805053711,1,2,0
val,4,geometry_or_type_interaction,2,0.0,1,102,118,16,0,0,0,2.529339499771595,15.178326606750488,1,2,0
