split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,target_area,pred_area,area_diff,all_x_bins_correct,all_y_bins_correct,all_bins_correct,mean_local_vertex_mae_grid,max_local_vertex_error_grid,true_rotated_component_count,true_multi_component_count,out_of_grid_vertex_count
test,8,x_bin_wrong_like,1,0.0,1,217,60,-157,1,0,0,8.491919159889221,23.249081134796143,1,0,0
val,8,x_bin_wrong_like,1,0.0,1,224,27,-197,0,0,0,8.135985884815454,19.421442985534668,0,0,0
val,7,x_bin_wrong_like,1,0.0,1,202,46,-156,1,0,0,8.054928556084633,20.94210195541382,1,0,0
test,9,x_bin_wrong_like,1,0.0,1,245,44,-201,0,0,0,6.189236685633659,10.608899593353271,0,0,0
test,6,rare_y_bin_wrong,1,0.0,1,116,20,-96,1,0,0,5.796155570074916,14.175754129886627,1,0,0
val,3,both_bins_wrong_like,2,0.0,1,152,33,-119,0,0,0,3.837088353931904,17.05053472518921,1,2,0
test,5,geometry_or_type_interaction,2,0.0,1,105,7,-98,0,0,0,3.013242172077298,6.7120537757873535,1,2,0
test,0,bins_correct_center_or_offset_bad,1,0.0,1,61,119,58,0,0,0,2.7549529671669006,5.454860687255859,1,0,0
val,4,geometry_or_type_interaction,2,0.0,1,102,34,-68,0,0,0,2.636597862932831,8.97688764333725,1,2,0
test,3,both_bins_wrong_like,1,0.0,1,96,53,-43,1,0,0,1.6006580740213394,3.091054916381836,1,0,0
