step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac,joint_center_teacher_forcing_weight
1,14.098676681518555,0.6585171818733215,0.7046038508415222,2.8861427307128906,3.217832565307617,2.554453134536743,-0.0,0.2619263231754303,7.230149269104004,-0.0,-0.0,-0.0,-0.0,0.6585171818733215,0.7046038508415222,2.8861427307128906,-0.0,2.619263172149658,7.230149269104004,5.223491191864014,5.223491191864014,0.0,1.0
100,2.366971969604492,0.08552290499210358,0.022796472534537315,0.4788128435611725,0.3684132695198059,0.5892124176025391,-0.0,0.018224814906716347,1.597591519355774,-0.0,-0.0,-0.0,-0.0,0.08552290499210358,0.022796472534537315,0.4788128435611725,-0.0,0.18224814534187317,1.597591519355774,17.932912826538086,17.932912826538086,0.0,0.9950497524876244
200,1.0180739164352417,0.026519818231463432,0.003830313216894865,0.10749007761478424,0.05825704708695412,0.15672311186790466,-0.0,0.01912456937134266,0.6889880299568176,-0.0,-0.0,-0.0,-0.0,0.026519818231463432,0.003830313216894865,0.10749007761478424,-0.0,0.1912456899881363,0.6889880299568176,17.627933502197266,17.627933502197266,0.0,0.9900495024751238
300,0.6801778078079224,0.010518287308514118,0.0018731357995420694,0.039244309067726135,0.022940104827284813,0.05554851517081261,-0.0,0.01663801074028015,0.46216195821762085,-0.0,-0.0,-0.0,-0.0,0.010518287308514118,0.0018731357995420694,0.039244309067726135,-0.0,0.1663801074028015,0.46216195821762085,17.621944427490234,17.621944427490234,0.0,0.9850492524626231
400,0.5120678544044495,0.005408029537647963,0.0015377139206975698,0.020625296980142593,0.014018187299370766,0.027232404798269272,-0.0,0.016101043671369553,0.3234863877296448,-0.0,-0.0,-0.0,-0.0,0.005408029537647963,0.0015377139206975698,0.020625296980142593,-0.0,0.16101044416427612,0.3234863877296448,17.652719497680664,17.652719497680664,0.0,0.9800490024501225
500,0.33587658405303955,0.0035238296259194613,0.0012279527727514505,0.013811778277158737,0.00989385787397623,0.01772969774901867,-0.0,0.00849712174385786,0.23234181106090546,-0.0,-0.0,-0.0,-0.0,0.0035238296259194613,0.0012279527727514505,0.013811778277158737,-0.0,0.08497121930122375,0.23234181106090546,17.568286895751953,17.568286895751953,0.0,0.9750487524376219
600,0.3740203380584717,0.0023805671371519566,0.0010648274328559637,0.009916786104440689,0.0072791920974850655,0.012554379180073738,-0.0,0.020092740654945374,0.1597307324409485,-0.0,-0.0,-0.0,-0.0,0.0023805671371519566,0.0010648274328559637,0.009916786104440689,-0.0,0.20092740654945374,0.1597307324409485,17.498733520507812,17.498733520507812,0.0,0.9700485024251213
700,0.2808355391025543,0.0024892825167626143,0.0009452743688598275,0.009517909958958626,0.007940472103655338,0.011095347814261913,-0.0,0.01243059802800417,0.14357709884643555,-0.0,-0.0,-0.0,-0.0,0.0024892825167626143,0.0009452743688598275,0.009517909958958626,-0.0,0.12430597841739655,0.14357709884643555,17.26889991760254,17.26889991760254,0.0,0.9650482524126206
800,0.21342742443084717,0.0019686880987137556,0.0006965635693632066,0.006867337040603161,0.005952984560281038,0.007781689055263996,-0.0,0.009020726196467876,0.11368757486343384,-0.0,-0.0,-0.0,-0.0,0.0019686880987137556,0.0006965635693632066,0.006867337040603161,-0.0,0.09020726382732391,0.11368757486343384,17.663787841796875,17.663787841796875,0.0,0.96004800240012
900,0.26334622502326965,0.0017425849800929427,0.0006116446456871927,0.00613519549369812,0.005442758556455374,0.006827631965279579,-0.0,0.010849419049918652,0.14636260271072388,-0.0,-0.0,-0.0,-0.0,0.0017425849800929427,0.0006116446456871927,0.00613519549369812,-0.0,0.10849419236183167,0.14636260271072388,17.50694465637207,17.50694465637207,0.0,0.9550477523876194
1000,0.22450563311576843,0.0015766252763569355,0.0005698918248526752,0.00546069722622633,0.005005677230656147,0.005915717221796513,-0.0,0.010207432322204113,0.1148240864276886,-0.0,-0.0,-0.0,-0.0,0.0015766252763569355,0.0005698918248526752,0.00546069722622633,-0.0,0.10207432508468628,0.1148240864276886,17.398042678833008,17.398042678833008,0.0,0.9500475023751187
1100,0.2172243297100067,0.001387057127431035,0.0005080189439468086,0.004646914079785347,0.004269944038242102,0.005023884121328592,-0.0,0.01069176010787487,0.10376474261283875,-0.0,-0.0,-0.0,-0.0,0.001387057127431035,0.0005080189439468086,0.004646914079785347,-0.0,0.106917604804039,0.10376474261283875,17.82005500793457,17.82005500793457,0.0,0.9450472523626181
