step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,center_consistency_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,weighted_center_consistency_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac,joint_center_teacher_forcing_weight
1,36.52423095703125,0.6585171818733215,0.7046038508415222,2.8861427307128906,3.217832565307617,2.554453134536743,-0.0,0.2619263231754303,6.929930686950684,-0.0,-0.0,-0.0,-0.0,22.725772857666016,0.6585171818733215,0.7046038508415222,2.8861427307128906,-0.0,2.619263172149658,6.929930686950684,22.725772857666016,0.12386137247085571,0.12386137247085571,0.0,0.0
100,4.54398250579834,0.09803460538387299,0.0732368528842926,1.2514619827270508,1.285872459411621,1.21705162525177,0.0,0.04526415094733238,1.741623878479004,-0.0,-0.0,-0.0,-0.0,0.9269840717315674,0.09803460538387299,0.0732368528842926,1.2514619827270508,0.0,0.4526415169239044,1.741623878479004,0.9269840717315674,17.459136962890625,17.459136962890625,0.0,0.0
200,2.3755178451538086,0.030836695805191994,0.011897976510226727,0.6104575395584106,0.6026026010513306,0.6183124780654907,-0.0,0.038775913417339325,1.0179427862167358,-0.0,-0.0,-0.0,-0.0,0.3166235685348511,0.030836695805191994,0.011897976510226727,0.6104575395584106,-0.0,0.38775914907455444,1.0179427862167358,0.3166235685348511,17.863906860351562,17.863906860351562,0.0,0.0
300,1.2446649074554443,0.013713868334889412,0.010077189654111862,0.3433467149734497,0.33897337317466736,0.34772008657455444,-0.0,0.03841499611735344,0.1307433396577835,-0.0,-0.0,-0.0,-0.0,0.36263391375541687,0.013713868334889412,0.010077189654111862,0.3433467149734497,-0.0,0.384149968624115,0.1307433396577835,0.36263391375541687,17.598529815673828,17.598529815673828,0.0,0.0
400,0.6233726739883423,0.007799809332937002,0.004327625967562199,0.21935296058654785,0.21744246780872345,0.22126346826553345,-0.0,0.017808405682444572,0.04827694967389107,-0.0,-0.0,-0.0,-0.0,0.1655312478542328,0.007799809332937002,0.004327625967562199,0.21935296058654785,-0.0,0.17808406054973602,0.04827694967389107,0.1655312478542328,17.850431442260742,17.850431442260742,0.0,0.0
500,0.6796143054962158,0.004952914547175169,0.0024946294724941254,0.14232927560806274,0.14093203842639923,0.14372652769088745,-0.0,0.029152218252420425,0.020611567422747612,-0.0,-0.0,-0.0,-0.0,0.21770374476909637,0.004952914547175169,0.0024946294724941254,0.14232927560806274,-0.0,0.29152217507362366,0.020611567422747612,0.21770374476909637,17.552734375,17.552734375,0.0,0.0
600,0.6591631770133972,0.0036895805969834328,0.0017341133207082748,0.10652147978544235,0.105026014149189,0.10801694542169571,-0.0,0.030320625752210617,0.017631566151976585,-0.0,-0.0,-0.0,-0.0,0.22638018429279327,0.0036895805969834328,0.0017341133207082748,0.10652147978544235,-0.0,0.30320626497268677,0.017631566151976585,0.22638018429279327,17.56270980834961,17.56270980834961,0.0,0.0
700,0.5534398555755615,0.0032454582396894693,0.0015905458712950349,0.08778459578752518,0.0877196192741394,0.08784957230091095,-0.0,0.02531266026198864,0.01109050028026104,-0.0,-0.0,-0.0,-0.0,0.19660216569900513,0.0032454582396894693,0.0015905458712950349,0.08778459578752518,-0.0,0.2531265914440155,0.01109050028026104,0.19660216569900513,17.54776954650879,17.54776954650879,0.0,0.0
800,0.4562612473964691,0.0027194719295948744,0.0013720715651288629,0.07339666783809662,0.07368602603673935,0.07310731709003448,-0.0,0.019812116399407387,0.016065774485468864,-0.0,-0.0,-0.0,-0.0,0.16458609700202942,0.0027194719295948744,0.0013720715651288629,0.07339666783809662,-0.0,0.19812116026878357,0.016065774485468864,0.16458609700202942,17.5930118560791,17.5930118560791,0.0,0.0
900,0.3632804751396179,0.002206332515925169,0.0011249615345150232,0.058983370661735535,0.05984681844711304,0.05811992660164833,-0.0,0.015719709917902946,0.016321079805493355,-0.0,-0.0,-0.0,-0.0,0.12744762003421783,0.002206332515925169,0.0011249615345150232,0.058983370661735535,-0.0,0.15719710290431976,0.016321079805493355,0.12744762003421783,17.501264572143555,17.501264572143555,0.0,0.0
