step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,center_consistency_loss,decoded_center_aux_loss,polygon_centroid_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,weighted_center_consistency_loss,weighted_decoded_center_aux_loss,weighted_polygon_centroid_aux_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac,inverse_route
1,18.898780822753906,0.6699011921882629,0.7437111735343933,2.898040294647217,3.2519173622131348,2.544163227081299,0.0,0.20513342320919037,9.220096588134766,0.0,0.0,0.0,0.0,-0.0,66.31393432617188,0.0,0.6699011921882629,0.7437111735343933,2.898040294647217,0.0,2.0513341426849365,9.220096588134766,-0.0,3.3156967163085938,0.0,0.1624198704957962,0.1624198704957962,0.0,component_query
1000,0.007871213369071484,0.0003108936653006822,3.576278118089249e-07,2.7417683668318205e-05,3.981510963058099e-05,1.5020257706055418e-05,-0.0,0.0006147770909592509,0.0004635344084817916,-0.0,-0.0,-0.0,-0.0,-0.0,0.01842476613819599,-0.0,0.0003108936653006822,3.576278118089249e-07,2.7417683668318205e-05,-0.0,0.006147771142423153,0.0004635344084817916,-0.0,0.0009212383301928639,-0.0,15.52689266204834,15.52689266204834,0.0,component_query
2000,0.02287948690354824,9.531185060041025e-05,3.576278118089249e-07,1.5199050722003449e-05,2.1219027985353023e-05,9.179073458653875e-06,-0.0,0.001707976683974266,0.0037228523287922144,-0.0,-0.0,-0.0,-0.0,-0.0,0.039319999516010284,-0.0,9.531185060041025e-05,3.576278118089249e-07,1.5199050722003449e-05,-0.0,0.01707976683974266,0.0037228523287922144,-0.0,0.0019660000689327717,-0.0,15.476130485534668,15.476130485534668,0.0,component_query
3000,0.018155623227357864,4.3385178287280723e-05,2.3841855067985307e-07,8.106194400170352e-06,1.1086402082582936e-05,5.125986263010418e-06,-0.0,0.001442552194930613,0.0018507832428440452,-0.0,-0.0,-0.0,-0.0,-0.0,0.03655175864696503,-0.0,4.3385178287280723e-05,2.3841855067985307e-07,8.106194400170352e-06,-0.0,0.014425521716475487,0.0018507832428440452,-0.0,0.0018275879556313157,-0.0,15.54163932800293,15.54163932800293,0.0,component_query
4000,0.01637434959411621,2.8083426514058374e-05,2.3841855067985307e-07,6.8545073190762196e-06,9.417489309271332e-06,4.291525328881107e-06,-0.0,0.0011567650362849236,0.0032421788200736046,-0.0,-0.0,-0.0,-0.0,-0.0,0.030586885288357735,-0.0,2.8083426514058374e-05,2.3841855067985307e-07,6.8545073190762196e-06,-0.0,0.011567650362849236,0.0032421788200736046,-0.0,0.0015293442411348224,-0.0,15.549960136413574,15.549960136413574,0.0,component_query
5000,0.011918576434254646,1.623697971808724e-05,1.1920928244535389e-07,4.351128154667094e-06,5.960446742392378e-06,2.7418097943154862e-06,-0.0,0.0010007396340370178,0.00039302793447859585,-0.0,-0.0,-0.0,-0.0,-0.0,0.029948897659778595,-0.0,1.623697971808724e-05,1.1920928244535389e-07,4.351128154667094e-06,-0.0,0.010007396340370178,0.00039302793447859585,-0.0,0.0014974449295550585,-0.0,15.527250289916992,15.527250289916992,0.0,component_query
6000,0.012561500072479248,1.0042688700195868e-05,1.1920928244535389e-07,2.9802272365486715e-06,4.0531076592742465e-06,1.9073468138230965e-06,-0.0,0.0008982714498415589,0.0021512594539672136,-0.0,-0.0,-0.0,-0.0,-0.0,0.028287703171372414,-0.0,1.0042688700195868e-05,1.1920928244535389e-07,2.9802272365486715e-06,-0.0,0.008982714265584946,0.0021512594539672136,-0.0,0.0014143851585686207,-0.0,15.54331111907959,15.54331111907959,0.0,component_query
7000,0.010650108568370342,6.4845721681194846e-06,1.1920928244535389e-07,2.443787025185884e-06,3.3378546504536644e-06,1.5497195136049413e-06,-0.0,0.0006769692990928888,0.0027225911617279053,-0.0,-0.0,-0.0,-0.0,-0.0,0.022975517436861992,-0.0,6.4845721681194846e-06,1.1920928244535389e-07,2.443787025185884e-06,-0.0,0.006769692990928888,0.0027225911617279053,-0.0,0.0011487759184092283,-0.0,15.546754837036133,15.546754837036133,0.0,component_query
8000,0.1745857298374176,1.1293251191091258e-05,8.344646857949556e-07,1.186124518426368e-05,1.6093124941107817e-05,7.629365427419543e-06,-0.0,0.016459694132208824,0.0021534280385822058,-0.0,-0.0,-0.0,-0.0,-0.0,0.15622732043266296,-0.0,1.1293251191091258e-05,8.344646857949556e-07,1.186124518426368e-05,-0.0,0.16459694504737854,0.0021534280385822058,-0.0,0.007811366114765406,-0.0,15.485958099365234,15.485958099365234,0.0,component_query
9000,0.007503632456064224,4.306746177462628e-06,1.1920928244535389e-07,2.145764483429957e-06,2.9802276912960224e-06,1.311301275563892e-06,-0.0,0.00043849635403603315,0.002380172023549676,-0.0,-0.0,-0.0,-0.0,-0.0,0.014638488180935383,-0.0,4.306746177462628e-06,1.1920928244535389e-07,2.145764483429957e-06,-0.0,0.004384963773190975,0.002380172023549676,-0.0,0.0007319244323298335,-0.0,15.483647346496582,15.483647346496582,0.0,component_query
10000,0.013009156100451946,2.183373680963996e-06,1.1920928244535389e-07,1.2516966307885014e-06,1.6689286894688848e-06,8.344646857949556e-07,-0.0,0.0004911556025035679,0.007207642775028944,-0.0,-0.0,-0.0,-0.0,-0.0,0.017728067934513092,-0.0,2.183373680963996e-06,1.1920928244535389e-07,1.2516966307885014e-06,-0.0,0.0049115559086203575,0.007207642775028944,-0.0,0.0008864034316502512,-0.0,15.461463928222656,15.461463928222656,0.0,component_query
