sample_index,variant,intersection,union,false_positive_pixels,false_negative_pixels,symmetric_diff_pixels,pred_area,target_area,area_diff,iou,dice,signed_area,target_signed_area,geom_area_abs,target_geom_area_abs,centroid_error_norm,centroid_error_cells,bbox_xmin_error,bbox_ymin_error,bbox_xmax_error,bbox_ymax_error,max_edge_length_abs_error_norm,mean_edge_length_abs_error_norm
0,pred_polygon,186,189,0,3,3,186,189,-3,0.9841269841269841,0.992,-1.5885190508739414e-05,-1.57629628136044e-05,1.5885190508739414e-05,1.57629628136044e-05,8.125953143867536e-06,0.020213308661859268,-1.780688762664795e-05,-9.128591045737267e-06,2.752058207988739e-05,-3.560271579772234e-06,4.528103237168464e-05,2.521783181170552e-05
0,gt_polygon,189,189,0,0,0,189,189,0,1.0,1.0,-1.57629628136044e-05,-1.57629628136044e-05,1.57629628136044e-05,1.57629628136044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pred_center_gt_local_vertices,186,189,0,3,3,186,189,-3,0.9841269841269841,0.992,-1.576296266356328e-05,-1.57629628136044e-05,1.576296266356328e-05,1.57629628136044e-05,8.229761798823859e-06,0.020471532693828755,4.816677705576922e-06,-6.672909054206144e-06,4.816648195848927e-06,-6.672905316959521e-06,2.9887782873605495e-10,9.947888910191716e-11
0,gt_center_pred_local_vertices,189,191,2,0,2,191,189,2,0.9895287958115183,0.9947368421052631,-1.5885190310523984e-05,-1.57629628136044e-05,1.5885190310523984e-05,1.57629628136044e-05,1.8486949731248892e-07,0.000459862879490044,-2.2622235659852663e-05,-2.4556940704870134e-06,2.270438898044347e-05,3.11265964127172e-06,4.5279602458276474e-05,2.521766125807885e-05
0,pred_polygon_area_scaled_to_target,186,189,0,3,3,186,189,-3,0.9841269841269841,0.992,-1.57629628136044e-05,-1.57629628136044e-05,1.57629628136044e-05,1.57629628136044e-05,8.125953143869618e-06,0.020213308661864448,6.320941647500189e-06,-6.598780098183987e-06,3.3929143522896943e-06,-6.091272362511945e-06,2.9483026384898026e-06,1.6054821119176714e-06
0,pred_polygon_centroid_aligned_to_target,189,191,2,0,2,191,189,2,0.9895287958115183,0.9947368421052631,-1.5885190508739414e-05,-1.57629628136044e-05,1.5885190508739414e-05,1.57629628136044e-05,0.0,0.0,-2.2685155272483826e-05,-2.629851223900914e-06,2.2642314434051514e-05,2.9384682420641184e-06,4.528103237168464e-05,2.521783181170552e-05
0,pred_polygon_edge_length_scaled_to_target,186,189,0,3,3,186,189,-3,0.9841269841269841,0.992,-1.5762977530763864e-05,-1.57629628136044e-05,1.5762977530763864e-05,1.57629628136044e-05,8.125953143867536e-06,0.020213308661859268,6.318030850105405e-06,-6.599085296261301e-06,3.395825130189656e-06,-6.090967020892226e-06,2.9424948010513957e-06,1.602578254741307e-06
0,pred_polygon_interpolate_gt_alpha_0.25,186,189,0,3,3,186,189,-3,0.9841269841269841,0.992,-1.5854589492237983e-05,-1.57629628136044e-05,1.5854589492237983e-05,1.57629628136044e-05,6.0944648579006516e-06,0.015159981496394451,-1.3355165719985962e-05,-6.84644328430295e-06,2.0640436559915543e-05,-2.6702036848291755e-06,3.396077216812586e-05,1.8913373193095635e-05
0,pred_polygon_interpolate_gt_alpha_0.50,187,189,0,2,2,187,189,-2,0.9894179894179894,0.9946808510638298,-1.582401787088167e-05,-1.57629628136044e-05,1.582401787088167e-05,1.57629628136044e-05,4.062976571933768e-06,0.010106654330929634,-8.903443813323975e-06,-4.564295522868633e-06,1.3760291039943695e-05,-1.780135789886117e-06,2.264051336910329e-05,1.2608915017440939e-05
0,pred_polygon_interpolate_gt_alpha_0.75,188,189,0,1,1,188,189,-1,0.9947089947089947,0.9973474801061007,-1.5793475644670476e-05,-1.57629628136044e-05,1.5793475644670476e-05,1.57629628136044e-05,2.031488285966884e-06,0.005053327165464817,-4.451721906661987e-06,-2.2821477614343166e-06,6.8801455199718475e-06,-8.900678949430585e-07,1.13202559784472e-05,6.304457285990865e-06
