step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,center_consistency_loss,decoded_center_aux_loss,polygon_centroid_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,weighted_center_consistency_loss,weighted_decoded_center_aux_loss,weighted_polygon_centroid_aux_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac,inverse_route
1,18.901350021362305,0.6699011921882629,0.7437111735343933,2.898040294647217,3.2519173622131348,2.544163227081299,0.0,0.20513342320919037,9.220096588134766,0.0,0.0,0.0,0.0,-0.0,0.0,66.36534118652344,0.6699011921882629,0.7437111735343933,2.898040294647217,0.0,2.0513341426849365,9.220096588134766,-0.0,0.0,3.3182671070098877,0.1624198704957962,0.1624198704957962,0.0,component_query
1000,0.3358597457408905,0.0004583662375807762,4.768370445162873e-07,2.831175697792787e-05,3.814624506048858e-05,1.847726889536716e-05,-0.0,0.02026398666203022,0.12289896607398987,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1966758668422699,0.0004583662375807762,4.768370445162873e-07,2.831175697792787e-05,-0.0,0.2026398628950119,0.12289896607398987,-0.0,-0.0,0.00983379315584898,15.245855331420898,15.245855331420898,0.0,component_query
2000,0.0235422533005476,0.00011333791189827025,2.3841855067985307e-07,9.715504347695969e-06,1.3112935448589269e-05,6.318072337307967e-06,-0.0,0.0017732831183820963,0.003797519253566861,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03777219355106354,0.00011333791189827025,2.3841855067985307e-07,9.715504347695969e-06,-0.0,0.017732830718159676,0.003797519253566861,-0.0,-0.0,0.0018886097241193056,15.476155281066895,15.476155281066895,0.0,component_query
3000,0.018235770985484123,5.172765304450877e-05,1.1920928244535389e-07,5.5432146837119944e-06,7.390948667307384e-06,3.6954811548639555e-06,-0.0,0.001295053749345243,0.0037135935854166746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.030284997075796127,5.172765304450877e-05,1.1920928244535389e-07,5.5432146837119944e-06,-0.0,0.012950537726283073,0.0037135935854166746,-0.0,-0.0,0.001514249830506742,15.476191520690918,15.476191520690918,0.0,component_query
4000,0.014105814509093761,2.847383620974142e-05,1.1920928244535389e-07,3.039831881324062e-06,3.933898824470816e-06,2.145764938177308e-06,-0.0,0.0012038801796734333,0.00039466083399020135,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.032814376056194305,2.847383620974142e-05,1.1920928244535389e-07,3.039831881324062e-06,-0.0,0.012038801796734333,0.00039466083399020135,-0.0,-0.0,0.001640718779526651,15.528267860412598,15.528267860412598,0.0,component_query
5000,0.019966300576925278,1.8105527487932704e-05,1.1920928244535389e-07,2.5629960873629898e-06,3.4570634852570947e-06,1.6689286894688848e-06,-0.0,0.0011092182248830795,0.007321226876229048,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.030642082914710045,1.8105527487932704e-05,1.1920928244535389e-07,2.5629960873629898e-06,-0.0,0.011092182248830795,0.007321226876229048,-0.0,-0.0,0.0015321042155846953,15.46143913269043,15.46143913269043,0.0,component_query
6000,0.008522805757820606,1.4460539205174427e-05,1.1920928244535389e-07,3.5166672205377836e-06,4.529942543740617e-06,2.50339189733495e-06,-0.0,0.0003937705187126994,0.0038746327627450228,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01384742371737957,1.4460539205174427e-05,1.1920928244535389e-07,3.5166672205377836e-06,-0.0,0.003937705419957638,0.0038746327627450228,-0.0,-0.0,0.000692371220793575,15.552922248840332,15.552922248840332,0.0,component_query
7000,0.024987906217575073,7.21045580576174e-06,0.0,1.5497193999181036e-06,2.0265558760002023e-06,1.0728830375228426e-06,-0.0,0.0010142511455342174,0.013477236963808537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02718794159591198,7.21045580576174e-06,0.0,1.5497193999181036e-06,-0.0,0.010142511688172817,0.013477236963808537,-0.0,-0.0,0.001359397079795599,15.586302757263184,15.586302757263184,0.0,component_query
8000,0.008920355699956417,4.732507932203589e-06,0.0,1.1324875686113955e-06,1.4305104514278355e-06,8.344646857949556e-07,-0.0,0.0006968654925003648,0.0006971062975935638,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02497459016740322,4.732507932203589e-06,0.0,1.1324875686113955e-06,-0.0,0.006968654692173004,0.0006971062975935638,-0.0,-0.0,0.0012487295316532254,15.49735164642334,15.49735164642334,0.0,component_query
9000,0.010262016206979752,2.6705658910941565e-06,0.0,6.556508651556214e-07,9.536738616588991e-07,3.576278118089249e-07,-0.0,0.0007138155633583665,0.0019081466598436236,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02424776181578636,2.6705658910941565e-06,0.0,6.556508651556214e-07,-0.0,0.007138155400753021,0.0019081466598436236,-0.0,-0.0,0.0012123881606385112,15.542083740234375,15.542083740234375,0.0,component_query
10000,0.012905208393931389,1.716330302770075e-06,0.0,5.364416892916779e-07,7.152555099310121e-07,3.576278118089249e-07,-0.0,0.0009546531946398318,0.0018591705011203885,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.029945053160190582,1.716330302770075e-06,0.0,5.364416892916779e-07,-0.0,0.009546532295644283,0.0018591705011203885,-0.0,-0.0,0.0014972527278587222,15.54207992553711,15.54207992553711,0.0,component_query
