step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,center_consistency_loss,decoded_center_aux_loss,polygon_centroid_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,weighted_center_consistency_loss,weighted_decoded_center_aux_loss,weighted_polygon_centroid_aux_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac,inverse_route
1,17.24093246459961,0.6699011921882629,0.7437111735343933,2.898040294647217,3.2519173622131348,2.544163227081299,0.0,0.20513342320919037,9.220096588134766,0.0,0.0,0.0,0.0,-0.0,66.31393432617188,0.0,0.6699011921882629,0.7437111735343933,2.898040294647217,0.0,2.0513341426849365,9.220096588134766,-0.0,1.6578483581542969,0.0,0.1624198704957962,0.1624198704957962,0.0,component_query
1000,0.13616302609443665,0.0003827658947557211,8.344646857949556e-07,6.299966480582952e-05,9.333651541965082e-05,3.266281055402942e-05,-0.0,0.01272609829902649,0.005302226170897484,-0.0,-0.0,-0.0,-0.0,-0.0,0.12612900137901306,-0.0,0.0003827658947557211,8.344646857949556e-07,6.299966480582952e-05,-0.0,0.1272609829902649,0.005302226170897484,-0.0,0.0031532251741737127,-0.0,15.469076156616211,15.469076156616211,0.0,component_query
2000,0.01822405494749546,5.895248978049494e-05,1.1920928244535389e-07,8.761837307247333e-06,1.2636104656849056e-05,4.887569048150908e-06,-0.0,0.0013457715976983309,0.0038860386703163385,-0.0,-0.0,-0.0,-0.0,-0.0,0.032498665153980255,-0.0,5.895248978049494e-05,1.1920928244535389e-07,8.761837307247333e-06,-0.0,0.013457715511322021,0.0038860386703163385,-0.0,0.0008124666637741029,-0.0,15.553364753723145,15.553364753723145,0.0,component_query
3000,0.2531301975250244,3.419996937736869e-05,1.1920928244535389e-07,7.927381375338882e-06,1.1205610462639015e-05,4.6491513785440475e-06,-0.0,0.02393977902829647,0.008454326540231705,-0.0,-0.0,-0.0,-0.0,-0.0,0.20943370461463928,-0.0,3.419996937736869e-05,1.1920928244535389e-07,7.927381375338882e-06,-0.0,0.239397794008255,0.008454326540231705,-0.0,0.0052358428947627544,-0.0,15.479454040527344,15.479454040527344,0.0,component_query
4000,0.007242465391755104,2.1855676095583476e-05,1.1920928244535389e-07,3.635875600593863e-06,5.006777428206988e-06,2.264974000354414e-06,-0.0,0.0005643338081426919,0.001044798525981605,-0.0,-0.0,-0.0,-0.0,-0.0,0.021148722618818283,-0.0,2.1855676095583476e-05,1.1920928244535389e-07,3.635875600593863e-06,-0.0,0.005643337965011597,0.001044798525981605,-0.0,0.0005287180538289249,-0.0,15.493611335754395,15.493611335754395,0.0,component_query
5000,0.012725814245641232,1.166959191323258e-05,0.0,1.966951003851136e-06,2.7418097943154862e-06,1.1920922133867862e-06,-0.0,0.0008710870170034468,0.0033299403730779886,-0.0,-0.0,-0.0,-0.0,-0.0,0.02685469388961792,-0.0,1.166959191323258e-05,0.0,1.966951003851136e-06,-0.0,0.008710870519280434,0.0033299403730779886,-0.0,0.0006713673355989158,-0.0,15.550111770629883,15.550111770629883,0.0,component_query
6000,0.01455147285014391,7.789353730913717e-06,0.0,1.7285331068706e-06,2.3841830625315197e-06,1.0728830375228426e-06,-0.0,0.0008891199249774218,0.004982810001820326,-0.0,-0.0,-0.0,-0.0,-0.0,0.026717815548181534,-0.0,7.789353730913717e-06,0.0,1.7285331068706e-06,-0.0,0.00889119878411293,0.004982810001820326,-0.0,0.0006679454236291349,-0.0,15.470287322998047,15.470287322998047,0.0,component_query
7000,0.025951219722628593,1.7450587620260194e-05,3.576278118089249e-07,8.642631655675359e-06,1.156323378381785e-05,5.722029527532868e-06,-0.0,0.002458981703966856,0.00040491981781087816,-0.0,-0.0,-0.0,-0.0,-0.0,0.0372011698782444,-0.0,1.7450587620260194e-05,3.576278118089249e-07,8.642631655675359e-06,-0.0,0.024589817970991135,0.00040491981781087816,-0.0,0.0009300292585976422,-0.0,15.525646209716797,15.525646209716797,0.0,component_query
8000,0.007460005581378937,4.6179115997802e-06,1.1920928244535389e-07,1.6689284620952094e-06,2.264974000354414e-06,1.0728830375228426e-06,-0.0,0.0004391932161524892,0.002604452660307288,-0.0,-0.0,-0.0,-0.0,-0.0,0.018288597464561462,-0.0,4.6179115997802e-06,1.1920928244535389e-07,1.6689284620952094e-06,-0.0,0.004391931928694248,0.002604452660307288,-0.0,0.00045721494825556874,-0.0,15.545907974243164,15.545907974243164,0.0,component_query
9000,0.0097727095708251,2.6777040602610214e-06,1.1920928244535389e-07,1.2516966307885014e-06,1.6689286894688848e-06,8.344646857949556e-07,-0.0,0.0007944692624732852,0.0011625245679169893,-0.0,-0.0,-0.0,-0.0,-0.0,0.026457739993929863,-0.0,2.6777040602610214e-06,1.1920928244535389e-07,1.2516966307885014e-06,-0.0,0.007944692857563496,0.0011625245679169893,-0.0,0.0006614435114897788,-0.0,15.535849571228027,15.535849571228027,0.0,component_query
