sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,97.38885498046875,57.2547607421875,207016.625,256.0274658203125,5129,1140,0.17090025544166565,1.1109602451324463,5.460177898406982,5.276381969451904,5.101009845733643,1.0,1.0,3.0,three,5.0
1,52.82275390625,0.4558270573616028,60063.359375,203.35374450683594,917,934,0.7266790866851807,6.263515472412109,5.165834903717041,6.261445999145508,4.998486042022705,1.0,1.0,3.0,three,5.0
2,41.06174087524414,72.15873718261719,270190.46875,347.7044982910156,6925,1588,0.22418752312660217,-0.25850188732147217,5.474528789520264,1.7611039876937866,4.032580375671387,1.0,1.0,3.0,three,5.0
3,34.21392059326172,17.229042053222656,130813.234375,279.4007568359375,2494,1058,0.4168328642845154,-0.5314463376998901,6.994280815124512,-1.7496272325515747,6.693112850189209,1.0,1.0,3.0,three,5.0
4,20.300382614135742,0.7801923155784607,93635.1875,283.57330322265625,947,923,0.8984771370887756,-1.509527564048767,6.2753190994262695,-1.5486152172088623,6.333322048187256,1.0,1.0,3.0,three,5.0
5,7.278730392456055,0.22727063298225403,63215.27734375,209.46527099609375,973,971,0.9577039480209351,5.205498218536377,4.68664026260376,5.2149786949157715,4.635437488555908,1.0,1.0,3.0,three,5.0
6,5.698939323425293,0.09283529967069626,46431.359375,176.3021697998047,741,739,0.9422572255134583,-3.9188859462738037,5.4733567237854,-3.9072558879852295,5.481198310852051,1.0,1.0,3.0,three,5.0
7,75.19581604003906,54.666378021240234,224714.625,322.1139831542969,5700,1466,0.25477150082588196,2.379000186920166,5.440882205963135,4.215552806854248,4.551448822021484,1.0,1.0,3.0,three,5.0
8,36.6679801940918,0.5837437510490417,62918.5546875,163.85740661621094,1066,1046,0.6909527778625488,-4.5951619148254395,6.391778469085693,-4.72899866104126,6.398594379425049,1.0,1.0,3.0,three,5.0
9,8.189249992370605,0.10861736536026001,32972.68359375,148.5289306640625,556,552,0.9103448390960693,-0.6792053580284119,6.627243518829346,-0.6783919930458069,6.616161346435547,1.0,1.0,3.0,three,5.0
10,8.635374069213867,0.10910399258136749,26011.884765625,114.105712890625,621,625,0.9169231057167053,-0.42082393169403076,5.529042720794678,-0.41620102524757385,5.5369696617126465,1.0,1.0,3.0,three,5.0
