sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,36.42972183227539,1.9622687101364136,64171.48046875,214.29275512695312,989,993,0.6810856461524963,-6.17884635925293,4.382959842681885,-6.325357913970947,4.339771747589111,5.0,1.0,5.0,three,5.0
1,66.9543685913086,26.40923309326172,110156.25,212.7587432861328,2432,1178,0.39060091972351074,1.2440284490585327,6.494592189788818,-0.979899525642395,4.797979354858398,5.0,1.0,5.0,three,5.0
2,5.696853160858154,0.15092739462852478,37574.7890625,162.19187927246094,573,576,0.9023178815841675,-3.891578435897827,5.614258289337158,-3.91959810256958,5.60606050491333,5.0,1.0,5.0,three,5.0
3,20.26673698425293,0.47089460492134094,33040.265625,108.81877136230469,620,630,0.7908309698104858,-3.1402981281280518,6.800423622131348,-3.241206169128418,6.818181991577148,5.0,1.0,5.0,three,5.0
4,19.13861083984375,0.2965211868286133,41528.86328125,170.4070587158203,618,617,0.7744252681732178,-6.440942287445068,4.6433587074279785,-6.394818305969238,4.6670918464660645,5.0,1.0,5.0,three,5.0
5,8.384984970092773,0.08141666650772095,34851.9921875,164.55575561523438,784,785,0.9936467409133911,0.3024689853191376,4.101989269256592,0.30102741718292236,4.104998588562012,5.0,1.0,5.0,three,5.0
6,30.666810989379883,0.46538716554641724,74673.9609375,250.0454559326172,790,779,0.8812949657440186,-4.993194103240967,3.57013201713562,-5.060314178466797,3.590851068496704,5.0,1.0,5.0,three,5.0
7,35.30306625366211,3.536313056945801,75858.8515625,211.43594360351562,1121,628,0.4514522850513458,0.2753508687019348,6.722532749176025,-0.688474178314209,5.951231956481934,5.0,1.0,5.0,three,5.0
8,51.306602478027344,2.5006003379821777,123040.578125,328.17913818359375,1109,868,0.4808988869190216,-6.35578727722168,6.751190662384033,-7.065106391906738,6.352348804473877,5.0,1.0,5.0,three,5.0
9,36.53389358520508,5.863225936889648,47407.13671875,106.51898956298828,2068,898,0.43423599004745483,5.391342639923096,5.377566814422607,5.086848735809326,4.523519992828369,5.0,1.0,5.0,three,5.0
10,5.5508880615234375,0.3049370050430298,33096.37109375,145.01380920410156,440,430,0.726190447807312,-7.265988826751709,5.999081134796143,-7.245997905731201,6.0150346755981445,5.0,1.0,5.0,three,5.0
11,35.369144439697266,0.2100810706615448,45734.28125,181.5416259765625,1601,1606,0.975970447063446,5.9344353675842285,3.3446264266967773,5.931306838989258,3.3430190086364746,5.0,1.0,5.0,three,5.0
12,77.47151184082031,1.9418810606002808,27764.857421875,84.27295684814453,2020,1667,0.7358757257461548,-4.333125591278076,4.971947193145752,-4.003566265106201,4.308047294616699,5.0,1.0,5.0,three,5.0
13,35.74871826171875,0.6532351970672607,58472.640625,200.4550323486328,851,726,0.692060112953186,0.08884020149707794,7.801517963409424,0.02512563019990921,7.555582523345947,5.0,1.0,5.0,three,5.0
14,21.347314834594727,0.6772130131721497,25582.2421875,90.89136505126953,760,763,0.8895781636238098,-2.758397102355957,4.959463119506836,-2.7954647541046143,4.983253479003906,5.0,1.0,5.0,three,5.0
15,69.62531280517578,2.9144084453582764,36610.57421875,106.31986236572266,1018,919,0.8308128714561462,-7.060548305511475,4.844119548797607,-7.10929536819458,4.849363803863525,5.0,1.0,5.0,three,5.0
16,13.672792434692383,0.1318066418170929,36398.33984375,148.56982421875,1277,1277,0.9752513766288757,1.8376730680465698,3.004041910171509,1.8318886756896973,3.016618490219116,5.0,1.0,5.0,three,5.0
17,48.743343353271484,1.6651926040649414,74039.5859375,193.74197387695312,887,959,0.7922329902648926,-0.5091126561164856,5.515469551086426,-0.6563841104507446,5.5555548667907715,5.0,1.0,5.0,three,5.0
18,22.196365356445312,36.06822967529297,76793.0625,129.60415649414062,2403,1234,0.4162772595882416,-3.4922115802764893,6.805928707122803,-2.724196195602417,5.196372032165527,5.0,1.0,5.0,three,5.0
19,23.99606704711914,6.6154961585998535,32643.318359375,84.4307632446289,957,609,0.5101253390312195,-1.4171957969665527,7.12021017074585,-1.8844220638275146,6.464645862579346,5.0,1.0,5.0,three,5.0
20,8.059557914733887,0.17959026992321014,35905.76171875,154.45285034179688,685,690,0.8682065010070801,-6.852694511413574,6.307011127471924,-6.8592963218688965,6.313131809234619,5.0,1.0,5.0,three,5.0
21,11.016263008117676,0.33069780468940735,50473.0625,186.40365600585938,787,783,0.9193153977394104,1.5911515951156616,4.448936462402344,1.5829145908355713,4.44444465637207,5.0,1.0,5.0,three,5.0
22,9.164399147033691,0.15468856692314148,38011.2734375,162.32720947265625,914,930,0.9029927849769592,-7.704441547393799,3.216519594192505,-7.688441753387451,3.232323169708252,5.0,1.0,5.0,three,5.0
23,4.91201114654541,0.32710346579551697,21129.009765625,84.20539855957031,298,269,0.760869562625885,6.453576564788818,4.193953037261963,6.422166347503662,4.211633205413818,5.0,1.0,5.0,three,5.0
24,4.067681789398193,0.25485342741012573,24750.24609375,124.30180358886719,471,465,0.8645418286323547,4.591588497161865,6.615625858306885,4.597990036010742,6.565656661987305,5.0,1.0,5.0,three,5.0
25,13.360529899597168,0.21387819945812225,45300.04296875,175.00177001953125,976,943,0.9113546013832092,-7.844910621643066,6.556859970092773,-7.8482279777526855,6.556336879730225,5.0,1.0,5.0,three,5.0
26,10.888232231140137,0.22108927369117737,42567.83203125,176.6831512451172,786,794,0.9627329111099243,1.7933179140090942,4.937672138214111,1.800881028175354,4.941989421844482,5.0,1.0,5.0,three,5.0
27,44.75177764892578,12.803754806518555,41848.7421875,100.9858169555664,2158,1609,0.6572811007499695,-1.04884934425354,6.408102512359619,-1.3672308921813965,6.011262893676758,5.0,1.0,5.0,three,5.0
28,14.354654312133789,0.16094902157783508,34426.40234375,151.55618286132812,636,648,0.874452531337738,-7.918366432189941,3.477384090423584,-7.914572715759277,3.4848484992980957,5.0,1.0,5.0,three,5.0
29,31.25511360168457,59.90839767456055,156024.109375,220.78720092773438,4456,1024,0.22732362151145935,1.9519160985946655,5.913987159729004,3.01507568359375,4.090909004211426,5.0,1.0,5.0,three,5.0
30,8.946136474609375,0.1701333224773407,36495.4921875,161.89657592773438,663,662,0.9037356376647949,6.527092456817627,4.3280463218688965,6.5341057777404785,4.300405979156494,5.0,1.0,5.0,three,5.0
31,19.445613861083984,1.2364017963409424,26448.90625,105.14838409423828,915,918,0.9014523029327393,-2.135019302368164,3.3791465759277344,-2.185929775238037,3.383838415145874,5.0,1.0,5.0,three,5.0
32,11.966897010803223,0.19431152939796448,29166.5,128.3391571044922,391,394,0.8690476417541504,-1.9295326471328735,6.568498134613037,-1.9047012329101562,6.592318534851074,5.0,1.0,5.0,three,5.0
33,16.40704917907715,0.6864216327667236,72059.953125,233.81484985351562,637,621,0.7894737124443054,-4.329615116119385,5.714127063751221,-4.447235584259033,5.757575511932373,5.0,1.0,5.0,three,5.0
34,17.70680809020996,0.11839491128921509,29847.09765625,138.38778686523438,995,994,0.9751737713813782,7.9591169357299805,5.41464900970459,7.96628999710083,5.414100646972656,5.0,1.0,5.0,three,5.0
35,3.9781064987182617,0.11563074588775635,35425.28515625,162.3064422607422,492,496,0.9720559120178223,-0.2325652688741684,5.312474727630615,-0.2261306345462799,5.3042521476745605,5.0,1.0,5.0,three,5.0
36,14.886775970458984,0.3771551847457886,62228.8125,220.96209716796875,537,520,0.8674911856651306,4.190083980560303,5.598818778991699,4.221105098724365,5.606060981750488,5.0,1.0,5.0,three,5.0
37,17.402908325195312,25.330337524414062,66799.6640625,110.63957214355469,2127,773,0.35640785098075867,-2.6264255046844482,6.910571575164795,-2.8330204486846924,5.257099151611328,5.0,1.0,5.0,three,5.0
38,7.356894016265869,0.5201071500778198,49358.9296875,190.9772186279297,555,530,0.8327702879905701,7.237131595611572,4.163071632385254,7.236180782318115,4.076614856719971,5.0,1.0,5.0,three,5.0
39,13.103490829467773,0.606505811214447,72966.9140625,248.82545471191406,677,630,0.820334255695343,-2.9470467567443848,6.320367813110352,-3.015075445175171,6.363636493682861,5.0,1.0,5.0,three,5.0
40,33.760650634765625,58.97962951660156,222262.015625,395.9537353515625,5476,1187,0.2145461142063141,-2.0844545364379883,6.184507369995117,-0.3585958778858185,5.568320274353027,5.0,1.0,5.0,three,5.0
41,78.52557373046875,69.51412963867188,153150.59375,186.7405242919922,4961,1836,0.36321699619293213,-1.238529920578003,5.511209487915039,-3.5411534309387207,5.465879440307617,5.0,1.0,5.0,three,5.0
42,17.248626708984375,0.22619612514972687,54119.1796875,199.36007690429688,1089,1087,0.9121265411376953,6.82039737701416,5.1103315353393555,6.805901527404785,5.122522354125977,5.0,1.0,5.0,three,5.0
43,28.952491760253906,111.34092712402344,285747.75,387.5902099609375,7213,1454,0.19825798273086548,0.5172507762908936,6.101539134979248,-3.6844468116760254,4.484459400177002,5.0,1.0,5.0,three,5.0
44,16.226272583007812,0.3793395161628723,62306.5390625,214.45489501953125,1451,1438,0.9706684947013855,4.431443691253662,5.67396879196167,4.418930530548096,5.689369201660156,5.0,1.0,5.0,three,5.0
45,13.902997016906738,0.1227731853723526,49058.046875,203.28369140625,660,658,0.9819548726081848,0.18067610263824463,3.6590142250061035,0.1885567456483841,3.642043352127075,5.0,1.0,5.0,three,5.0
46,5.08858585357666,0.2290036380290985,19689.234375,92.31163787841797,404,400,0.7827051281929016,-5.184586048126221,5.088508605957031,-5.157662868499756,5.098484992980957,5.0,1.0,5.0,three,5.0
47,20.892093658447266,1.1796584129333496,49905.86328125,140.5496826171875,698,662,0.5507411360740662,-3.6729490756988525,5.839483261108398,-3.3614447116851807,5.82806921005249,5.0,1.0,5.0,three,5.0
48,7.74409818649292,0.11078964173793793,28473.40234375,124.78913879394531,590,587,0.9748322367668152,-4.519291877746582,6.492552757263184,-4.528904914855957,6.499062538146973,5.0,1.0,5.0,three,5.0
49,51.461143493652344,70.62301635742188,154982.109375,179.8697509765625,4942,1550,0.31363821029663086,0.6108853220939636,5.990152359008789,-0.029178151860833168,4.311697483062744,5.0,1.0,5.0,three,5.0
50,3.7509820461273193,0.1042388379573822,27165.15234375,133.78195190429688,551,543,0.9818840622901917,5.715646743774414,4.762690544128418,5.717676639556885,4.7677507400512695,5.0,1.0,5.0,three,5.0
51,11.955961227416992,0.681676983833313,33288.9375,144.8850555419922,872,850,0.8656554818153381,6.257318496704102,4.977528095245361,6.256280899047852,4.797980308532715,5.0,1.0,5.0,three,5.0
52,9.054837226867676,0.19952602684497833,23225.580078125,113.760009765625,374,368,0.8366336822509766,-4.654018878936768,6.653702735900879,-4.673367023468018,6.666666507720947,5.0,1.0,5.0,three,5.0
53,5.481217861175537,0.12496627867221832,25895.044921875,118.81549072265625,607,620,0.9353312253952026,-2.55275559425354,6.6721577644348145,-2.562814235687256,6.6666669845581055,5.0,1.0,5.0,three,5.0
54,74.02154541015625,22.699630737304688,53345.46484375,80.63892364501953,2686,1645,0.5772032141685486,-1.6466174125671387,4.843520641326904,-1.9877045154571533,3.2117526531219482,5.0,1.0,5.0,three,5.0
55,30.844337463378906,6.652435302734375,130966.7109375,343.4981384277344,1328,790,0.4516792297363281,4.327700138092041,6.9699249267578125,4.613065719604492,5.623322010040283,5.0,1.0,5.0,three,5.0
56,21.218795776367188,0.2099241018295288,25199.099609375,110.37525939941406,586,595,0.8835725784301758,3.3806405067443848,5.8815107345581055,3.3919596672058105,5.858585357666016,5.0,1.0,5.0,three,5.0
57,42.116119384765625,30.79639434814453,116496.640625,236.90347290039062,2677,995,0.36000001430511475,3.132012128829956,6.170897960662842,5.16888427734375,3.440840482711792,5.0,1.0,5.0,three,5.0
58,12.43199634552002,0.10152021050453186,29093.529296875,134.21270751953125,744,743,0.9800266027450562,7.574161052703857,6.213206768035889,7.574312210083008,6.213956356048584,5.0,1.0,5.0,three,5.0
59,4.634515762329102,0.15516145527362823,42850.5078125,181.1719207763672,466,476,0.9382715821266174,3.46895432472229,6.009451389312744,3.467336654663086,6.0100998878479,5.0,1.0,5.0,three,5.0
60,3.432920217514038,0.13462060689926147,41752.8125,172.4706573486328,453,464,0.918410062789917,-0.5898699164390564,6.371217727661133,-0.603015124797821,6.363636493682861,5.0,1.0,5.0,three,5.0
61,3.683594226837158,0.3490579426288605,29309.677734375,116.53849792480469,533,436,0.7522603869438171,-6.110618591308594,3.590122699737549,-6.140450477600098,3.5677876472473145,5.0,1.0,5.0,three,5.0
62,17.023942947387695,0.30068111419677734,46595.703125,177.34884643554688,549,550,0.8595600724220276,3.6448638439178467,5.515629291534424,3.693467378616333,5.5050506591796875,5.0,1.0,5.0,three,5.0
63,14.082908630371094,0.32152894139289856,60733.58203125,227.9176025390625,744,741,0.8655778765678406,1.7563625574111938,7.114017009735107,1.723902940750122,7.2019782066345215,5.0,1.0,5.0,three,5.0
64,55.83876037597656,10.110390663146973,105351.2734375,216.8721466064453,4198,1850,0.44068604707717896,-4.3465776443481445,5.969870090484619,-5.360559463500977,6.163909435272217,5.0,1.0,5.0,three,5.0
65,22.850872039794922,0.18202415108680725,41147.19921875,178.1178741455078,524,540,0.8732394576072693,0.22728143632411957,4.049656867980957,0.2261306494474411,4.090909481048584,5.0,1.0,5.0,three,5.0
66,10.921276092529297,0.14957845211029053,27532.943359375,122.4933090209961,813,819,0.9065420627593994,7.299689769744873,4.021270275115967,7.311557292938232,4.040403842926025,5.0,1.0,5.0,three,5.0
67,25.597558975219727,0.3232792615890503,57879.94921875,214.60850524902344,844,846,0.8113611936569214,6.419002532958984,5.4635210037231445,6.390819072723389,5.485468864440918,5.0,1.0,5.0,three,5.0
68,19.945825576782227,0.4279921352863312,55620.62890625,205.98448181152344,536,563,0.8045976758003235,0.8586776852607727,5.375396251678467,0.7938002347946167,5.4976043701171875,5.0,1.0,5.0,three,5.0
69,6.695940017700195,0.09590496867895126,28600.650390625,140.8893280029297,676,680,0.9595375657081604,-1.6462490558624268,4.955471992492676,-1.6401125192642212,4.9627156257629395,5.0,1.0,5.0,three,5.0
70,11.620772361755371,0.2199874222278595,35214.0546875,142.7902069091797,404,405,0.8597701191902161,-2.1127917766571045,5.439543724060059,-2.0999438762664795,5.430602550506592,5.0,1.0,5.0,three,5.0
71,22.192564010620117,0.14983949065208435,33602.71875,149.59877014160156,539,540,0.9476534128189087,6.386337757110596,5.919492244720459,6.397822856903076,5.921998023986816,5.0,1.0,5.0,three,5.0
72,10.953232765197754,0.20723193883895874,31611.52734375,138.56724548339844,540,543,0.8544520735740662,-3.04020094871521,4.452301025390625,-3.0399229526519775,4.4662089347839355,5.0,1.0,5.0,three,5.0
73,33.07704544067383,2.27034854888916,82913.7421875,229.3740997314453,895,660,0.6902173757553101,-1.0806267261505127,5.623384475708008,-1.2060301303863525,5.808081150054932,5.0,1.0,5.0,three,5.0
