sample_index,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,1.0,4,4,16318.38671875,98.62706756591797
1,0.5,10,8,31964.642578125,137.32373046875
2,1.0,5,5,24833.134765625,127.97383117675781
3,0.0,5,4,69624.2578125,190.91282653808594
4,0.0,3,7,44532.671875,125.96358489990234
5,0.8125,13,16,36253.1875,140.20791625976562
6,0.42857142857142855,4,6,53173.4609375,169.21115112304688
7,0.6,4,4,26609.95703125,124.89102172851562
8,1.0,4,4,20783.5546875,109.61552429199219
9,0.8333333333333334,11,11,22296.095703125,118.78028106689453
10,0.0,0,4,31585.609375,113.0792007446289
11,0.6666666666666666,4,6,35881.58984375,152.22679138183594
12,0.6666666666666666,2,3,15918.2099609375,94.6762924194336
13,0.0,0,5,47950.12890625,165.47535705566406
14,0.0,1,3,29131.69921875,119.4708480834961
15,0.0,0,4,27235.54296875,109.33267211914062
16,0.7,8,9,30288.58984375,134.43618774414062
17,1.0,9,9,19909.087890625,112.04723358154297
18,1.0,8,8,23237.91796875,119.30770874023438
19,0.25,6,4,28208.7109375,109.6142807006836
