sample_index,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,1.0,4,4,878.7296752929688,7.2793288230896
1,1.0,8,8,1738.9410400390625,10.901269912719727
2,1.0,5,5,735.95947265625,6.883199691772461
3,1.0,4,4,1720.693115234375,10.067058563232422
4,1.0,7,7,2216.57373046875,12.825754165649414
5,1.0,16,16,4005.061279296875,22.475341796875
6,1.0,6,6,1393.25146484375,10.348000526428223
7,1.0,4,4,1652.9588623046875,12.001906394958496
8,1.0,4,4,718.4911499023438,6.148904323577881
9,1.0,11,11,2113.8251953125,13.90972900390625
10,0.0,0,4,20034.10546875,22.62112045288086
11,1.0,6,6,1668.1075439453125,11.805571556091309
12,1.0,3,3,1183.33349609375,9.319040298461914
13,1.0,5,5,1792.5810546875,11.499384880065918
14,1.0,3,3,1615.2724609375,10.519916534423828
15,1.0,4,4,2988.6064453125,13.563323974609375
16,1.0,9,9,1816.456298828125,12.504864692687988
17,1.0,9,9,1625.86767578125,11.733068466186523
18,1.0,8,8,1608.895263671875,12.489152908325195
19,0.75,3,4,7321.0673828125,17.747581481933594
