sample_index,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,1.0,4,4,728.867431640625,5.264454364776611
1,0.75,6,8,12227.0478515625,19.220876693725586
2,1.0,5,5,1980.5679931640625,7.558489799499512
3,0.75,3,4,6731.494140625,15.178732872009277
4,1.0,7,7,4139.05078125,16.329126358032227
5,1.0,16,16,1463.15283203125,10.55675983428955
6,1.0,6,6,2915.038818359375,16.390172958374023
7,0.75,3,4,7780.73876953125,13.848501205444336
8,1.0,4,4,1001.3533325195312,6.420636177062988
9,1.0,11,11,1708.56640625,8.281888961791992
10,0.0,0,4,20068.646484375,21.221179962158203
11,0.8333333333333334,5,6,4113.87548828125,12.893698692321777
12,0.6666666666666666,2,3,2946.1728515625,8.5219087600708
13,1.0,5,5,4442.71630859375,17.14670181274414
14,0.0,0,3,15115.4560546875,16.385757446289062
15,0.8,5,4,6089.73291015625,18.466501235961914
16,0.8888888888888888,8,9,5492.08740234375,12.638031005859375
17,1.0,9,9,1008.278564453125,6.16522216796875
18,1.0,8,8,1295.7503662109375,8.443290710449219
19,0.4,3,4,15060.451171875,22.167627334594727
