sample_index,signal_normalization,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,none,0.0,0,3,15040.5546875,15.931711196899414
1,none,1.0,7,7,550.03466796875,4.232636451721191
2,none,1.0,6,6,684.7260131835938,5.863847732543945
3,none,1.0,4,4,44.21516418457031,0.6342456936836243
4,none,1.0,6,6,46.95884323120117,1.184301495552063
5,none,1.0,6,6,785.749755859375,4.947083473205566
6,none,1.0,6,6,600.9074096679688,4.80987548828125
7,none,0.0,0,6,30282.892578125,32.13593673706055
8,none,1.0,5,5,167.8405303955078,2.2482943534851074
9,none,1.0,12,12,2023.030517578125,9.545064926147461
10,none,1.0,10,10,372.6834716796875,3.6250948905944824
11,none,1.0,4,4,75.10560607910156,1.2733542919158936
12,none,1.0,3,3,178.1208038330078,1.9851629734039307
13,none,1.0,9,9,1128.510986328125,7.364617824554443
14,none,1.0,8,8,576.8255004882812,4.207673072814941
15,none,1.0,6,6,659.3099975585938,4.573324680328369
16,none,1.0,6,6,66.08151245117188,0.806395411491394
17,none,1.0,3,3,300.95428466796875,2.946146249771118
18,none,1.0,6,6,279.49786376953125,2.8196182250976562
19,none,1.0,4,4,200.82421875,2.2698421478271484
20,none,1.0,6,6,226.6517791748047,2.71354341506958
21,none,0.875,7,8,5213.1357421875,8.496807098388672
22,none,1.0,11,11,412.4239807128906,3.5622634887695312
23,none,1.0,12,12,991.69189453125,8.165871620178223
24,none,1.0,8,8,260.0472106933594,3.009711265563965
25,none,1.0,3,3,92.77682495117188,1.5910016298294067
26,none,1.0,9,9,302.74298095703125,3.1854183673858643
27,none,1.0,7,7,1138.7935791015625,7.181485652923584
28,none,1.0,13,13,352.07183837890625,3.392648220062256
29,none,1.0,6,6,866.22900390625,5.942807674407959
30,none,1.0,5,5,853.6533813476562,5.008775234222412
31,none,1.0,9,9,392.9613952636719,3.4202566146850586
32,none,1.0,11,11,1540.563720703125,8.330585479736328
33,none,1.0,7,7,416.2051696777344,3.989171028137207
34,none,1.0,3,3,140.88150024414062,2.355835199356079
35,none,1.0,4,4,774.376953125,5.940014839172363
36,none,1.0,4,4,306.3721618652344,3.2790439128875732
37,none,1.0,6,6,682.13427734375,5.502154350280762
38,none,1.0,5,5,1423.82861328125,7.1018877029418945
39,none,1.0,7,7,775.7677612304688,6.540736675262451
40,none,1.0,9,9,761.0968017578125,5.056757926940918
41,none,1.0,16,16,1661.147216796875,9.529343605041504
42,none,1.0,6,6,1529.92529296875,8.594858169555664
