sample_index,signal_normalization,conditioning_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,film,1.0,3,3,379.33428955078125,7.007576942443848
1,per_sample_zscore,film,1.0,7,7,642.084716796875,8.190311431884766
2,per_sample_zscore,film,1.0,6,6,350.8539123535156,6.371805191040039
3,per_sample_zscore,film,1.0,4,4,92.77274322509766,2.341782808303833
4,per_sample_zscore,film,1.0,6,6,675.2979736328125,10.529504776000977
5,per_sample_zscore,film,1.0,6,6,143.08270263671875,3.1383230686187744
6,per_sample_zscore,film,1.0,6,6,324.48480224609375,5.64907693862915
7,per_sample_zscore,film,0.0,0,6,29939.712890625,30.050859451293945
8,per_sample_zscore,film,1.0,5,5,310.96466064453125,5.126616954803467
9,per_sample_zscore,film,1.0,12,12,3174.4619140625,38.60767364501953
10,per_sample_zscore,film,1.0,10,10,1031.21533203125,13.374711990356445
11,per_sample_zscore,film,1.0,4,4,10.704980850219727,0.7595169544219971
12,per_sample_zscore,film,1.0,3,3,297.35760498046875,7.536386489868164
13,per_sample_zscore,film,1.0,9,9,278.4971008300781,3.7650625705718994
14,per_sample_zscore,film,1.0,8,8,470.3592834472656,8.776634216308594
15,per_sample_zscore,film,1.0,6,6,250.28875732421875,5.658987045288086
16,per_sample_zscore,film,1.0,6,6,228.00921630859375,3.6171762943267822
17,per_sample_zscore,film,1.0,3,3,376.2879333496094,5.316301345825195
18,per_sample_zscore,film,1.0,6,6,640.0535278320312,8.261234283447266
19,per_sample_zscore,film,1.0,4,4,284.2406311035156,4.801607131958008
20,per_sample_zscore,film,1.0,6,6,892.9456787109375,11.848872184753418
21,per_sample_zscore,film,1.0,8,8,1272.21923828125,13.327404975891113
22,per_sample_zscore,film,1.0,11,11,171.07765197753906,2.6688501834869385
23,per_sample_zscore,film,1.0,12,12,877.0068969726562,10.530257225036621
24,per_sample_zscore,film,1.0,8,8,171.78378295898438,3.124354362487793
25,per_sample_zscore,film,1.0,3,3,317.5757751464844,6.158039569854736
26,per_sample_zscore,film,1.0,9,9,534.9329223632812,7.199504375457764
27,per_sample_zscore,film,1.0,7,7,515.659423828125,6.768904209136963
28,per_sample_zscore,film,1.0,13,13,584.098876953125,8.549403190612793
