sample_index,signal_normalization,conditioning_mode,encoder_type,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,film,cnn,1.0,3,3,148.7777557373047,3.6612424850463867
1,per_sample_zscore,film,cnn,1.0,7,7,133.2919464111328,2.1165952682495117
2,per_sample_zscore,film,cnn,1.0,6,6,38.89524841308594,1.5312854051589966
3,per_sample_zscore,film,cnn,1.0,4,4,46.86280822753906,0.8873565793037415
4,per_sample_zscore,film,cnn,1.0,6,6,43.18781280517578,1.4974268674850464
5,per_sample_zscore,film,cnn,1.0,6,6,19.89252471923828,0.9934079647064209
6,per_sample_zscore,film,cnn,1.0,6,6,15.668471336364746,0.47301018238067627
7,per_sample_zscore,film,cnn,1.0,6,6,311.8834533691406,4.374418258666992
8,per_sample_zscore,film,cnn,1.0,5,5,65.66004180908203,1.2728683948516846
9,per_sample_zscore,film,cnn,1.0,12,12,590.2798461914062,7.1110429763793945
10,per_sample_zscore,film,cnn,1.0,10,10,174.32736206054688,2.434178352355957
11,per_sample_zscore,film,cnn,1.0,4,4,7.0417160987854,0.47697529196739197
12,per_sample_zscore,film,cnn,1.0,3,3,5.726327419281006,0.5055129528045654
13,per_sample_zscore,film,cnn,1.0,9,9,85.47897338867188,1.9116026163101196
14,per_sample_zscore,film,cnn,1.0,8,8,57.395347595214844,1.9996064901351929
15,per_sample_zscore,film,cnn,1.0,6,6,14.955283164978027,0.7296698689460754
16,per_sample_zscore,film,cnn,1.0,6,6,9.474472999572754,0.6958174109458923
17,per_sample_zscore,film,cnn,1.0,3,3,3.0756592750549316,0.5840270519256592
18,per_sample_zscore,film,cnn,1.0,6,6,18.7019100189209,1.0823981761932373
19,per_sample_zscore,film,cnn,1.0,4,4,11.84435749053955,0.840991199016571
20,per_sample_zscore,film,cnn,1.0,6,6,29.663990020751953,1.0299115180969238
21,per_sample_zscore,film,cnn,1.0,8,8,51.989376068115234,1.0015175342559814
22,per_sample_zscore,film,cnn,1.0,11,11,80.82872772216797,2.140847682952881
23,per_sample_zscore,film,cnn,1.0,12,12,110.95594024658203,2.158550977706909
24,per_sample_zscore,film,cnn,1.0,8,8,54.21983337402344,2.0345237255096436
25,per_sample_zscore,film,cnn,1.0,3,3,6.587661266326904,0.6058107018470764
26,per_sample_zscore,film,cnn,1.0,9,9,111.57695007324219,2.2172601222991943
27,per_sample_zscore,film,cnn,1.0,7,7,133.0851593017578,2.4886960983276367
28,per_sample_zscore,film,cnn,1.0,13,13,77.47909545898438,1.6581686735153198
29,per_sample_zscore,film,cnn,1.0,6,6,248.90469360351562,3.687418222427368
30,per_sample_zscore,film,cnn,1.0,5,5,59.503746032714844,1.4516552686691284
31,per_sample_zscore,film,cnn,1.0,9,9,6.980022430419922,0.7138571739196777
32,per_sample_zscore,film,cnn,1.0,11,11,290.52252197265625,3.7969307899475098
33,per_sample_zscore,film,cnn,1.0,7,7,242.69403076171875,5.541791915893555
34,per_sample_zscore,film,cnn,1.0,3,3,10.566258430480957,0.6805416941642761
35,per_sample_zscore,film,cnn,1.0,4,4,82.02706146240234,1.5128167867660522
36,per_sample_zscore,film,cnn,1.0,4,4,79.62869262695312,2.2782886028289795
37,per_sample_zscore,film,cnn,1.0,6,6,835.3943481445312,10.627767562866211
38,per_sample_zscore,film,cnn,1.0,5,5,40.50668716430664,1.5723681449890137
39,per_sample_zscore,film,cnn,1.0,7,7,145.14552307128906,2.982895851135254
40,per_sample_zscore,film,cnn,1.0,9,9,18.296710968017578,1.1371715068817139
41,per_sample_zscore,film,cnn,1.0,16,16,165.29800415039062,3.563213586807251
42,per_sample_zscore,film,cnn,1.0,6,6,88.8671875,2.016181230545044
43,per_sample_zscore,film,cnn,1.0,9,9,21.510204315185547,1.197329044342041
44,per_sample_zscore,film,cnn,1.0,6,6,32.249324798583984,0.8024558424949646
45,per_sample_zscore,film,cnn,1.0,5,5,96.58146667480469,2.07180118560791
46,per_sample_zscore,film,cnn,1.0,5,5,66.52239227294922,1.6334468126296997
47,per_sample_zscore,film,cnn,1.0,7,7,74.03316497802734,1.9492803812026978
48,per_sample_zscore,film,cnn,1.0,7,7,1.6515659093856812,0.33930978178977966
49,per_sample_zscore,film,cnn,1.0,6,6,3.2876944541931152,0.6829830408096313
50,per_sample_zscore,film,cnn,1.0,3,3,35.29480743408203,1.6886852979660034
51,per_sample_zscore,film,cnn,1.0,8,8,163.7865447998047,2.826864242553711
52,per_sample_zscore,film,cnn,1.0,11,11,379.3941345214844,6.394791126251221
53,per_sample_zscore,film,cnn,1.0,6,6,47.735774993896484,2.1446433067321777
54,per_sample_zscore,film,cnn,1.0,5,5,1.4227044582366943,0.3796423375606537
55,per_sample_zscore,film,cnn,1.0,10,10,103.30574035644531,2.446671485900879
56,per_sample_zscore,film,cnn,1.0,11,11,405.4058532714844,5.2839741706848145
57,per_sample_zscore,film,cnn,1.0,14,14,63.974361419677734,1.5022425651550293
58,per_sample_zscore,film,cnn,1.0,11,11,87.9651870727539,2.400141477584839
59,per_sample_zscore,film,cnn,1.0,6,6,9.020816802978516,0.834069013595581
60,per_sample_zscore,film,cnn,1.0,12,12,65.95486450195312,2.0569798946380615
61,per_sample_zscore,film,cnn,1.0,5,5,23.66655921936035,1.1738694906234741
62,per_sample_zscore,film,cnn,1.0,4,4,110.8232421875,2.5423519611358643
63,per_sample_zscore,film,cnn,1.0,4,4,35.56377029418945,0.7563705444335938
64,per_sample_zscore,film,cnn,1.0,9,9,46.9328727722168,2.102402687072754
65,per_sample_zscore,film,cnn,0.8,4,5,5400.47705078125,10.563504219055176
66,per_sample_zscore,film,cnn,1.0,8,8,228.08912658691406,3.871380567550659
67,per_sample_zscore,film,cnn,1.0,4,4,47.63410568237305,1.9557206630706787
68,per_sample_zscore,film,cnn,1.0,15,15,519.5134887695312,7.410192966461182
69,per_sample_zscore,film,cnn,1.0,16,16,103.78216552734375,2.3682570457458496
70,per_sample_zscore,film,cnn,1.0,8,8,221.1998291015625,3.5432181358337402
71,per_sample_zscore,film,cnn,1.0,9,9,51.733070373535156,1.6148606538772583
72,per_sample_zscore,film,cnn,1.0,4,4,0.21672910451889038,0.1964469701051712
73,per_sample_zscore,film,cnn,1.0,4,4,144.55743408203125,2.246096134185791
74,per_sample_zscore,film,cnn,1.0,3,3,21.254806518554688,1.5944812297821045
75,per_sample_zscore,film,cnn,1.0,8,8,66.62876892089844,1.904423475265503
76,per_sample_zscore,film,cnn,1.0,9,9,168.1895751953125,2.6103649139404297
77,per_sample_zscore,film,cnn,1.0,10,10,44.30439376831055,1.7584097385406494
78,per_sample_zscore,film,cnn,1.0,6,6,42.467254638671875,1.5064942836761475
